celltype	JONR1_D135	JONR_D262	SONR1_D135	SONR_D262	NHDF2_D130	NHDF2_D320
AC	0.135062851029687	0.108151220290317	0.154137617459836	0.0356673960612691	0.0892571320967894	0.0217848743656393
Astro	0.026210216635464	0.0663582708565959	0.0198545013640497	0	0.05037190471707	0
BC	0.051216902915218	0.0255224118679215	0.0565322825098515	0.0901531728665208	0.0168534036343094	0.143829681891323
Cone	0.245386466969778	0.16908597862498	0.273567747802364	0.214004376367615	0.201393465775351	0.14989478895903
Early_RPC	0.305429259160203	0.0304673791673313	0.140951803576841	0.0761487964989059	0.353733170134639	0.197672979329125
HC	0.0129713827226531	0.0153134471207529	0.0134889360412246	0.00590809628008753	0.02203182374541	0.00495110781037257
Late_RPC	0	0	0	0.0166301969365427	0.0278693155070144	0.0821883896521847
MG	0	0.209443292391131	0.176871779327069	0.341575492341357	0.092552490349308	0.208812971902463
Precursor	0	0.08454298931249	0	0	0	0
RGC	0	0.0188227787525921	0.0244013337374962	0	0.0270219376706525	0.0321822007674217
Rod	0.223722920566997	0.223959164141011	0.134434677174901	0.219912472647702	0.113642783165427	0.153855675207328
RPE	0	0.0483330674748764	0.00575932100636557	0	0.00527257320402975	0.00482733011511326
