"","gene_id","treatmentcontrol","normalized_effect","num_cells_expressed","q_value"
"1","LINC02343",6.998145664,7.612429246,2624,0
"13","AC106798.1",8.075870862,6.050559181,1895,0
"19","LINC01099",7.176737216,5.819080344,1211,0
"23","LINC01098",4.263939057,5.712201085,1893,0
"34","GPC5",3.984717044,5.464955328,2015,0
"37","AC092422.1",7.414638416,5.446824917,689,0
"42","AL355499.1",4.398561869,5.406625003,1581,0
"67","MSR1",3.757985254,5.085464122,2504,0
"87","AC011824.2",6.789086436,4.882401862,963,0
"92","AC011586.1",10.45830669,4.852353077,1220,0
"102","AC110296.1",6.040241787,4.735511967,647,4.55e-292
"104","AL589740.1",3.50125005,4.717699887,1601,0
"116","AC022146.2",7.254051249,4.633116623,970,0
"126","AC090809.1",10.17234052,4.555426424,275,2.06e-128
"133","LINC02208",4.52188106,4.525417599,391,0
"187","ALK",2.989025432,4.239569151,3433,0
"197","TEX41",9.997004577,4.185077657,274,1.4e-128
"205","AL138733.1",9.477130631,4.127711302,605,2.62e-276
"206","AC011369.1",9.368143625,4.123648768,469,3.94e-209
"215","POLQ",5.272555278,4.083431919,806,0
"222","AC012050.1",8.9760138,4.067663064,398,4.11e-188
"231","AL359378.1",6.012443057,4.008301399,505,6.9e-219
"241","AC008731.1",4.638930891,3.973779377,692,1.3434876757579e-312
"252","AKR1D1",4.781969032,3.922925585,240,3.34e-93
"254","AC005355.1",3.476142113,3.921131569,1351,0
"256","AC004448.2",9.073207689,3.9069977,482,2.51e-232
"260","AC117834.1",9.314307373,3.898500436,495,7.46e-221
"277","AC137494.1",6.397240489,3.84639126,343,3.6e-149
"283","NTM-AS1",5.216322204,3.799484176,658,8.39e-295
"289","CCDC148-AS1",9.587579845,3.766694715,652,2.46e-290
"303","NPSR1-AS1",2.800871315,3.722536303,945,7.76e-274
"308","KCNU1",31.18946164,3.702099002,207,1.34e-13
"312","ABTB2",2.69189523,3.693426481,1754,0
"315","AC084880.2",9.56228052,3.669475045,342,1.19e-179
"317","AC046195.1",3.925565756,3.657078259,420,6.47e-163
"319","AF127577.2",9.489028702,3.653422614,672,4.45e-301
"323","AC008937.2",7.037189524,3.643823099,729,1.06206253758261e-313
"328","CNBD1",3.673682223,3.635826359,576,3.94e-199
"329","ADAMTSL1",3.574670526,3.626812935,576,3.54e-204
"338","AC004039.1",3.512683377,3.597475466,819,0
"344","AC024558.2",8.894053207,3.575529856,442,9.03e-211
"350","LINC01266",4.510763321,3.568276522,394,8.07e-157
"354","FAM160A1",2.734625746,3.554469745,1729,0
"369","AC005237.1",4.702486199,3.507083329,337,1.42e-153
"384","AL031602.2",4.539802414,3.467673019,477,5.72e-202
"391","AL035427.1",6.452229717,3.44059472,455,1.2e-189
"398","AC110809.1",9.457287902,3.434212095,235,3.71e-108
"402","SLC2A9",2.984056612,3.42105405,1003,0
"408","LINC01725",2.965130343,3.406859746,1042,5.2e-261
"418","UBOX5-AS1",8.922434349,3.363261487,442,7.34e-196
"421","AC069437.1",6.760835589,3.354161316,583,1.26e-250
"426","SLIT1",2.67682292,3.34443372,772,2.95e-210
"429","AC110795.1",8.962478426,3.336941257,431,7.71e-188
"432","AC091946.1",5.543964095,3.322983932,367,5.05e-151
"435","AC097537.1",4.978387519,3.318627663,337,2.98e-142
"437","AC009501.3",5.828040438,3.313419254,465,1.14e-193
"438","AC113137.1",4.131157646,3.312473239,289,4.48e-110
"440","AC127035.1",2.883958987,3.310197092,899,1.44e-285
"449","AC011632.1",4.208828019,3.285835285,233,3.28e-92
"454","AC046195.2",5.441312864,3.278105538,246,1.2e-102
"456","AC074096.1",4.410622141,3.275376983,327,6.27e-135
"459","MIR2052HG",5.207239602,3.27424151,641,1.27e-262
"463","ARHGEF28",2.466040082,3.268380781,1598,0
"468","PEX5L-AS2",2.9655149,3.258146192,664,5.96e-227
"471","AC061975.8",6.413353936,3.254163556,507,4.74e-221
"472","GPC5-AS2",9.024564626,3.247762974,378,3.06e-163
"485","ALG1L9P",2.674719314,3.217623219,740,4.71e-199
"498","AL122035.1",4.496947037,3.194325206,458,4.58e-190
"504","AP000446.1",8.733258369,3.182066641,293,2.95e-117
"512","AC105339.3",4.019771291,3.166500686,632,2.96e-253
"516","AC021594.2",3.01253871,3.158838793,474,2e-153
"520","NOXRED1",3.939312828,3.151814601,639,2.12e-241
"521","SNTG2",2.949914755,3.147767608,434,3.13e-129
"522","AL445928.2",3.172761548,3.144879312,506,1.21e-180
"523","AL157388.1",3.049214242,3.143963712,501,3.68e-166
"528","PRR5L",2.918998096,3.134192569,507,4.89e-132
"538","LEMD1-DT",3.332279867,3.111025062,815,1.55e-269
"539","ABI3BP",3.352029555,3.109022257,441,1.56e-137
"543","AL163541.1",9.147039927,3.09874301,324,2.96e-134
"545","BCAR3",4.877454694,3.097596597,378,6.71e-136
"550","LINC01640",3.325632896,3.09200379,357,1.41e-124
"552","ANKRD23",2.860474886,3.088637669,770,4.22e-254
"555","LRP4-AS1",2.9556942,3.07452432,598,1.37e-180
"558","AC078881.1",4.660416849,3.069604534,282,8.75e-108
"571","AC117944.1",4.940693494,3.050955642,382,2.01e-156
"574","AC090572.3",3.499104134,3.047364702,697,5.76e-249
"579","AC079465.1",3.60708359,3.038869957,457,3.31e-160
"590","AC007780.1",3.513265656,3.01850343,385,1.37e-147
"591","SPDYE2",5.175581396,3.017682997,478,8.01e-208
"595","RERG",2.370872897,3.009032503,796,1.42e-200
"600","GRIK4",2.143234333,3.005656674,2969,0
"601","AC091576.1",2.739381004,3.002922589,786,2.26e-188
"602","PROCR",4.224536133,3.000396171,329,7.53e-119
"603","AL049779.4",3.258729229,2.994725897,445,7.26e-146
"606","AC012501.2",8.289615108,2.991310912,204,2.94e-91
"612","ANO2",2.089827167,2.984602723,4847,0
"619","AL357375.1",8.994178282,2.966983125,404,4.92e-171
"620","LINC01905",4.575405802,2.965492254,227,6.7e-102
"621","MAMLD1",2.175373977,2.959364916,2233,0
"623","AC244517.2",8.61080611,2.957780268,334,4.53e-142
"624","AC114763.1",3.023173682,2.955790951,503,3.78e-178
"629","AL356737.2",3.211768611,2.944644068,457,1.2e-146
"636","AC025262.1",4.042419916,2.930855584,316,2.1e-123
