"","gene_id","treatmentcontrol","normalized_effect","num_cells_expressed","q_value"
"10","AL592183.1",-9.564218423,-4.574036448,1093,1.1e-254
"14","DNAJC15",-6.512092736,-4.225616321,929,6.18e-213
"15","FAM138E",-5.417606725,-3.874076501,1167,3.38e-281
"16","HIST1H1A",-5.853944662,-3.79993037,528,4.63e-105
"17","HLA-DQB1",-2.841628303,-3.745981301,2428,0
"18","MIR4458HG",-9.129757766,-3.683876018,629,2.95e-137
"19","CAT",-6.055424146,-3.572875435,806,2.49e-193
"20","C1QTNF12",-3.308507382,-3.544895574,777,2.52e-125
"22","ZNF736",-8.999513305,-3.468405871,444,1.87e-90
"23","AC112178.1",-4.96199509,-3.440223471,523,4.79e-103
"24","NKX6-2",-2.693281322,-3.250057116,808,1.09e-87
"25","ZMAT1",-9.218023852,-3.141239072,719,1.8e-175
"28","GNAT1",-2.148801384,-2.967071331,2031,2.76e-148
"29","TFF1",-3.619694866,-2.936633537,202,2.59e-23
"30","AP000459.1",-3.428327902,-2.878088567,430,2.73e-63
"31","CTSF",-8.700940946,-2.864648245,294,5.53e-59
"34","HIST1H1B",-3.470526042,-2.74804136,503,2.52e-69
"36","ACP5",-1.955889401,-2.675793399,2057,1.54e-202
"38","EPS8L2",-2.252770916,-2.649582132,723,3.81e-68
"43","AC074212.1",-2.345885259,-2.54965996,615,2.99e-62
"44","ELSPBP1",-2.031639016,-2.541608605,1013,1.04e-59
"57","DRD4",-1.636906233,-2.28958185,2765,8.41e-137
"59","ZNF467",-2.043598644,-2.268630053,591,2.76e-57
"62","AC127540.2",-2.343305789,-2.234694941,336,6.24e-36
"65","NEIL2",-1.577382712,-2.210844922,2831,4.72e-166
"75","TUSC1",-1.715698108,-2.135182747,1126,5.56e-86
"79","IER3",-1.859135675,-2.103617603,614,8.33e-40
"83","PRDM8",-2.060788707,-2.086555538,483,1.15e-39
"88","ANKRD37",-1.450420898,-2.063719464,4491,1.16e-238
"90","ARID5A",-1.537042231,-2.048681673,1485,8.56e-88
"92","HSPB3",-2.498724444,-2.031365196,288,9.17e-34
"93","ARHGAP18",-1.525234186,-2.025915293,1504,3.84e-54
"98","REEP6",-1.447125873,-2.009174223,2735,7.1e-170
"100","NES",-1.670057447,-2.001615486,703,3.6e-35
"101","MAGEH1",-1.400187138,-2.00024771,4719,0
"105","ZNF598",-1.465990203,-1.97941472,1634,3.54e-101
"107","SLC1A5",-1.550787788,-1.977620036,882,1.32e-51
"108","ACTA1",-1.975458491,-1.964402056,335,8.46e-31
"112","PSME2",-1.377591576,-1.958316983,4637,0
"113","PPM1J",-1.428009672,-1.955968881,2342,6.73e-114
"114","MRPL17",-1.363677584,-1.954292594,6112,0
"116","DERL3",-1.480741006,-1.948927599,1039,2.72e-64
"117","PLA2G5",-1.453769877,-1.948510802,2214,2.13e-114
"119","NUDT8",-1.391322592,-1.942447603,2676,7.12e-168
"120","MT1E",-1.371603476,-1.933022569,2357,1.01e-62
"125","NRN1",-1.321689103,-1.89366,5704,4.04e-256
"126","CLDN3",-1.350308507,-1.892032121,2293,4.26e-121
"134","HTRA1",-1.335847618,-1.88420531,3748,2.44e-186
"136","PRSS35",-2.200193276,-1.874578299,530,1.33e-37
"137","S100A4",-1.818384271,-1.872150754,476,2.34e-33
"143","CLU",-1.365041233,-1.850799149,1262,2.61e-25
"147","LINC02656",-2.395734274,-1.848930114,207,1.15e-14
"148","PCYT2",-1.415248425,-1.848832993,1343,5.7e-82
"149","SHOX2",-1.894714014,-1.846597809,299,1.05e-17
"150","TYMSOS",-1.431752317,-1.844853416,984,3.52e-51
"157","PLPP5",-1.286548832,-1.83044652,4283,6.16e-254
"165","NMB",-1.482750976,-1.823092029,810,4.2e-44
"169","FADS3",-1.584617163,-1.818837673,665,1.09e-35
"171","KCNK6",-1.73784694,-1.812975566,357,3.75e-14
"177","WIF1",-1.475661223,-1.803230064,716,3.64e-18
"180","SIGIRR",-1.29449938,-1.798449756,2489,4.76e-108
"181","GP1BB",-1.696362224,-1.794773109,544,6.99e-38
"182","SELENOS",-1.249773348,-1.79220532,6561,0
"188","KRT10",-1.241013901,-1.784885478,7848,0
"190","HIST1H4D",-2.750233046,-1.782614614,408,1.36e-32
"194","IFI16",-1.30032504,-1.768176886,2051,9.17e-73
"196","GSTT2B",-2.093873537,-1.766460755,226,8.87e-13
"200","NELFE",-1.243166055,-1.758867738,3917,1.16e-226
"205","LINC02154",-1.290382351,-1.751062343,1247,3.76e-26
"208","RNF5",-1.219301616,-1.738859935,5243,0
"210","TMEM121",-1.312794925,-1.736801119,1445,4.14e-84
"214","HES1",-1.486084201,-1.732317191,633,2.08e-20
"216","VEGFA",-1.228932511,-1.728456708,3039,4.48e-107
"218","RPL39L",-1.280073978,-1.722395662,1472,2.13e-61
"219","DDC",-2.905709256,-1.716385086,230,1.91e-28
"221","EFEMP2",-1.26212876,-1.708876684,1776,4.79e-63
"222","PCAT6",-1.245188537,-1.708010061,1802,8.48e-82
"228","MT2A",-1.183480313,-1.682608142,3256,7.84e-63
"230","TRAF4",-1.208980939,-1.678725181,2381,1.02e-103
"231","C1orf43",-1.165624243,-1.674903137,7827,0
"232","EML2",-1.309589443,-1.673375848,845,1.99e-24
"234","CSNK2B",-1.167886448,-1.668782466,5948,0
"235","LHX9",-1.768114944,-1.668169218,426,2.61e-29
"238","SEC61G",-1.156920821,-1.665097935,7980,0
"239","FTL",-1.153260625,-1.663141046,8974,0
"241","EEF1D",-1.159014103,-1.661273784,6245,0
"244","TMED3",-1.166654692,-1.658357064,4215,1.57e-213
"245","TYMS",-1.241886456,-1.655180821,1452,3.9e-52
"246","LINC01089",-1.207147744,-1.653139808,2258,9.03e-92
"247","POU3F1",-1.259654692,-1.647454956,1193,8.86e-51
"249","SFRP2",-1.249627238,-1.643117326,838,2.17e-05
"251","YIF1A",-1.141421445,-1.637420802,6415,0
"254","IGSF8",-1.27985484,-1.633739495,1174,1.8e-70
"259","TSSC4",-1.14503283,-1.624026735,4668,1.76e-269
"260","BCKDHA",-1.141455079,-1.621015742,4140,4.45e-169
"263","ACD",-1.178391984,-1.617340982,2397,6.6e-100
"264","F10-AS1",-1.156365264,-1.615593795,2263,2.89e-64
"265","KISS1R",-1.191117136,-1.613752857,1145,3.62e-42
"267","MDFI",-1.181114568,-1.6095967,1599,5.25e-53
"271","ARL8A",-1.137936135,-1.598525583,3524,1.02e-171
"272","LRRC59",-1.133977879,-1.597340339,3234,6.48e-136
"273","PHOX2A",-1.206898729,-1.596910204,1161,1.21e-33
"274","GDF10",-1.193283242,-1.596433883,1261,1.22e-24
"275","ARF4",-1.110188496,-1.596128205,6015,2.51e-232
"276","MAF1",-1.120774094,-1.592181639,4607,5.68e-234
"278","CDCA7L",-1.243289448,-1.585454044,1107,2.75e-50
"281","RTBDN",-1.104619358,-1.58238423,6253,9.05e-170
"282","MIR210HG",-1.114226655,-1.580296992,4074,3.72e-117
"288","SNRPB",-1.097601719,-1.573965436,6534,0
"289","YIPF2",-1.103853797,-1.573893802,4302,7.92e-192
"292","RASSF1",-1.137572204,-1.573596022,2173,1.09e-81
"297","FAM171A2",-1.131327,-1.569066848,2453,7.48e-102
"298","MAD2L2",-1.187701133,-1.564468559,1351,6.63e-54
"299","ISOC2",-1.099472728,-1.560436742,3981,8.89e-186
"301","CBX5",-1.093955672,-1.560289861,5500,2.75e-224
"302","ARF1",-1.084214414,-1.558007993,7246,0
"303","PFN1",-1.087597735,-1.55754513,6061,0
"304","PAX6",-1.148824639,-1.55522332,1190,1.42e-29
