"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"2","LINC02343",1470,"LINC02343","OK","treatmentcontrol",6.940927079,0.464294535,14.94940507,1.32e-49,7.675674943,"count",4.18e-45
"4","AC011586.2",1370,"AC011586.2","OK","treatmentcontrol",5.768869397,0.247500977,23.30847123,6.35e-115,7.067514597,"count",2.16e-110
"8","AL137100.3",1187,"AL137100.3","OK","treatmentcontrol",7.479327123,0.693251023,10.78877185,7.01e-27,6.690630186,"count",2.08e-22
"16","LINC01099",976,"LINC01099","OK","treatmentcontrol",7.327498246,0.780705147,9.385743484,8.78e-21,6.473743458,"count",2.53e-16
"19","FAM222A-AS1",1070,"FAM222A-AS1","OK","treatmentcontrol",6.980457105,0.537704293,12.98196275,5.25e-38,6.361516042,"count",1.62e-33
"20","LINC01098",1521,"LINC01098","OK","treatmentcontrol",4.774124762,0.149579256,31.91702432,5.04e-206,6.345851235,"count",1.78e-201
"21","LINC02208",369,"LINC02208","OK","treatmentcontrol",5.940328815,0.533593726,11.13268115,1.69e-28,6.33263425,"count",5.06e-24
"34","MSR1",1392,"MSR1","OK","treatmentcontrol",4.508014977,0.147769203,30.50713472,1.18e-189,5.976033038,"count",4.14e-185
"36","AL355499.1",1033,"AL355499.1","OK","treatmentcontrol",5.011744318,0.238819268,20.98551075,2.72e-94,5.958162034,"count",9.1e-90
"40","AL117381.1",824,"AL117381.1","OK","treatmentcontrol",7.984277782,1.063530478,7.507333311,6.95e-14,5.901469051,"count",1.9e-09
"47","AC092422.1",650,"AC092422.1","OK","treatmentcontrol",7.233303455,0.856581136,8.444387987,3.83e-17,5.790829382,"count",1.08e-12
"52","AC087286.2",835,"AC087286.2","OK","treatmentcontrol",7.829600869,0.968189691,8.08684594,7.4e-16,5.682268523,"count",2.06e-11
"57","AC092675.1",826,"AC092675.1","OK","treatmentcontrol",5.573036268,0.349638494,15.9394242,5.2e-56,5.619064276,"count",1.67e-51
"71","AC103876.1",731,"AC103876.1","OK","treatmentcontrol",6.623743051,0.65615242,10.09482377,9.16e-24,5.473975903,"count",2.68e-19
"74","AL589740.1",1312,"AL589740.1","OK","treatmentcontrol",4.104209128,0.131954145,31.1032983,1.64e-196,5.46025343,"count",5.75e-192
"77","AC034195.1",584,"AC034195.1","OK","treatmentcontrol",6.956928454,0.697330542,9.976514777,2.98e-23,5.40005245,"count",8.68e-19
"89","CNTNAP5",861,"CNTNAP5","OK","treatmentcontrol",4.121552835,0.179277881,22.98974541,5.5e-112,5.327096322,"count",1.86e-107
"94","LINC02253",575,"LINC02253","OK","treatmentcontrol",6.234246989,0.602444731,10.34824719,7.02e-25,5.302838195,"count",2.07e-20
"118","LINC01505",424,"LINC01505","OK","treatmentcontrol",6.734666344,0.921504386,7.308338893,3.07e-13,5.087542814,"count",8.34e-09
"121","AC022146.2",605,"AC022146.2","OK","treatmentcontrol",6.721362382,0.645236896,10.41689095,3.47e-25,5.068895078,"count",1.02e-20
"124","SCGB2B2",491,"SCGB2B2","OK","treatmentcontrol",6.701068561,0.725779396,9.232927527,3.62e-20,5.040463597,"count",1.04e-15
"127","TRPC5",302,"TRPC5","OK","treatmentcontrol",5.662142532,0.57437216,9.857968276,9.56e-23,5.015010538,"count",2.78e-18
"130","AC022031.2",452,"AC022031.2","OK","treatmentcontrol",6.278371613,0.719856585,8.72169783,3.54e-18,4.988271622,"count",1e-13
"131","AP001825.1",565,"AP001825.1","OK","treatmentcontrol",7.330739739,1.137444228,6.444922359,1.25e-10,4.980264501,"count",2.42e-06
"133","AC009139.2",588,"AC009139.2","OK","treatmentcontrol",6.266716469,0.607057912,10.32309495,9.09e-25,4.971958773,"count",2.67e-20
"145","AC092969.1",474,"AC092969.1","OK","treatmentcontrol",6.230913122,0.67500001,9.230982266,3.69e-20,4.921883424,"count",1.06e-15
"150","AC110296.1",478,"AC110296.1","OK","treatmentcontrol",7.264257583,1.153517522,6.297483516,3.25e-10,4.887426654,"count",6.11e-06
"151","AC006974.2",1074,"AC006974.2","OK","treatmentcontrol",3.673843499,0.113613844,32.33623108,5.43e-211,4.883260125,"count",1.92e-206
"156","AC132803.1",333,"AC132803.1","OK","treatmentcontrol",4.951677816,0.427194459,11.59115648,9.97e-31,4.841111679,"count",3.01e-26
"159","OMG",665,"OMG","OK","treatmentcontrol",4.939597504,0.313838878,15.73927847,1.1e-54,4.824173361,"count",3.51e-50
"162","IAPP",502,"IAPP","OK","treatmentcontrol",5.272907682,0.445890598,11.82556373,6.7e-32,4.821129285,"count",2.03e-27
"171","AC090015.1",344,"AC090015.1","OK","treatmentcontrol",5.859636127,0.674794297,8.683588687,4.93e-18,4.777660478,"count",1.39e-13
"174","AP000779.1",600,"AP000779.1","OK","treatmentcontrol",4.89323533,0.359617932,13.60676123,1.58e-41,4.759226163,"count",4.93e-37
"179","AC007277.1",553,"AC007277.1","OK","treatmentcontrol",5.81229798,0.590230635,9.847503061,1.06e-22,4.711721015,"count",3.08e-18
"195","AC015849.3",526,"AC015849.3","OK","treatmentcontrol",5.357144009,0.402149572,13.32127243,6.72e-40,4.589094508,"count",2.08e-35
"205","AC008731.1",473,"AC008731.1","OK","treatmentcontrol",5.303319357,0.494456757,10.72554734,1.37e-26,4.514391416,"count",4.07e-22
