"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"4","ZNF248",1473,"ZNF248","OK","treatmentcontrol",-7.158285604,0.932404679,-7.67723046,1.9e-14,-5.580400497,"count",5.22e-10
"6","HSPA1A",924,"HSPA1A","OK","treatmentcontrol",-5.613911777,0.730539975,-7.684605863,1.79e-14,-4.851891893,"count",4.93e-10
"7","NAP1L5",1032,"NAP1L5","OK","treatmentcontrol",-5.296257875,0.528359781,-10.02396108,1.86e-23,-4.761762298,"count",5.43e-19
"8","AL592183.1",930,"AL592183.1","OK","treatmentcontrol",-6.558919591,0.828698138,-7.914727073,2.95e-15,-4.739352884,"count",8.17e-11
"9","TRIM4",749,"TRIM4","OK","treatmentcontrol",-6.308042197,1.051989424,-5.996298114,2.14e-09,-4.392177086,"count",3.95e-05
"12","ZNF454",768,"ZNF454","OK","treatmentcontrol",-4.686735697,0.440971575,-10.62820364,3.84e-26,-4.179263104,"count",1.14e-21
"17","ZMAT1",371,"ZMAT1","OK","treatmentcontrol",-5.563446473,0.934611086,-5.952686155,2.79e-09,-3.389345513,"count",5.14e-05
"18","TSIX",380,"TSIX","OK","treatmentcontrol",-4.443913414,0.715240714,-6.213171768,5.56e-10,-3.260328704,"count",1.04e-05
"25","NKX6-2",774,"NKX6-2","OK","treatmentcontrol",-2.14642502,0.154573107,-13.88614786,3.77e-43,-2.706510203,"count",1.18e-38
"31","AF131216.3",824,"AF131216.3","OK","treatmentcontrol",-1.935641121,0.135434733,-14.29205851,1.46e-45,-2.444533789,"count",4.57e-41
"32","AP000459.1",292,"AP000459.1","OK","treatmentcontrol",-2.622109239,0.347156504,-7.553104168,4.91e-14,-2.43916558,"count",1.35e-09
"34","ENO3",1226,"ENO3","OK","treatmentcontrol",-1.776837724,0.110041243,-16.14701613,2.12e-57,-2.418438987,"count",6.81e-53
"35","AC233280.1",670,"AC233280.1","OK","treatmentcontrol",-2.006487777,0.145435396,-13.79641982,1.26e-42,-2.412345376,"count",3.93e-38
"40","AC127540.2",334,"AC127540.2","OK","treatmentcontrol",-2.317794117,0.246617985,-9.398317465,7.8e-21,-2.337747897,"count",2.25e-16
"42","PCDH10",1447,"PCDH10","OK","treatmentcontrol",-1.695923351,0.093868086,-18.067092,5.07e-71,-2.320506418,"count",1.66e-66
"43","AC074212.1",527,"AC074212.1","OK","treatmentcontrol",-1.951392197,0.148936299,-13.10219341,1.13e-38,-2.315791509,"count",3.5e-34
"46","ZNF467",512,"ZNF467","OK","treatmentcontrol",-1.967829704,0.151814108,-12.96210032,6.75e-38,-2.3048695,"count",2.08e-33
"49","AC005863.1",298,"AC005863.1","OK","treatmentcontrol",-2.430924997,0.326674774,-7.441422455,1.14e-13,-2.296563311,"count",3.12e-09
"52","ACP5",1760,"ACP5","OK","treatmentcontrol",-1.654845437,0.069682816,-23.74825719,4.95e-119,-2.286621056,"count",1.68e-114
"54","RBAKDN",356,"RBAKDN","OK","treatmentcontrol",-2.273802547,0.22808363,-9.969161525,3.2e-23,-2.281412644,"count",9.34e-19
"55","HLA-DQB1",1649,"HLA-DQB1","OK","treatmentcontrol",-1.656301175,0.076448008,-21.66572044,3.82e-100,-2.278906502,"count",1.28e-95
"56","TSPAN13",2471,"TSPAN13","OK","treatmentcontrol",-1.617172432,0.058500958,-27.64352048,4.41e-158,-2.271253314,"count",1.53e-153
"63","ZNF880",617,"ZNF880","OK","treatmentcontrol",-1.846163581,0.14657607,-12.59525911,6.62e-36,-2.216140192,"count",2.03e-31
"64","TMEM215",398,"TMEM215","OK","treatmentcontrol",-1.688432317,0.165821635,-10.18221969,3.8e-24,-2.213095463,"count",1.11e-19
"68","RHBDL1",869,"RHBDL1","OK","treatmentcontrol",-1.687723825,0.107759955,-15.66188315,3.54e-54,-2.20030569,"count",1.13e-49
"69","EPS8L2",641,"EPS8L2","OK","treatmentcontrol",-1.774903433,0.136159003,-13.03552019,2.66e-38,-2.192702723,"count",8.19e-34
"71","AP001269.4",485,"AP001269.4","OK","treatmentcontrol",-1.910089225,0.161337749,-11.83907197,5.73e-32,-2.190583729,"count",1.74e-27
"73","ACTA1",320,"ACTA1","OK","treatmentcontrol",-2.156019512,0.246448376,-8.748361605,2.8e-18,-2.18759426,"count",7.95e-14
"75","F8A3",345,"F8A3","OK","treatmentcontrol",-2.126955379,0.227231788,-9.360289764,1.11e-20,-2.175881615,"count",3.2e-16
"76","CBLN1",560,"CBLN1","OK","treatmentcontrol",-1.79611923,0.151829499,-11.82984361,6.38e-32,-2.172470902,"count",1.93e-27
"77","GACAT2",541,"GACAT2","OK","treatmentcontrol",-1.820228859,0.177513703,-10.25401888,1.84e-24,-2.168448994,"count",5.39e-20
"79","MFSD2A",1077,"MFSD2A","OK","treatmentcontrol",-1.613574732,0.099032586,-16.29337176,2.17e-58,-2.1599531,"count",6.98e-54
"80","ZNF530",656,"ZNF530","OK","treatmentcontrol",-1.750114166,0.130716301,-13.38864514,2.79e-40,-2.159084732,"count",8.66e-36
"81","NEIL2",2098,"NEIL2","OK","treatmentcontrol",-1.540371066,0.068262372,-22.56544885,3.97e-108,-2.156506127,"count",1.34e-103
