"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"1","AC106798.1",1152,"AC106798.1","OK","treatmentcontrol",8.934822003,1.256212819,7.112506631,1.4e-12,9.213259983,"count",2.88e-08
"3","AC098829.1",815,"AC098829.1","OK","treatmentcontrol",6.400189159,0.568922974,11.24965848,7.88e-29,8.183917148,"count",1.85e-24
"7","AC093898.1",640,"AC093898.1","OK","treatmentcontrol",6.452421846,0.567372288,11.37246562,2.05e-29,7.457056595,"count",4.82e-25
"8","AC011586.2",1074,"AC011586.2","OK","treatmentcontrol",5.691663714,0.270006591,21.07972141,1.48e-92,7.397867286,"count",5.2e-88
"9","AC079467.1",931,"AC079467.1","OK","treatmentcontrol",6.629410207,0.556151014,11.92016204,4.3e-32,7.268142722,"count",1.02e-27
"10","LINC02242",926,"LINC02242","OK","treatmentcontrol",6.10412643,0.439479464,13.88944633,1.19e-42,7.064647086,"count",3.99e-38
"14","AC137770.1",727,"AC137770.1","OK","treatmentcontrol",6.178309256,0.493807908,12.51156403,4.11e-35,6.621589843,"count",1.36e-30
"15","FAM222A-AS1",766,"FAM222A-AS1","OK","treatmentcontrol",7.768021759,0.896836233,8.661583321,7.21e-18,6.599448868,"count",1.58e-13
"16","AL358335.2",775,"AL358335.2","OK","treatmentcontrol",5.654287497,0.384920248,14.68950394,2.41e-47,6.597654704,"count",8.15e-43
"17","AP000820.2",599,"AP000820.2","OK","treatmentcontrol",7.022699035,0.928172805,7.566154705,4.98e-14,6.467500249,"count",1.05e-09
"26","TXK",399,"TXK","OK","treatmentcontrol",6.778683909,0.955629782,7.093420527,1.6e-12,6.119608665,"count",3.29e-08
"27","MIR2052HG",449,"MIR2052HG","OK","treatmentcontrol",6.404012256,0.779952468,8.210772479,3.14e-16,6.10821513,"count",6.76e-12
"35","AL136441.1",513,"AL136441.1","OK","treatmentcontrol",5.747560331,0.539650551,10.65052249,4.64e-26,6.006427346,"count",1.07e-21
"36","AC005229.5",703,"AC005229.5","OK","treatmentcontrol",5.004270451,0.327772875,15.26749417,7.07e-51,5.976352567,"count",2.41e-46
"39","AC006974.2",579,"AC006974.2","OK","treatmentcontrol",4.644045557,0.317437097,14.62981358,5.49e-47,5.893304526,"count",1.86e-42
"42","UPP2",530,"UPP2","OK","treatmentcontrol",6.562786767,0.84836723,7.735785328,1.36e-14,5.812737163,"count",2.88e-10
"43","IL1RAPL1",386,"IL1RAPL1","OK","treatmentcontrol",4.855226863,0.425297626,11.41606856,1.27e-29,5.809985691,"count",2.98e-25
"44","OPN1MW",510,"OPN1MW","OK","treatmentcontrol",4.42588402,0.374677523,11.81251543,1.48e-31,5.80642461,"count",3.5e-27
"45","LTBP1",753,"LTBP1","OK","treatmentcontrol",4.383652457,0.19474216,22.510033,2.17e-104,5.800538963,"count",7.66e-100
"46","THSD4",413,"THSD4","OK","treatmentcontrol",4.991175133,0.440872569,11.3211288,3.61e-29,5.791106619,"count",8.46e-25
"47","AC092675.1",707,"AC092675.1","OK","treatmentcontrol",5.276785836,0.335793608,15.71437251,1.09e-53,5.774229931,"count",3.73e-49
"49","MSR1",1112,"MSR1","OK","treatmentcontrol",4.162289456,0.131061929,31.7581886,5.43e-193,5.742096548,"count",1.96e-188
"54","FSIP2-AS1",532,"FSIP2-AS1","OK","treatmentcontrol",5.62919929,0.523287827,10.75736717,1.52e-26,5.628445271,"count",3.53e-22
"55","AC027018.1",528,"AC027018.1","OK","treatmentcontrol",7.028946722,0.886449543,7.929325227,3e-15,5.548720408,"count",6.41e-11
"56","GPC5",664,"GPC5","OK","treatmentcontrol",3.991590501,0.22659566,17.61547643,2.09e-66,5.53821072,"count",7.23e-62
"59","AC010551.3",488,"AC010551.3","OK","treatmentcontrol",6.992033618,1.044149164,6.696393449,2.51e-11,5.496577547,"count",5.07e-07
"60","HDAC2-AS2",475,"HDAC2-AS2","OK","treatmentcontrol",5.255304539,0.473477309,11.09937992,4.02e-28,5.477924236,"count",9.39e-24
"63","AL355499.1",548,"AL355499.1","OK","treatmentcontrol",4.558185808,0.339695498,13.41844634,5.38e-40,5.429203558,"count",1.8e-35
"66","AC132803.1",496,"AC132803.1","OK","treatmentcontrol",4.487976054,0.285424946,15.72383953,9.51e-54,5.40559666,"count",3.25e-49
"72","AC002463.1",489,"AC002463.1","OK","treatmentcontrol",6.868357877,0.733373866,9.36542492,1.37e-20,5.322181429,"count",3.07e-16
"73","LINC01098",372,"LINC01098","OK","treatmentcontrol",4.814693922,0.445580894,10.80543171,9.2e-27,5.316922563,"count",2.13e-22
"80","LEMD1-DT",510,"LEMD1-DT","OK","treatmentcontrol",4.98946606,0.421455722,11.8386483,1.09e-31,5.244211634,"count",2.59e-27
"81","AC091576.1",502,"AC091576.1","OK","treatmentcontrol",4.138025248,0.259826446,15.92611268,4.81e-55,5.241310895,"count",1.65e-50
