"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"3","PUSL1",381,"PUSL1","OK","treatmentcontrol",-1.163145137,0.122541294,-9.491862658,4.25e-21,-1.49478929,"count",9.54e-17
"4","TMEM240",318,"TMEM240","OK","treatmentcontrol",-1.898958764,0.17615278,-10.78018052,1.2e-26,-2.278992246,"count",2.78e-22
"5","AL139246.5",269,"AL139246.5","OK","treatmentcontrol",-1.999230546,0.16369503,-12.21314139,1.43e-33,-2.433060608,"count",3.4e-29
"6","SMIM1",272,"SMIM1","OK","treatmentcontrol",-2.796095261,0.249743255,-11.19587898,1.42e-28,-3.065272025,"count",3.31e-24
"8","ENO1",2773,"ENO1","OK","treatmentcontrol",-1.114432641,0.038222208,-29.15667863,3.32e-166,-1.60277565,"count",1.19e-161
"9","FBXO2",631,"FBXO2","OK","treatmentcontrol",-1.299186604,0.101223723,-12.83480365,8.1e-37,-1.752151384,"count",2.69e-32
"10","MAD2L2",366,"MAD2L2","OK","treatmentcontrol",-1.677250401,0.13227263,-12.68025286,5.35e-36,-2.147913625,"count",1.77e-31
"13","PLA2G5",1275,"PLA2G5","OK","treatmentcontrol",-1.200422286,0.070678391,-16.98429004,4.76e-62,-1.693270006,"count",1.64e-57
"14","CAMK2N1",633,"CAMK2N1","OK","treatmentcontrol",-1.456906255,0.085831294,-16.97406834,5.58e-62,-2.007350557,"count",1.92e-57
"16","RPL11",3236,"RPL11","OK","treatmentcontrol",-1.178455674,0.019837649,-59.40500705,0,-1.699052633,"count",0
"19","FAM229A",201,"FAM229A","OK","treatmentcontrol",-1.358925847,0.179642714,-7.564603183,5.03e-14,-1.581885204,"count",1.06e-09
"20","FNDC5",569,"FNDC5","OK","treatmentcontrol",-1.322993838,0.10238243,-12.92207884,2.76e-37,-1.775272364,"count",9.17e-33
"21","HPCA",317,"HPCA","OK","treatmentcontrol",-2.258702655,0.207244496,-10.89873408,3.44e-27,-2.71216251,"count",7.99e-23
"22","TMEM35B",297,"TMEM35B","OK","treatmentcontrol",-2.023061461,0.172473769,-11.72967619,3.78e-31,-2.446838894,"count",8.95e-27
"25","CITED4",423,"CITED4","OK","treatmentcontrol",-1.725478318,0.12327303,-13.99720865,2.86e-43,-2.257943616,"count",9.62e-39
"27","SLC2A1",1465,"SLC2A1","OK","treatmentcontrol",-1.085785586,0.050019005,-21.70746059,1.12e-97,-1.543685894,"count",3.93e-93
