"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"30","OPN1SW",230,"OPN1SW","OK","treatmentcontrol",4.93549787,0.841589009,5.864498965,4.89e-09,5.33382041,"count",0.000102946
"81","AC079760.2",341,"AC079760.2","OK","treatmentcontrol",4.616989211,0.481233889,9.594065,1.49e-21,4.62554986,"count",3.55e-17
"98","TRPM6",266,"TRPM6","OK","treatmentcontrol",6.127641718,1.005281649,6.095447704,1.2e-09,4.348422485,"count",2.56e-05
"104","CCDC136",364,"CCDC136","OK","treatmentcontrol",3.566757754,0.31461946,11.33673598,2.56e-29,4.301782285,"count",6.29e-25
"222","VAT1L",234,"VAT1L","OK","treatmentcontrol",4.361695838,0.480858207,9.070648642,1.86e-19,3.659116016,"count",4.38e-15
"257","LINC00457",471,"LINC00457","OK","treatmentcontrol",2.762204293,0.182009918,15.17611968,1.55e-50,3.518085771,"count",3.96e-46
"289","AC023905.1",250,"AC023905.1","OK","treatmentcontrol",3.105560785,0.465035797,6.67811125,2.78e-11,3.424356772,"count",6.06e-07
"319","AC073167.1",301,"AC073167.1","OK","treatmentcontrol",5.385277412,0.833828821,6.458492772,1.19e-10,3.350214812,"count",2.58e-06
"351","AC093898.1",211,"AC093898.1","OK","treatmentcontrol",3.63431664,0.472921602,7.684818426,1.94e-14,3.280588388,"count",4.4e-10
"361","AL137017.1",230,"AL137017.1","OK","treatmentcontrol",4.066182872,0.705202152,5.765981943,8.77e-09,3.265763169,"count",0.000183645
"413","NPTX1",519,"NPTX1","OK","treatmentcontrol",2.449668375,0.144500333,16.95268328,3.53e-62,3.15115569,"count",9.14e-58
"539","SLC29A4",769,"SLC29A4","OK","treatmentcontrol",2.079824941,0.088034549,23.62509914,3.48e-115,2.864343824,"count",9.27e-111
"614","ARR3",440,"ARR3","OK","treatmentcontrol",2.047812334,0.180748461,11.32962529,2.77e-29,2.753629552,"count",6.8e-25
"667","AP1S3",282,"AP1S3","OK","treatmentcontrol",2.476185081,0.237692432,10.41760168,4.5e-25,2.672045428,"count",1.09e-20
"672","CNGA3",311,"CNGA3","OK","treatmentcontrol",2.450252366,0.190834354,12.83968169,5.8e-37,2.664673519,"count",1.45e-32
"748","RBP4",213,"RBP4","OK","treatmentcontrol",2.538238039,0.241200566,10.52335025,1.52e-25,2.543675419,"count",3.68e-21
"781","SLC24A4",344,"SLC24A4","OK","treatmentcontrol",2.095510225,0.220266306,9.513530517,3.19e-21,2.494305437,"count",7.56e-17
"790","MLXIP",459,"MLXIP","OK","treatmentcontrol",1.945316114,0.168225252,11.56375804,2.04e-30,2.479723184,"count",5.02e-26
