"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"3","SAG",522,"SAG","OK","treatmentcontrol",-4.561310841,0.432124358,-10.55555133,1.09e-25,-5.338101154,"count",2.64e-21
"5","PDE6A",556,"PDE6A","OK","treatmentcontrol",-4.362148911,0.268696842,-16.23446287,2.44e-57,-4.698652907,"count",6.3e-53
"8","BEX5",300,"BEX5","OK","treatmentcontrol",-5.454157356,0.661909135,-8.240039404,2.35e-16,-3.924508901,"count",5.4e-12
"9","AC112178.1",286,"AC112178.1","OK","treatmentcontrol",-4.713239048,0.498752425,-9.450057398,5.77e-21,-3.774595809,"count",1.37e-16
"11","TFPI2",320,"TFPI2","OK","treatmentcontrol",-3.18561603,0.241925581,-13.1677519,9.55e-39,-3.572537648,"count",2.4e-34
"14","SAMD7",608,"SAMD7","OK","treatmentcontrol",-2.642080877,0.119995408,-22.01818312,3.62e-101,-3.337414277,"count",9.59e-97
"19","GLB1L2",230,"GLB1L2","OK","treatmentcontrol",-3.313605181,0.252773246,-13.10900277,2.01e-38,-3.074309449,"count",5.03e-34
"29","GPR160",1661,"GPR160","OK","treatmentcontrol",-1.9556849,0.048895476,-39.99725647,7.46e-292,-2.75641616,"count",2.73e-287
"34","CLUL1",557,"CLUL1","OK","treatmentcontrol",-1.935901549,0.107431752,-18.01982661,1.07e-69,-2.518338032,"count",2.78e-65
"35","PDCD4",2051,"PDCD4","OK","treatmentcontrol",-1.757423252,0.042421181,-41.42796574,0,-2.490489037,"count",7.27e-305
"39","MT1E",538,"MT1E","OK","treatmentcontrol",-1.842881139,0.106928206,-17.23475226,3.96e-64,-2.444737302,"count",1.03e-59
"46","MT2A",667,"MT2A","OK","treatmentcontrol",-1.750539078,0.115817578,-15.11462341,3.74e-50,-2.369740233,"count",9.56e-46
"47","STC1",828,"STC1","OK","treatmentcontrol",-1.75244077,0.082380964,-21.27239944,6.4e-95,-2.369269546,"count",1.69e-90
