"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"32","SYN3",401,"SYN3","OK","treatmentcontrol",4.144731542,0.340467082,12.17366308,1.89e-33,4.658231124,"count",4.58e-29
"33","LINC02294",447,"LINC02294","OK","treatmentcontrol",5.028547966,0.540677627,9.300455055,2.34e-20,4.613196173,"count",5.47e-16
"88","COL8A1",252,"COL8A1","OK","treatmentcontrol",4.247010391,0.573989537,7.399107679,1.69e-13,3.789639246,"count",3.78e-09
"90","EDA",329,"EDA","OK","treatmentcontrol",3.380550725,0.266376884,12.69085619,3.82e-36,3.746432836,"count",9.28e-32
"101","AC016723.1",270,"AC016723.1","OK","treatmentcontrol",4.340278843,0.626643199,6.926236251,5.09e-12,3.66875018,"count",1.12e-07
"115","LUZP2",689,"LUZP2","OK","treatmentcontrol",2.617537876,0.139374236,18.78064376,3.43e-75,3.597583051,"count",8.54e-71
"155","STAT4",585,"STAT4","OK","treatmentcontrol",2.56727813,0.159804119,16.06515614,3.62e-56,3.341530374,"count",8.95e-52
"157","S1PR1",259,"S1PR1","OK","treatmentcontrol",3.903677064,0.443154447,8.808841007,1.92e-18,3.328678463,"count",4.44e-14
"185","PLAAT1",600,"PLAAT1","OK","treatmentcontrol",2.448820033,0.139594155,17.54242524,3.3e-66,3.170401009,"count",8.19e-62
"211","SMIM36",679,"SMIM36","OK","treatmentcontrol",2.286892632,0.119994392,19.05832923,2.83e-77,3.028851878,"count",7.05e-73
"229","LRTM1",224,"LRTM1","OK","treatmentcontrol",2.981975119,0.360576077,8.270030395,1.85e-16,2.933279148,"count",4.24e-12
"270","XRCC4",539,"XRCC4","OK","treatmentcontrol",2.040033164,0.131769195,15.48186712,2.06e-52,2.712856717,"count",5.09e-48
"273","SPRY4-AS1",257,"SPRY4-AS1","OK","treatmentcontrol",2.21084046,0.188663758,11.71841632,3.68e-31,2.702050384,"count",8.87e-27
"305","LAMA2",216,"LAMA2","OK","treatmentcontrol",2.175187051,0.212759757,10.22367709,3.28e-24,2.574027716,"count",7.77e-20
"370","TMEM176B",460,"TMEM176B","OK","treatmentcontrol",1.746710365,0.130321369,13.40310017,5.05e-40,2.350572444,"count",1.23e-35
"407","TMEM176A",343,"TMEM176A","OK","treatmentcontrol",1.736740064,0.155588603,11.16238612,1.79e-28,2.242097578,"count",4.29e-24
"436","MAN1A1",317,"MAN1A1","OK","treatmentcontrol",1.721943621,0.174056859,9.892994888,8.62e-23,2.174382295,"count",2.03e-18
"489","DISP3",224,"DISP3","OK","treatmentcontrol",1.901080869,0.220448357,8.623701707,9.51e-18,2.051917927,"count",2.19e-13
"498","CGNL1",542,"CGNL1","OK","treatmentcontrol",1.495786904,0.110395195,13.54938416,7.64e-41,2.023741571,"count",1.87e-36
"521","SH3RF1",250,"SH3RF1","OK","treatmentcontrol",1.722882981,0.222213822,7.753266481,1.15e-14,1.971213908,"count",2.6e-10
"533","GPSM2",556,"GPSM2","OK","treatmentcontrol",1.476277991,0.113000125,13.06439258,3.73e-38,1.940155754,"count",9.09e-34
"535","MAP6",392,"MAP6","OK","treatmentcontrol",1.519386475,0.144433465,10.51962909,1.62e-25,1.938311315,"count",3.85e-21
"550","MSRA",350,"MSRA","OK","treatmentcontrol",1.508142889,0.134614908,11.20338683,1.15e-28,1.909203467,"count",2.75e-24
