"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"6","ZMAT1",249,"ZMAT1","OK","treatmentcontrol",-5.908791088,0.976558688,-6.050625693,1.59e-09,-3.715462304,"count",3.38e-05
"22","UNC13C",304,"UNC13C","OK","treatmentcontrol",-1.928773714,0.183465489,-10.51300562,1.73e-25,-2.337824137,"count",4.12e-21
"28","HIST1H4H",259,"HIST1H4H","OK","treatmentcontrol",-1.980101031,0.177376175,-11.16328634,1.77e-28,-2.24784774,"count",4.25e-24
"29","AP000997.3",223,"AP000997.3","OK","treatmentcontrol",-2.02343633,0.201437438,-10.0449864,1.94e-23,-2.222008952,"count",4.59e-19
"31","HIST1H2BC",718,"HIST1H2BC","OK","treatmentcontrol",-1.575959714,0.088096808,-17.88895365,1.14e-68,-2.121735989,"count",2.82e-64
"35","RMRP",373,"RMRP","OK","treatmentcontrol",-1.675333724,0.128214456,-13.06665233,3.62e-38,-2.076956691,"count",8.83e-34
"41","RDH12",1138,"RDH12","OK","treatmentcontrol",-1.377580271,0.062923846,-21.89281755,6.29e-100,-1.918079944,"count",1.58e-95
"51","TMPO",1316,"TMPO","OK","treatmentcontrol",-1.306750786,0.054495003,-23.97927727,4.01e-118,-1.825052923,"count",1.01e-113
"52","CA2",545,"CA2","OK","treatmentcontrol",-1.373825161,0.102493676,-13.40399926,4.99e-40,-1.822877948,"count",1.22e-35
"55","MTURN",290,"MTURN","OK","treatmentcontrol",-1.493286434,0.142626769,-10.46988892,2.7e-25,-1.796420723,"count",6.42e-21
"59","MT-ND6",1197,"MT-ND6","OK","treatmentcontrol",-1.254486978,0.060048862,-20.8911032,1.22e-91,-1.754751767,"count",3.05e-87
"62","ABCG1",304,"ABCG1","OK","treatmentcontrol",-1.4257236,0.13249719,-10.7604063,1.32e-26,-1.741677603,"count",3.15e-22
"64","C5orf51",473,"C5orf51","OK","treatmentcontrol",-1.335618409,0.103949887,-12.84867596,5.48e-37,-1.726454965,"count",1.33e-32
"66","FAM174A",590,"FAM174A","OK","treatmentcontrol",-1.291692332,0.084338643,-15.31554554,2.31e-51,-1.71230867,"count",5.69e-47
"67","YPEL2",1440,"YPEL2","OK","treatmentcontrol",-1.217262773,0.051981129,-23.41739753,4.2e-113,-1.711376204,"count",1.06e-108
"68","AC106881.1",224,"AC106881.1","OK","treatmentcontrol",-1.462685597,0.154929379,-9.440982743,6.38e-21,-1.680349,"count",1.49e-16
"73","MTA2",239,"MTA2","OK","treatmentcontrol",-1.434117392,0.149887474,-9.567960211,1.94e-21,-1.654547644,"count",4.55e-17
"74","CDKN1B",801,"CDKN1B","OK","treatmentcontrol",-1.216221588,0.075317441,-16.14794084,1.04e-56,-1.654229064,"count",2.56e-52
"75","TNFAIP3",539,"TNFAIP3","OK","treatmentcontrol",-1.248381054,0.095954886,-13.01008321,7.36e-38,-1.650261142,"count",1.79e-33
"76","METTL18",331,"METTL18","OK","treatmentcontrol",-1.33157453,0.118000113,-11.28451909,4.71e-29,-1.641530533,"count",1.13e-24
"77","PCARE",1520,"PCARE","OK","treatmentcontrol",-1.160819561,0.051489505,-22.54477976,1.76e-105,-1.633062333,"count",4.42e-101
"79","SPINK4",1014,"SPINK4","OK","treatmentcontrol",-1.176009778,0.065996322,-17.8193229,3.57e-68,-1.628428094,"count",8.89e-64
"80","AL359258.2",241,"AL359258.2","OK","treatmentcontrol",-1.401158693,0.151892174,-9.224693134,4.69e-20,-1.627335646,"count",1.09e-15
"85","NSMCE3",805,"NSMCE3","OK","treatmentcontrol",-1.186331816,0.071303114,-16.63786826,5.69e-60,-1.612099353,"count",1.41e-55
"88","CREG1",733,"CREG1","OK","treatmentcontrol",-1.179770413,0.07686309,-15.34898495,1.42e-51,-1.598359985,"count",3.51e-47
"92","DDX3X",1322,"DDX3X","OK","treatmentcontrol",-1.131393878,0.05330702,-21.22410653,2.31e-94,-1.581396994,"count",5.79e-90
"95","PARTICL",247,"PARTICL","OK","treatmentcontrol",-1.345511845,0.136774506,-9.837446166,1.48e-22,-1.578056049,"count",3.48e-18
"98","LENG8",1412,"LENG8","OK","treatmentcontrol",-1.103787796,0.052120873,-21.17746165,5.59e-94,-1.551082241,"count",1.4e-89
"101","CDKN2AIP",482,"CDKN2AIP","OK","treatmentcontrol",-1.1746207,0.101758926,-11.54317112,2.67e-30,-1.53429108,"count",6.41e-26
"103","C1QL3",232,"C1QL3","OK","treatmentcontrol",-1.301020121,0.148061778,-8.787008626,2.32e-18,-1.528592652,"count",5.37e-14
