gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
HIST1H4C,596,HIST1H4C,OK,treatmentcontrol,-2.481318092,0.111218117,-22.31037685,4.88E-90,-3.530999217,count,1.79E-85
HIST1H1E,482,HIST1H1E,OK,treatmentcontrol,-1.996414971,0.156003169,-12.7972719,7.17E-35,-2.807655489,count,1.68E-30
HES4,315,HES4,OK,treatmentcontrol,-2.051239491,0.188013078,-10.91008943,2.78E-26,-2.785448235,count,6.47E-22
SNCB,210,SNCB,OK,treatmentcontrol,-2.063733117,0.209310545,-9.859671046,5.82E-22,-2.760467268,count,1.35E-17
GNG3,295,GNG3,OK,treatmentcontrol,-1.981811784,0.145426864,-13.62754947,5.86E-39,-2.735735082,count,1.37E-34
TTC9B,279,TTC9B,OK,treatmentcontrol,-1.982566193,0.147624258,-13.4298131,5.73E-38,-2.694812043,count,1.34E-33
NSG1,362,NSG1,OK,treatmentcontrol,-1.855970445,0.130366715,-14.23653608,4.57E-42,-2.581347053,count,1.07E-37
TUBB2A,516,TUBB2A,OK,treatmentcontrol,-1.726715174,0.098171996,-17.58867344,1.19E-60,-2.468189837,count,4.36E-56
RND3,283,RND3,OK,treatmentcontrol,-1.744109918,0.185385489,-9.408017486,3.27E-20,-2.437223128,count,7.55E-16
ID4,251,ID4,OK,treatmentcontrol,-1.751854156,0.240497042,-7.284306461,6.48E-13,-2.437210871,count,1.47E-08
ENHO,202,ENHO,OK,treatmentcontrol,-1.836322764,0.196945071,-9.324035125,6.79E-20,-2.412074559,count,1.57E-15
GOLGA8A,391,GOLGA8A,OK,treatmentcontrol,-1.745600672,0.180703388,-9.660032911,3.52E-21,-2.411007883,count,8.14E-17
MAB21L2,211,MAB21L2,OK,treatmentcontrol,-1.804697863,0.196261467,-9.195375373,2.06E-19,-2.386168321,count,4.76E-15
PPP1R1A,204,PPP1R1A,OK,treatmentcontrol,-1.801170523,0.182353797,-9.877340399,4.95E-22,-2.381242752,count,1.15E-17
PEG10,291,PEG10,OK,treatmentcontrol,-1.721926119,0.160909378,-10.70121667,2.14E-25,-2.365224754,count,4.98E-21
LY6H,324,LY6H,OK,treatmentcontrol,-1.670285801,0.132916021,-12.56647462,9.12E-34,-2.327380019,count,2.13E-29
PDE4DIP,218,PDE4DIP,OK,treatmentcontrol,-1.725974707,0.214591756,-8.043061561,2.43E-15,-2.291634828,count,5.55E-11
NDUFB8,461,NDUFB8,OK,treatmentcontrol,-1.557950455,0.085765513,-18.16523211,4.59E-64,-2.195659607,count,1.68E-59
INA,358,INA,OK,treatmentcontrol,-1.555016909,0.110631063,-14.05587967,3.90E-41,-2.174484937,count,9.13E-37
MT-ND4L,483,MT-ND4L,OK,treatmentcontrol,-1.524931503,0.098570868,-15.47040759,1.24E-48,-2.156649228,count,2.91E-44
CITED2,237,CITED2,OK,treatmentcontrol,-1.569042385,0.176183997,-8.905703214,2.40E-18,-2.13007747,count,5.53E-14
YPEL3,330,YPEL3,OK,treatmentcontrol,-1.535620974,0.11984746,-12.81312903,6.02E-35,-2.126126711,count,1.41E-30
CCNL2,276,CCNL2,OK,treatmentcontrol,-1.530805008,0.213214953,-7.179632513,1.35E-12,-2.053114905,count,3.05E-08
