gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
PDE4D,248,PDE4D,OK,treatmentcontrol,2.936316354,0.157660565,18.62429171,8.00E-67,4.125407618,count,2.93E-62
TBC1D5,224,TBC1D5,OK,treatmentcontrol,2.9269791,0.156667427,18.6827546,3.54E-67,4.05356478,count,1.30E-62
ZBTB20,300,ZBTB20,OK,treatmentcontrol,2.748029901,0.133116137,20.6438526,2.49E-79,3.900458095,count,9.11E-75
NRXN3,336,NRXN3,OK,treatmentcontrol,2.689306297,0.140873311,19.09024698,1.17E-69,3.831420986,count,4.29E-65
DACH1,337,DACH1,OK,treatmentcontrol,2.671913832,0.104444252,25.58220096,8.45E-112,3.806759761,count,3.09E-107
KLHL8,222,KLHL8,OK,treatmentcontrol,2.515011719,0.170482607,14.7523068,9.06E-45,3.546951604,count,2.12E-40
GPC6,220,GPC6,OK,treatmentcontrol,2.305945499,0.188624793,12.22503924,3.69E-32,3.233664489,count,8.60E-28
GPHN,228,GPHN,OK,treatmentcontrol,2.2649915,0.142718012,15.87039689,7.81E-51,3.1498553,count,1.83E-46
PAK3,332,PAK3,OK,treatmentcontrol,2.189838569,0.092796029,23.59840817,1.66E-98,3.109547691,count,6.09E-94
SOX5,224,SOX5,OK,treatmentcontrol,2.211611612,0.150406361,14.70424256,1.63E-44,3.087618074,count,3.81E-40
CASC15,322,CASC15,OK,treatmentcontrol,2.167365236,0.123406308,17.5628399,1.69E-60,3.070526482,count,6.18E-56
MAGI2,348,MAGI2,OK,treatmentcontrol,2.157092318,0.107324008,20.09887966,6.70E-76,3.061685672,count,2.45E-71
TCF12,247,TCF12,OK,treatmentcontrol,2.173905911,0.136505637,15.92539294,3.87E-51,3.037111585,count,9.07E-47
ZFAND3,226,ZFAND3,OK,treatmentcontrol,2.154375498,0.118115681,18.23953846,1.65E-64,2.975175776,count,6.03E-60
SESN3,225,SESN3,OK,treatmentcontrol,2.096986164,0.163228502,12.84693629,4.13E-35,2.944524524,count,9.67E-31
CCDC144NL-AS1,233,CCDC144NL-AS1,OK,treatmentcontrol,2.092907894,0.128954927,16.22976288,7.71E-53,2.925993129,count,1.81E-48
FGF13,201,FGF13,OK,treatmentcontrol,2.07410448,0.189328653,10.95504797,1.78E-26,2.902647261,count,4.15E-22
CBFA2T2,203,CBFA2T2,OK,treatmentcontrol,2.078653194,0.15227169,13.65094979,4.47E-39,2.862841936,count,1.05E-34
NAV2,231,NAV2,OK,treatmentcontrol,2.048494659,0.151416329,13.52888871,1.83E-38,2.861799548,count,4.29E-34
MAGI1,350,MAGI1,OK,treatmentcontrol,1.982106954,0.099839163,19.8530005,2.30E-74,2.812867889,count,8.40E-70
TTC28,258,TTC28,OK,treatmentcontrol,1.963392909,0.136019461,14.43464701,4.25E-43,2.745140848,count,9.96E-39
CTNND2,280,CTNND2,OK,treatmentcontrol,1.938018971,0.11656938,16.62545485,4.46E-55,2.732658833,count,1.04E-50
NFIB,201,NFIB,OK,treatmentcontrol,1.92785898,0.15439231,12.48675518,2.18E-33,2.705249656,count,5.09E-29
MAML2,264,MAML2,OK,treatmentcontrol,1.90180857,0.125733265,15.12573921,9.16E-47,2.679416518,count,2.15E-42
MBD5,292,MBD5,OK,treatmentcontrol,1.883183049,0.108868956,17.29770463,5.99E-59,2.640904641,count,2.19E-54
LGR4,355,LGR4,OK,treatmentcontrol,1.852461628,0.105201394,17.60871747,9.09E-61,2.629940976,count,3.32E-56
AUTS2,411,AUTS2,OK,treatmentcontrol,1.838238821,0.076863223,23.91571346,1.30E-100,2.622200846,count,4.75E-96
CACNA2D1,265,CACNA2D1,OK,treatmentcontrol,1.842618581,0.123422138,14.92940092,1.03E-45,2.608807775,count,2.42E-41
CADM2,440,CADM2,OK,treatmentcontrol,1.799375812,0.087348812,20.5998887,4.72E-79,2.57516401,count,1.73E-74
RPS20,293,RPS20,OK,treatmentcontrol,1.817211775,0.088803156,20.4633693,3.44E-78,2.565020108,count,1.26E-73
ATP2B4,213,ATP2B4,OK,treatmentcontrol,1.759881663,0.140913868,12.48905935,2.12E-33,2.457892951,count,4.96E-29
