gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
ID3,235,ID3,OK,treatmentcontrol,-5.858474443,0.562692869,-10.41149581,9.72E-25,-7.525086613,count,3.41E-20
CRYAB,288,CRYAB,OK,treatmentcontrol,-5.083087715,0.779038973,-6.524818257,8.66E-11,-7.219883182,count,2.86E-06
HOPX,210,HOPX,OK,treatmentcontrol,-5.351617708,0.51708355,-10.34961894,1.80E-24,-6.64755448,count,6.30E-20
C1QL1,230,C1QL1,OK,treatmentcontrol,-5.107053637,0.379370676,-13.46190933,1.47E-39,-6.587733561,count,5.28E-35
MT2A,265,MT2A,OK,treatmentcontrol,-4.644189264,0.456827379,-10.16617978,1.09E-23,-6.400239428,count,3.81E-19
ID4,316,ID4,OK,treatmentcontrol,-4.548020536,0.252506131,-18.0115252,3.46E-67,-6.299812581,count,1.25E-62
C1orf61,306,C1orf61,OK,treatmentcontrol,-4.372447575,0.249478953,-17.52631841,5.88E-64,-6.154234201,count,2.13E-59
ZFP36,235,ZFP36,OK,treatmentcontrol,-4.580229956,0.298958078,-15.32064291,4.22E-50,-6.030360892,count,1.52E-45
LGALS3,261,LGALS3,OK,treatmentcontrol,-4.29460461,0.258439853,-16.61742398,4.44E-58,-5.976719494,count,1.61E-53
F3,212,F3,OK,treatmentcontrol,-4.738759996,0.363478285,-13.03725749,2.64E-37,-5.873089301,count,9.44E-33
COMT,435,COMT,OK,treatmentcontrol,-4.558127698,0.249642623,-18.2586116,7.41E-69,-5.829049732,count,2.69E-64
CLU,433,CLU,OK,treatmentcontrol,-3.893169051,0.195181909,-19.94636221,1.14E-80,-5.533475528,count,4.13E-76
SOX2,249,SOX2,OK,treatmentcontrol,-4.145038668,0.252688455,-16.40375167,9.90E-57,-5.500978283,count,3.58E-52
SOCS3,231,SOCS3,OK,treatmentcontrol,-4.1368419,0.257880197,-16.04171997,1.78E-54,-5.477705703,count,6.42E-50
ZNF667-AS1,287,ZNF667-AS1,OK,treatmentcontrol,-6.486157425,0.954313938,-6.796670536,1.42E-11,-5.435091811,count,4.72E-07
CEBPD,259,CEBPD,OK,treatmentcontrol,-3.880523654,0.237007229,-16.3730181,1.54E-56,-5.310561441,count,5.58E-52
VIM,521,VIM,OK,treatmentcontrol,-3.638101219,0.163292101,-22.27971351,4.23E-98,-5.226300967,count,1.54E-93
SCRG1,233,SCRG1,OK,treatmentcontrol,-3.892447915,0.231477323,-16.81567706,2.43E-59,-5.180042573,count,8.78E-55
TSC22D4,240,TSC22D4,OK,treatmentcontrol,-3.806641503,0.213838467,-17.80148144,8.81E-66,-5.047686361,count,3.19E-61
ZFP36L1,216,ZFP36L1,OK,treatmentcontrol,-3.768345216,0.290298218,-12.98094507,5.21E-37,-4.815697339,count,1.86E-32
LGALS1,243,LGALS1,OK,treatmentcontrol,-3.485319605,0.199686302,-17.45397438,1.76E-63,-4.80369652,count,6.37E-59
EZR,331,EZR,OK,treatmentcontrol,-3.338562802,0.165934888,-20.11971587,6.35E-82,-4.615482701,count,2.31E-77
MT1X,223,MT1X,OK,treatmentcontrol,-3.22235941,0.292905238,-11.00137176,2.38E-27,-4.382269794,count,8.38E-23
GADD45B,287,GADD45B,OK,treatmentcontrol,-3.162750625,0.18039521,-17.53234261,5.36E-64,-4.372843224,count,1.94E-59
IFITM3,256,IFITM3,OK,treatmentcontrol,-3.167605003,0.198814438,-15.93246965,8.37E-54,-4.350631766,count,3.02E-49
CYBA,217,CYBA,OK,treatmentcontrol,-3.370891689,0.200523761,-16.81043522,2.62E-59,-4.286647556,count,9.48E-55
SPARCL1,227,SPARCL1,OK,treatmentcontrol,-3.117604361,0.188467112,-16.54190131,1.33E-57,-4.268997859,count,4.83E-53
CFI,219,CFI,OK,treatmentcontrol,-3.176043872,0.189018669,-16.80280519,2.93E-59,-4.174900451,count,1.06E-54
FABP5,675,FABP5,OK,treatmentcontrol,-2.871875701,0.139560878,-20.57794239,2.87E-85,-4.102100023,count,1.04E-80
TNC,212,TNC,OK,treatmentcontrol,-3.033964256,0.198246062,-15.30403288,5.30E-50,-4.090079291,count,1.91E-45
SOCS2,252,SOCS2,OK,treatmentcontrol,-2.977482564,0.175244314,-16.99046607,1.83E-60,-3.961142001,count,6.62E-56
SLC1A3,347,SLC1A3,OK,treatmentcontrol,-2.815541905,0.128781917,-21.86286677,6.71E-95,-3.948037846,count,2.44E-90
ID1,314,ID1,OK,treatmentcontrol,-2.75531377,0.177020108,-15.56497624,1.45E-51,-3.847573399,count,5.22E-47
S100A6,281,S100A6,OK,treatmentcontrol,-2.766687709,0.187016893,-14.79378498,5.29E-47,-3.814207789,count,1.90E-42
ANXA2,272,ANXA2,OK,treatmentcontrol,-2.744013162,0.157677817,-17.40265824,3.82E-63,-3.813375931,count,1.38E-58
AL355075.4,317,AL355075.4,OK,treatmentcontrol,-2.900624894,0.230753216,-12.57024691,6.78E-35,-3.775693278,count,2.41E-30
NDRG2,224,NDRG2,OK,treatmentcontrol,-2.854405425,0.18305345,-15.59328942,9.76E-52,-3.673244291,count,3.52E-47
METRN,703,METRN,OK,treatmentcontrol,-2.499612073,0.0893089,-27.9883871,4.42E-145,-3.56931584,count,1.61E-140
IER5L,291,IER5L,OK,treatmentcontrol,-2.586575121,0.153547126,-16.84548048,1.56E-59,-3.503064815,count,5.66E-55
FOS,884,FOS,OK,treatmentcontrol,-2.392244894,0.080291807,-29.79438349,6.10E-161,-3.439953986,count,2.23E-156
TTYH1,355,TTYH1,OK,treatmentcontrol,-2.478299901,0.137867882,-17.97590471,6.00E-67,-3.423042286,count,2.18E-62
CLIC1,295,CLIC1,OK,treatmentcontrol,-2.528017127,0.141811284,-17.82662881,5.99E-66,-3.422458696,count,2.17E-61
HES4,455,HES4,OK,treatmentcontrol,-2.465422061,0.112704136,-21.87516944,5.41E-95,-3.414827929,count,1.97E-90
SOX9,275,SOX9,OK,treatmentcontrol,-2.478796225,0.129810983,-19.09542765,1.26E-74,-3.383965921,count,4.58E-70
IGFBP5,280,IGFBP5,OK,treatmentcontrol,-2.40664426,0.182777158,-13.16709532,5.49E-38,-3.357280862,count,1.96E-33
B2M,715,B2M,OK,treatmentcontrol,-2.333149603,0.087528698,-26.65582427,1.20E-133,-3.346449772,count,4.37E-129
ANXA5,416,ANXA5,OK,treatmentcontrol,-2.304733418,0.105950801,-21.75286447,4.63E-94,-3.224282767,count,1.69E-89
JUNB,723,JUNB,OK,treatmentcontrol,-2.257060443,0.088817396,-25.41236916,3.24E-123,-3.221113765,count,1.18E-118
TAGLN2,277,TAGLN2,OK,treatmentcontrol,-2.386504846,0.160040015,-14.91192591,1.09E-47,-3.210640519,count,3.91E-43
CD9,309,CD9,OK,treatmentcontrol,-2.297935653,0.124399107,-18.47228415,2.59E-70,-3.181666758,count,9.41E-66
IFI16,285,IFI16,OK,treatmentcontrol,-2.339023008,0.14939922,-15.65619289,4.06E-52,-3.164011864,count,1.47E-47
TSPO,386,TSPO,OK,treatmentcontrol,-2.280638147,0.105617541,-21.59336524,7.52E-93,-3.155063751,count,2.74E-88
LRIG1,201,LRIG1,OK,treatmentcontrol,-2.396954262,0.162737581,-14.72895346,1.26E-46,-3.139423014,count,4.52E-42
AL627171.2,445,AL627171.2,OK,treatmentcontrol,-2.286139896,0.11570127,-19.75898703,2.52E-79,-3.138787278,count,9.17E-75
NME4,309,NME4,OK,treatmentcontrol,-2.306941382,0.126481332,-18.23938234,1.00E-68,-3.123091664,count,3.63E-64
SPRY2,215,SPRY2,OK,treatmentcontrol,-2.368871293,0.159443372,-14.85713245,2.27E-47,-3.088863947,count,8.16E-43
SEMA5A,252,SEMA5A,OK,treatmentcontrol,-2.232828435,0.19173322,-11.64549597,2.41E-30,-3.079741377,count,8.53E-26
AP1S2,699,AP1S2,OK,treatmentcontrol,-2.141984459,0.077393618,-27.67649989,2.20E-142,-3.054735522,count,8.04E-138
PTN,538,PTN,OK,treatmentcontrol,-2.141418876,0.116388583,-18.39887398,8.23E-70,-3.050560174,count,2.99E-65
DPP7,368,DPP7,OK,treatmentcontrol,-2.237774234,0.118520132,-18.88096306,3.95E-73,-3.041363099,count,1.43E-68
PDLIM4,384,PDLIM4,OK,treatmentcontrol,-2.148562281,0.102634592,-20.93409485,6.68E-88,-3.010476211,count,2.43E-83
RAB13,299,RAB13,OK,treatmentcontrol,-2.12275554,0.139434957,-15.22398394,1.59E-49,-2.917521663,count,5.71E-45
PTPRZ1,811,PTPRZ1,OK,treatmentcontrol,-2.030706839,0.074235836,-27.35480527,1.29E-139,-2.911246617,count,4.72E-135
DPYSL3,379,DPYSL3,OK,treatmentcontrol,-2.091920305,0.109355842,-19.12947915,7.28E-75,-2.90759991,count,2.64E-70
SAMD11,331,SAMD11,OK,treatmentcontrol,-2.103193143,0.119121347,-17.65588792,8.18E-65,-2.878674985,count,2.96E-60
GLUL,462,GLUL,OK,treatmentcontrol,-2.053561582,0.0945647,-21.71594249,8.83E-94,-2.876298728,count,3.22E-89
JUN,929,JUN,OK,treatmentcontrol,-1.999260408,0.072522248,-27.56754605,1.92E-141,-2.866134743,count,6.99E-137
PHLDA1,216,PHLDA1,OK,treatmentcontrol,-2.112366861,0.138513352,-15.25027609,1.11E-49,-2.86176226,count,3.99E-45
CDK2AP1,547,CDK2AP1,OK,treatmentcontrol,-2.014283344,0.080734458,-24.94948746,2.15E-119,-2.857685511,count,7.84E-115
DBI,1025,DBI,OK,treatmentcontrol,-1.942152559,0.077970063,-24.90895207,4.62E-119,-2.789092938,count,1.69E-114
HIST1H1D,264,HIST1H1D,OK,treatmentcontrol,-2.052113776,0.185214809,-11.07964197,1.05E-27,-2.785383676,count,3.69E-23
HLA-B,278,HLA-B,OK,treatmentcontrol,-2.042216677,0.1245667,-16.3945635,1.13E-56,-2.780924279,count,4.09E-52
RHOC,316,RHOC,OK,treatmentcontrol,-2.032282919,0.114787008,-17.70481649,3.87E-65,-2.776734979,count,1.40E-60
BLVRB,263,BLVRB,OK,treatmentcontrol,-2.066536534,0.138461974,-14.92493915,9.13E-48,-2.763932369,count,3.29E-43
TIMP1,360,TIMP1,OK,treatmentcontrol,-1.986669867,0.126620731,-15.68992569,2.54E-52,-2.747549566,count,9.15E-48
HIST1H2AE,202,HIST1H2AE,OK,treatmentcontrol,-2.1641488,0.212928951,-10.16371323,1.12E-23,-2.734845882,count,3.90E-19
ZFP36L2,281,ZFP36L2,OK,treatmentcontrol,-1.98485663,0.131192826,-15.12930769,5.76E-49,-2.731025969,count,2.07E-44
CD99,314,CD99,OK,treatmentcontrol,-1.96860486,0.107284439,-18.34939794,1.79E-69,-2.71527985,count,6.49E-65
SDCBP,344,SDCBP,OK,treatmentcontrol,-1.961935846,0.104648511,-18.74786207,3.30E-72,-2.709167619,count,1.20E-67
ATP1B1,339,ATP1B1,OK,treatmentcontrol,-1.955463332,0.111429769,-17.54884135,4.17E-64,-2.70762822,count,1.51E-59
PRDX6,709,PRDX6,OK,treatmentcontrol,-1.898066189,0.079358244,-23.9176938,5.22E-111,-2.694241101,count,1.90E-106
TULP1,226,TULP1,OK,treatmentcontrol,-2.005029013,0.173504619,-11.55605556,6.40E-30,-2.684783564,count,2.27E-25
HIST1H1E,1122,HIST1H1E,OK,treatmentcontrol,-1.872492758,0.073762251,-25.38551537,5.42E-123,-2.675495614,count,1.98E-118
ZNF280D,223,ZNF280D,OK,treatmentcontrol,-2.065597126,0.168996584,-12.22271529,3.76E-33,-2.670142036,count,1.34E-28
ATF3,240,ATF3,OK,treatmentcontrol,-1.983213245,0.154509904,-12.83550885,2.96E-36,-2.665337769,count,1.06E-31
SAT1,484,SAT1,OK,treatmentcontrol,-1.890865738,0.109948897,-17.19767815,8.34E-62,-2.66413022,count,3.02E-57
DOK5,333,DOK5,OK,treatmentcontrol,-1.916368523,0.130103001,-14.72962581,1.25E-46,-2.653409947,count,4.48E-42
A2M,267,A2M,OK,treatmentcontrol,-1.922028555,0.124639804,-15.42066416,1.07E-50,-2.653243934,count,3.84E-46
DNPH1,446,DNPH1,OK,treatmentcontrol,-1.913145682,0.097974037,-19.52706807,1.14E-77,-2.645239404,count,4.14E-73
GNG5,531,GNG5,OK,treatmentcontrol,-1.860456458,0.077895064,-23.88413788,9.71E-111,-2.63436882,count,3.54E-106
PON2,242,PON2,OK,treatmentcontrol,-1.942862642,0.123190133,-15.77125208,8.11E-53,-2.627561974,count,2.93E-48
IRS2,216,IRS2,OK,treatmentcontrol,-1.98413618,0.147615686,-13.44122861,1.90E-39,-2.608642013,count,6.82E-35
SDC3,246,SDC3,OK,treatmentcontrol,-1.927345032,0.128444394,-15.00528729,3.09E-48,-2.57313294,count,1.11E-43
FOXG1,202,FOXG1,OK,treatmentcontrol,-1.945998828,0.144690789,-13.44936218,1.72E-39,-2.558846185,count,6.16E-35
HSPB1,320,HSPB1,OK,treatmentcontrol,-1.856246897,0.109421579,-16.96417579,2.70E-60,-2.554841862,count,9.78E-56
ECI2,378,ECI2,OK,treatmentcontrol,-1.830405236,0.113853294,-16.07687549,1.08E-54,-2.540556898,count,3.89E-50
MT-ND4L,1139,MT-ND4L,OK,treatmentcontrol,-1.773655391,0.051162804,-34.6668915,2.35E-205,-2.536621122,count,8.61E-201
CNN3,733,CNN3,OK,treatmentcontrol,-1.765545503,0.068760686,-25.67667083,2.06E-125,-2.521739987,count,7.51E-121
HIST1H4C,1394,HIST1H4C,OK,treatmentcontrol,-1.753701901,0.052700749,-33.27660301,1.75E-192,-2.516487182,count,6.40E-188
CD81,839,CD81,OK,treatmentcontrol,-1.761275722,0.061306849,-28.72885719,1.55E-151,-2.512793782,count,5.66E-147
SYNE2,455,SYNE2,OK,treatmentcontrol,-1.773825068,0.08724614,-20.33127276,1.84E-83,-2.498878451,count,6.69E-79
DDR1,332,DDR1,OK,treatmentcontrol,-1.820762645,0.102185186,-17.81826416,6.81E-66,-2.494336104,count,2.47E-61
FOSB,277,FOSB,OK,treatmentcontrol,-1.800761322,0.137274305,-13.11797809,9.96E-38,-2.476995107,count,3.56E-33
HIST1H4E,428,HIST1H4E,OK,treatmentcontrol,-1.802944802,0.123427084,-14.6073677,6.30E-46,-2.46911214,count,2.27E-41
LIMA1,376,LIMA1,OK,treatmentcontrol,-1.760165209,0.110705608,-15.89951265,1.33E-53,-2.457476056,count,4.81E-49
RHOB,404,RHOB,OK,treatmentcontrol,-1.763026441,0.101455764,-17.37729198,5.61E-63,-2.448521519,count,2.03E-58
CRABP2,337,CRABP2,OK,treatmentcontrol,-1.764346324,0.149184862,-11.82657741,3.27E-31,-2.441882627,count,1.16E-26
HIST1H3D,269,HIST1H3D,OK,treatmentcontrol,-1.835285085,0.175721808,-10.44426477,7.01E-25,-2.436622575,count,2.46E-20
SYNM,210,SYNM,OK,treatmentcontrol,-1.798968463,0.167031448,-10.77023812,2.60E-26,-2.424786248,count,9.13E-22
ANOS1,206,ANOS1,OK,treatmentcontrol,-1.817135767,0.180766984,-10.05236533,3.28E-23,-2.411229061,count,1.15E-18
CDC42EP4,256,CDC42EP4,OK,treatmentcontrol,-1.779417683,0.118943964,-14.96013435,5.68E-48,-2.398934507,count,2.05E-43
LY6H,318,LY6H,OK,treatmentcontrol,-1.763393346,0.137082531,-12.86373497,2.12E-36,-2.396413676,count,7.55E-32
IGFBP2,397,IGFBP2,OK,treatmentcontrol,-1.677831595,0.115757799,-14.49432874,2.80E-45,-2.374450135,count,1.00E-40
FXYD6,651,FXYD6,OK,treatmentcontrol,-1.675377252,0.072551748,-23.0921694,1.94E-104,-2.371553101,count,7.08E-100
NKAIN3,277,NKAIN3,OK,treatmentcontrol,-1.681835839,0.135961499,-12.36994191,6.94E-34,-2.352849642,count,2.47E-29
HIST2H2BF,261,HIST2H2BF,OK,treatmentcontrol,-1.768595322,0.16864294,-10.48721824,4.57E-25,-2.348269987,count,1.60E-20
DCXR,375,DCXR,OK,treatmentcontrol,-1.704394108,0.103732479,-16.43066986,6.71E-57,-2.336241915,count,2.42E-52
C16orf74,259,C16orf74,OK,treatmentcontrol,-1.740685712,0.135829102,-12.81526332,3.77E-36,-2.328563417,count,1.34E-31
HIST1H1C,872,HIST1H1C,OK,treatmentcontrol,-1.628662343,0.082879045,-19.65107523,1.49E-78,-2.322531144,count,5.42E-74
GAP43,239,GAP43,OK,treatmentcontrol,-1.682033282,0.150686086,-11.16249899,4.37E-28,-2.319259954,count,1.54E-23
LHX2,275,LHX2,OK,treatmentcontrol,-1.702297647,0.120064183,-14.17823037,1.72E-43,-2.301061547,count,6.16E-39
LITAF,227,LITAF,OK,treatmentcontrol,-1.718726182,0.123618368,-13.90348547,5.80E-42,-2.299709757,count,2.08E-37
RPS26,1311,RPS26,OK,treatmentcontrol,-1.599369975,0.045128488,-35.44036248,1.44E-212,-2.295529802,count,5.25E-208
YBX3,378,YBX3,OK,treatmentcontrol,-1.633297334,0.105766547,-15.44247568,7.89E-51,-2.264175053,count,2.85E-46
ARHGDIG,264,ARHGDIG,OK,treatmentcontrol,-1.716546107,0.147067287,-11.67184182,1.80E-30,-2.263062251,count,6.39E-26
QKI,632,QKI,OK,treatmentcontrol,-1.585350129,0.071913518,-22.04523115,2.70E-96,-2.26105723,count,9.83E-92
TRNP1,403,TRNP1,OK,treatmentcontrol,-1.619036233,0.129697437,-12.48317831,1.87E-34,-2.25975504,count,6.66E-30
HYI,270,HYI,OK,treatmentcontrol,-1.696085035,0.141442085,-11.99137468,5.18E-32,-2.25382277,count,1.84E-27
ASCL1,340,ASCL1,OK,treatmentcontrol,-1.606234042,0.139809348,-11.48874569,1.33E-29,-2.241188761,count,4.71E-25
EEF1A2,437,EEF1A2,OK,treatmentcontrol,-1.615068667,0.11088026,-14.56588097,1.09E-45,-2.227013345,count,3.92E-41
CRIP2,213,CRIP2,OK,treatmentcontrol,-1.679215678,0.134587081,-12.47679694,2.01E-34,-2.221152707,count,7.17E-30
FEZ1,645,FEZ1,OK,treatmentcontrol,-1.551463988,0.070587622,-21.97926411,8.65E-96,-2.199021542,count,3.15E-91
GNG3,462,GNG3,OK,treatmentcontrol,-1.579626583,0.105926072,-14.91253814,1.08E-47,-2.196583534,count,3.88E-43
GPM6B,1069,GPM6B,OK,treatmentcontrol,-1.524639285,0.057191533,-26.65847901,1.14E-133,-2.191567986,count,4.15E-129
ID2,390,ID2,OK,treatmentcontrol,-1.525826839,0.110901277,-13.75842438,3.63E-41,-2.154775855,count,1.30E-36
GNAI2,513,GNAI2,OK,treatmentcontrol,-1.532792595,0.07705533,-19.89210334,2.79E-80,-2.153764969,count,1.02E-75
NME3,732,NME3,OK,treatmentcontrol,-1.525783965,0.067978968,-22.44494149,2.23E-99,-2.152205371,count,8.13E-95
PDLIM2,285,PDLIM2,OK,treatmentcontrol,-1.597006925,0.117076339,-13.64073166,1.59E-40,-2.151821598,count,5.71E-36
ITPRID2,247,ITPRID2,OK,treatmentcontrol,-1.612203551,0.136778482,-11.78696775,5.07E-31,-2.150726968,count,1.80E-26
WWTR1,265,WWTR1,OK,treatmentcontrol,-1.555296574,0.115346023,-13.48374683,1.13E-39,-2.129792757,count,4.03E-35
MYO10,322,MYO10,OK,treatmentcontrol,-1.540199295,0.102089369,-15.08677452,1.03E-48,-2.123482948,count,3.70E-44
CD44,222,CD44,OK,treatmentcontrol,-1.552588095,0.141172392,-10.99781673,2.47E-27,-2.121891321,count,8.69E-23
CNIH2,205,CNIH2,OK,treatmentcontrol,-1.623764374,0.140875949,-11.52620004,8.86E-30,-2.114207387,count,3.14E-25
CSPG5,373,CSPG5,OK,treatmentcontrol,-1.526600625,0.101691349,-15.01209919,2.82E-48,-2.106545702,count,1.02E-43
IAH1,239,IAH1,OK,treatmentcontrol,-1.585543161,0.139670109,-11.35205788,5.81E-29,-2.099758621,count,2.05E-24
BTG3,263,BTG3,OK,treatmentcontrol,-1.554771502,0.118515414,-13.11872814,9.87E-38,-2.091260413,count,3.53E-33
SRI,880,SRI,OK,treatmentcontrol,-1.460134947,0.055304086,-26.4019362,1.69E-131,-2.081628323,count,6.16E-127
LRRC3B,330,LRRC3B,OK,treatmentcontrol,-1.505981338,0.116576794,-12.91836294,1.10E-36,-2.07737152,count,3.93E-32
CARHSP1,364,CARHSP1,OK,treatmentcontrol,-1.502750317,0.098289376,-15.28904123,6.51E-50,-2.068730625,count,2.35E-45
RPS27,1817,RPS27,OK,treatmentcontrol,-1.431865291,0.026062032,-54.94066115,0,-2.062408837,count,0
EEF1D,882,EEF1D,OK,treatmentcontrol,-1.441767967,0.058291887,-24.73359556,1.26E-117,-2.054437803,count,4.61E-113
FLNA,250,FLNA,OK,treatmentcontrol,-1.530170933,0.124052349,-12.33488075,1.04E-33,-2.052555109,count,3.70E-29
DBNDD2,360,DBNDD2,OK,treatmentcontrol,-1.497012668,0.109659758,-13.65143146,1.39E-40,-2.050626901,count,4.99E-36
CCND2,422,CCND2,OK,treatmentcontrol,-1.451712484,0.097791283,-14.84500909,2.67E-47,-2.044151538,count,9.60E-43
HES6,252,HES6,OK,treatmentcontrol,-1.490596419,0.185975474,-8.015016087,1.88E-15,-2.034566877,count,6.41E-11
PPP1R15A,280,PPP1R15A,OK,treatmentcontrol,-1.499550448,0.122618269,-12.22942111,3.49E-33,-2.034228399,count,1.24E-28
TLE4,232,TLE4,OK,treatmentcontrol,-1.509651067,0.14483038,-10.4235801,8.62E-25,-2.030850503,count,3.03E-20
HEBP1,332,HEBP1,OK,treatmentcontrol,-1.481794112,0.129669743,-11.42744693,2.58E-29,-2.026171098,count,9.13E-25
