gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
LINC02315,1060,LINC02315,OK,treatmentcontrol,6.670335264,0.644190713,10.35459706,1.71E-24,8.185446366,count,6.00E-20
CDH20,1126,CDH20,OK,treatmentcontrol,5.115226268,0.357640003,14.30272405,3.42E-44,7.202078966,count,1.23E-39
LINC02506,703,LINC02506,OK,treatmentcontrol,5.642596264,0.72769556,7.754061686,1.43E-14,7.179885328,count,4.83E-10
AC069228.1,916,AC069228.1,OK,treatmentcontrol,5.830955575,0.586262622,9.945978746,9.11E-23,6.978587879,count,3.18E-18
LINC01619,856,LINC01619,OK,treatmentcontrol,5.676370774,0.591908247,9.58995048,2.59E-21,6.915861833,count,9.03E-17
AL161757.4,843,AL161757.4,OK,treatmentcontrol,5.300257642,0.511017712,10.37196465,1.44E-24,6.75945747,count,5.05E-20
AP000462.1,750,AP000462.1,OK,treatmentcontrol,6.918511139,1.153503424,5.997824535,2.38E-09,6.73422416,count,7.75E-05
AC093879.1,645,AC093879.1,OK,treatmentcontrol,6.313788878,1.135724296,5.559261963,3.08E-08,6.717452414,count,0.000992011
RORA-AS1,630,RORA-AS1,OK,treatmentcontrol,6.695952565,1.157515029,5.784765118,8.45E-09,6.41616189,count,0.000273521
DANT2,829,DANT2,OK,treatmentcontrol,5.103267699,0.401575569,12.70811296,1.34E-35,6.405264357,count,4.78E-31
CNTNAP5,928,CNTNAP5,OK,treatmentcontrol,4.491213884,0.350546248,12.81204378,3.92E-36,6.282913833,count,1.40E-31
KIRREL3,563,KIRREL3,OK,treatmentcontrol,4.599352871,0.60886668,7.553957246,6.46E-14,6.166261832,count,2.18E-09
NRG3,572,NRG3,OK,treatmentcontrol,4.448415731,0.489457485,9.088461962,2.41E-19,5.982995496,count,8.34E-15
LINC01456,715,LINC01456,OK,treatmentcontrol,4.789694015,0.419086635,11.42888752,2.54E-29,5.95592881,count,8.99E-25
IQCJ-SCHIP1,1210,IQCJ-SCHIP1,OK,treatmentcontrol,4.165562886,0.22060805,18.88218898,3.87E-73,5.928070492,count,1.41E-68
AC104041.1,918,AC104041.1,OK,treatmentcontrol,4.300675806,0.269801341,15.94015727,7.51E-54,5.836618013,count,2.71E-49
NFIA-AS2,546,NFIA-AS2,OK,treatmentcontrol,4.821955446,0.545467734,8.840037911,2.10E-18,5.816969154,count,7.23E-14
NRXN3,1407,NRXN3,OK,treatmentcontrol,4.038891182,0.126077048,32.03510261,4.12E-181,5.797557672,count,1.50E-176
MDGA2,782,MDGA2,OK,treatmentcontrol,4.06678018,0.3403054,11.95038393,8.21E-32,5.709794292,count,2.91E-27
DACH2,391,DACH2,OK,treatmentcontrol,4.491465111,0.660004705,6.805201659,1.34E-11,5.600250713,count,4.46E-07
AP000829.1,499,AP000829.1,OK,treatmentcontrol,4.753812553,0.54350051,8.746657027,4.67E-18,5.595507075,count,1.61E-13
IGSF1,762,IGSF1,OK,treatmentcontrol,4.299153617,0.350789938,12.25563551,2.58E-33,5.593712866,count,9.19E-29
PRKN,555,PRKN,OK,treatmentcontrol,4.484741727,0.439623394,10.20132639,7.72E-24,5.520013192,count,2.71E-19
AL157778.1,621,AL157778.1,OK,treatmentcontrol,4.240069678,0.386857317,10.96029334,3.65E-27,5.440505919,count,1.28E-22
FAM155A,461,FAM155A,OK,treatmentcontrol,3.852176038,0.451971573,8.52304938,3.07E-17,5.426351658,count,1.05E-12
NR6A1,690,NR6A1,OK,treatmentcontrol,4.282958868,0.365323893,11.72373051,1.02E-30,5.415307735,count,3.61E-26
KIAA1217,674,KIAA1217,OK,treatmentcontrol,4.044390922,0.360276974,11.22578242,2.24E-28,5.403096996,count,7.90E-24
NRG1,841,NRG1,OK,treatmentcontrol,3.784492182,0.350993468,10.78222968,2.30E-26,5.384937402,count,8.08E-22
AC211433.1,505,AC211433.1,OK,treatmentcontrol,5.020025059,0.645414553,7.777985543,1.19E-14,5.321374209,count,4.02E-10
