gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
SAMD11,650,SAMD11,OK,treatmentcontrol,-1.46814863,0.085932774,-17.0848508,9.82E-63,-2.058159446,count,3.38E-58
HES4,829,HES4,OK,treatmentcontrol,-3.122813027,0.143810378,-21.71479602,9.70E-98,-4.309921645,count,3.42E-93
PUSL1,381,PUSL1,OK,treatmentcontrol,-1.163145137,0.122541294,-9.491862658,4.25E-21,-1.49478929,count,9.54E-17
TMEM240,318,TMEM240,OK,treatmentcontrol,-1.898958764,0.17615278,-10.78018052,1.20E-26,-2.278992246,count,2.78E-22
AL139246.5,269,AL139246.5,OK,treatmentcontrol,-1.999230546,0.16369503,-12.21314139,1.43E-33,-2.433060608,count,3.40E-29
SMIM1,272,SMIM1,OK,treatmentcontrol,-2.796095261,0.249743255,-11.19587898,1.42E-28,-3.065272025,count,3.31E-24
THAP3,641,THAP3,OK,treatmentcontrol,-1.093861863,0.09236698,-11.84256394,1.05E-31,-1.477530053,count,2.48E-27
ENO1,2773,ENO1,OK,treatmentcontrol,-1.114432641,0.038222208,-29.15667863,3.32E-166,-1.60277565,count,1.19E-161
FBXO2,631,FBXO2,OK,treatmentcontrol,-1.299186604,0.101223723,-12.83480365,8.10E-37,-1.752151384,count,2.69E-32
MAD2L2,366,MAD2L2,OK,treatmentcontrol,-1.677250401,0.13227263,-12.68025286,5.35E-36,-2.147913625,count,1.77E-31
MIIP,719,MIIP,OK,treatmentcontrol,-1.166920507,0.084472691,-13.81417471,3.20E-42,-1.591746289,count,1.07E-37
MFAP2,218,MFAP2,OK,treatmentcontrol,-3.359875637,0.280555562,-11.97579406,2.26E-32,-3.749547609,count,5.38E-28
PLA2G5,1275,PLA2G5,OK,treatmentcontrol,-1.200422286,0.070678391,-16.98429004,4.76E-62,-1.693270006,count,1.64E-57
CAMK2N1,633,CAMK2N1,OK,treatmentcontrol,-1.456906255,0.085831294,-16.97406834,5.58E-62,-2.007350557,count,1.92E-57
ID3,388,ID3,OK,treatmentcontrol,-4.96768191,0.518655777,-9.577993988,1.90E-21,-6.480702996,count,4.26E-17
RPL11,3236,RPL11,OK,treatmentcontrol,-1.178455674,0.019837649,-59.40500705,0,-1.699052633,count,0
AL391650.1,899,AL391650.1,OK,treatmentcontrol,-1.589593275,0.071037845,-22.37671025,2.91E-103,-2.236729104,count,1.03E-98
MARCKSL1,1443,MARCKSL1,OK,treatmentcontrol,-2.207917874,0.071551961,-30.85754524,1.41E-183,-3.145889763,count,5.09E-179
FAM229A,201,FAM229A,OK,treatmentcontrol,-1.358925847,0.179642714,-7.564603183,5.03E-14,-1.581885204,count,1.06E-09
FNDC5,569,FNDC5,OK,treatmentcontrol,-1.322993838,0.10238243,-12.92207884,2.76E-37,-1.775272364,count,9.17E-33
HPCA,317,HPCA,OK,treatmentcontrol,-2.258702655,0.207244496,-10.89873408,3.44E-27,-2.71216251,count,7.99E-23
TMEM35B,297,TMEM35B,OK,treatmentcontrol,-2.023061461,0.172473769,-11.72967619,3.78E-31,-2.446838894,count,8.95E-27
POU3F1,352,POU3F1,OK,treatmentcontrol,-1.773868105,0.152393986,-11.64001385,1.04E-30,-2.23613582,count,2.46E-26
COL9A2,205,COL9A2,OK,treatmentcontrol,-3.298231484,0.291904976,-11.29899027,4.60E-29,-3.664373183,count,1.08E-24
CITED4,423,CITED4,OK,treatmentcontrol,-1.725478318,0.12327303,-13.99720865,2.86E-43,-2.257943616,count,9.62E-39
SVBP,2290,SVBP,OK,treatmentcontrol,-1.073790049,0.03469213,-30.95197836,1.48E-184,-1.535882272,count,5.33E-180
SLC2A1,1465,SLC2A1,OK,treatmentcontrol,-1.085785586,0.050019005,-21.70746059,1.12E-97,-1.543685894,count,3.93E-93
HYI,636,HYI,OK,treatmentcontrol,-2.774324452,0.148247659,-18.7141198,2.69E-74,-3.588726836,count,9.36E-70
PTPRF,818,PTPRF,OK,treatmentcontrol,-1.168868783,0.0716681,-16.30947087,1.54E-57,-1.621411934,count,5.29E-53
AGBL4,484,AGBL4,OK,treatmentcontrol,-1.289860172,0.13141456,-9.815199868,1.98E-22,-1.6893941,count,4.48E-18
JUN,2428,JUN,OK,treatmentcontrol,-1.262717119,0.041611829,-30.34514842,2.76E-178,-1.815905363,count,9.95E-174
NFIA,247,NFIA,OK,treatmentcontrol,-1.222125426,0.134104137,-9.113256691,1.36E-19,-1.607556673,count,3.03E-15
GNG5,1155,GNG5,OK,treatmentcontrol,-1.946549662,0.074519207,-26.121449,1.10E-136,-2.762163573,count,3.92E-132
CCN1,260,CCN1,OK,treatmentcontrol,-4.595531053,0.515964579,-8.906679334,8.57E-19,-5.374751742,count,1.89E-14
CNN3,982,CNN3,OK,treatmentcontrol,-1.176511468,0.065202469,-18.0439711,1.95E-69,-1.661828608,count,6.74E-65
COL11A1,285,COL11A1,OK,treatmentcontrol,-2.694958373,0.189859913,-14.19445702,2.06E-44,-3.39457056,count,6.93E-40
GSTM4,356,GSTM4,OK,treatmentcontrol,-1.019225628,0.119988873,-8.49433453,2.99E-17,-1.310410393,count,6.51E-13
LINC01750,523,LINC01750,OK,treatmentcontrol,-1.241422184,0.113803288,-10.90849134,3.10E-27,-1.652451634,count,7.21E-23
RHOC,704,RHOC,OK,treatmentcontrol,-2.044929173,0.097021362,-21.07710234,1.55E-92,-2.844404368,count,5.46E-88
PPM1J,990,PPM1J,OK,treatmentcontrol,-1.642941221,0.096915981,-16.95222201,7.85E-62,-2.278360698,count,2.70E-57
TAFA3,1298,TAFA3,OK,treatmentcontrol,-1.222051887,0.076077545,-16.0632404,6.25E-56,-1.731013609,count,2.14E-51
LINC02802,278,LINC02802,OK,treatmentcontrol,-1.746808085,0.146508709,-11.92289587,4.17E-32,-2.123553692,count,9.89E-28
AC245407.2,465,AC245407.2,OK,treatmentcontrol,-1.128884325,0.104389448,-10.81416124,8.40E-27,-1.499933645,count,1.95E-22
HIST2H2BF,295,HIST2H2BF,OK,treatmentcontrol,-1.22985791,0.185015366,-6.64732848,3.49E-11,-1.534800026,count,7.04E-07
AC239868.1,207,AC239868.1,OK,treatmentcontrol,-1.096220519,0.174466472,-6.283273253,3.76E-10,-1.276060475,count,7.45E-06
HIST2H2AB,245,HIST2H2AB,OK,treatmentcontrol,-2.137005719,0.272317658,-7.847473914,5.72E-15,-2.384873355,count,1.22E-10
BOLA1,879,BOLA1,OK,treatmentcontrol,-1.014684299,0.069035924,-14.69791725,2.14E-47,-1.406384968,count,7.26E-43
SF3B4,936,SF3B4,OK,treatmentcontrol,-1.341342977,0.064137282,-20.91362357,3.21E-91,-1.867408538,count,1.13E-86
PLEKHO1,621,PLEKHO1,OK,treatmentcontrol,-2.19891842,0.109188806,-20.13867989,4.32E-85,-2.955060326,count,1.51E-80
CA14,229,CA14,OK,treatmentcontrol,-3.630773226,0.285716688,-12.70759944,3.84E-36,-3.951131472,count,1.27E-31
APH1A,1051,APH1A,OK,treatmentcontrol,-1.252422595,0.057960103,-21.60835712,7.31E-97,-1.754396516,count,2.57E-92
C1orf54,201,C1orf54,OK,treatmentcontrol,-1.252975851,0.140832828,-8.89690186,9.34E-19,-1.545663381,count,2.06E-14
CERS2,509,CERS2,OK,treatmentcontrol,-1.248145947,0.094137482,-13.25875642,4.10E-39,-1.666659051,count,1.37E-34
S100A6,286,S100A6,OK,treatmentcontrol,-4.717921607,0.496781472,-9.496975778,4.05E-21,-5.320379078,count,9.09E-17
S100A16,553,S100A16,OK,treatmentcontrol,-1.055294624,0.081087353,-13.01429365,8.80E-38,-1.462632321,count,2.92E-33
