gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
AC106798.1,1152,AC106798.1,OK,treatmentcontrol,8.934822003,1.256212819,7.112506631,1.40E-12,9.213259983,count,2.88E-08
LINC02343,1154,LINC02343,OK,treatmentcontrol,8.051707755,0.748214324,10.76123176,1.46E-26,8.83120718,count,3.39E-22
AC098829.1,815,AC098829.1,OK,treatmentcontrol,6.400189159,0.568922974,11.24965848,7.88E-29,8.183917148,count,1.85E-24
LINC02315,1040,LINC02315,OK,treatmentcontrol,6.853453512,0.465128706,14.73453137,1.29E-47,7.909149932,count,4.37E-43
AC112206.2,1944,AC112206.2,OK,treatmentcontrol,5.335077274,0.153281295,34.8057946,7.43E-226,7.664800145,count,2.69E-221
B3GALT5,1092,B3GALT5,OK,treatmentcontrol,5.694802853,0.271411184,20.98219672,9.04E-92,7.506679804,count,3.17E-87
AC093898.1,640,AC093898.1,OK,treatmentcontrol,6.452421846,0.567372288,11.37246562,2.05E-29,7.457056595,count,4.82E-25
AC011586.2,1074,AC011586.2,OK,treatmentcontrol,5.691663714,0.270006591,21.07972141,1.48E-92,7.397867286,count,5.20E-88
AC079467.1,931,AC079467.1,OK,treatmentcontrol,6.629410207,0.556151014,11.92016204,4.30E-32,7.268142722,count,1.02E-27
LINC02242,926,LINC02242,OK,treatmentcontrol,6.10412643,0.439479464,13.88944633,1.19E-42,7.064647086,count,3.99E-38
AL353784.1,922,AL353784.1,OK,treatmentcontrol,6.314047668,0.591177011,10.68046888,3.40E-26,6.988966215,count,7.87E-22
AP000462.1,901,AP000462.1,OK,treatmentcontrol,8.029262061,1.45901597,5.503203685,4.02E-08,6.973053736,count,0.0007602
AL137100.3,815,AL137100.3,OK,treatmentcontrol,6.206197774,0.573763955,10.81663935,8.18E-27,6.661503099,count,1.90E-22
AC137770.1,727,AC137770.1,OK,treatmentcontrol,6.178309256,0.493807908,12.51156403,4.11E-35,6.621589843,count,1.36E-30
FAM222A-AS1,766,FAM222A-AS1,OK,treatmentcontrol,7.768021759,0.896836233,8.661583321,7.21E-18,6.599448868,count,1.58E-13
AL358335.2,775,AL358335.2,OK,treatmentcontrol,5.654287497,0.384920248,14.68950394,2.41E-47,6.597654704,count,8.15E-43
AP000820.2,599,AP000820.2,OK,treatmentcontrol,7.022699035,0.928172805,7.566154705,4.98E-14,6.467500249,count,1.05E-09
RORA-AS1,953,RORA-AS1,OK,treatmentcontrol,5.306353874,0.292729488,18.12715864,4.94E-70,6.408688579,count,1.71E-65
NRG3,779,NRG3,OK,treatmentcontrol,4.86863217,0.254331877,19.14283115,1.77E-77,6.360993032,count,6.16E-73
ASIC2,1255,ASIC2,OK,treatmentcontrol,4.468352707,0.136238857,32.79793144,4.90E-204,6.315786352,count,1.77E-199
AC002429.2,825,AC002429.2,OK,treatmentcontrol,5.7252183,0.38013776,15.06090397,1.33E-49,6.290791387,count,4.53E-45
DANT2,1086,DANT2,OK,treatmentcontrol,4.691311313,0.159433901,29.42480416,6.60E-169,6.280634834,count,2.37E-164
AL161757.4,1273,AL161757.4,OK,treatmentcontrol,4.497237449,0.12444251,36.13907703,1.14E-240,6.246784625,count,4.13E-236
IGSF1,812,IGSF1,OK,treatmentcontrol,5.059089309,0.254658,19.86621001,5.60E-83,6.144524468,count,1.96E-78
AC233296.1,1033,AC233296.1,OK,treatmentcontrol,4.495430089,0.156498831,28.72500738,6.90E-162,6.143368971,count,2.48E-157
TXK,399,TXK,OK,treatmentcontrol,6.778683909,0.955629782,7.093420527,1.60E-12,6.119608665,count,3.29E-08
MIR2052HG,449,MIR2052HG,OK,treatmentcontrol,6.404012256,0.779952468,8.210772479,3.14E-16,6.10821513,count,6.76E-12
SNAP25-AS1,1196,SNAP25-AS1,OK,treatmentcontrol,4.469736123,0.136373426,32.77571195,8.47E-204,6.10288824,count,3.06E-199
AC068282.1,758,AC068282.1,OK,treatmentcontrol,5.951402557,0.590010915,10.08693637,1.40E-23,6.086641304,count,3.19E-19
NRG1,1648,NRG1,OK,treatmentcontrol,4.244708182,0.093727054,45.28797185,0,6.069897454,count,0
AL157778.1,1003,AL157778.1,OK,treatmentcontrol,4.533243298,0.162057867,27.9729913,1.86E-154,6.053510252,count,6.67E-150
AC079142.1,714,AC079142.1,OK,treatmentcontrol,5.057806435,0.303613378,16.65870743,7.46E-60,6.052893908,count,2.56E-55
AC010894.3,712,AC010894.3,OK,treatmentcontrol,6.721054797,0.936321539,7.178148226,8.72E-13,6.03760175,count,1.80E-08
LHFPL3,1448,LHFPL3,OK,treatmentcontrol,4.239163627,0.092349082,45.90369002,0,6.00811723,count,0
