gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
HIST1H4C,279,HIST1H4C,OK,treatmentcontrol,-2.344699357,0.08811211,-26.61040974,1.77E-88,-3.369458749,count,6.47E-84
MT-ND4L,219,MT-ND4L,OK,treatmentcontrol,-2.231307425,0.100598952,-22.18022539,2.71E-70,-3.193699094,count,9.93E-66
PCP2,227,PCP2,OK,treatmentcontrol,-1.915563127,0.147773096,-12.96286789,5.06E-32,-2.760009561,count,1.85E-27
RPS26,284,RPS26,OK,treatmentcontrol,-1.719782417,0.085175761,-20.19098381,6.20E-62,-2.469184709,count,2.27E-57
TUBB2B,251,TUBB2B,OK,treatmentcontrol,-1.431833284,0.114438432,-12.51182197,2.87E-30,-2.055577305,count,1.05E-25
TUBB4B,251,TUBB4B,OK,treatmentcontrol,-1.401951545,0.108939693,-12.86906092,1.18E-31,-2.010904124,count,4.30E-27
RPS27,365,RPS27,OK,treatmentcontrol,-1.323067934,0.058467395,-22.62915806,3.62E-72,-1.90610854,count,1.33E-67
MT-ND3,355,MT-ND3,OK,treatmentcontrol,-1.305093354,0.056863999,-22.9511356,1.65E-73,-1.880656072,count,6.05E-69
TMSB10,308,TMSB10,OK,treatmentcontrol,-1.243353712,0.110060318,-11.29702088,1.12E-25,-1.78914399,count,4.08E-21
MAP1LC3B,206,MAP1LC3B,OK,treatmentcontrol,-1.251646202,0.11354572,-11.02327942,1.13E-24,-1.78512432,count,4.12E-20
JUND,221,JUND,OK,treatmentcontrol,-1.240461893,0.114954852,-10.79086159,7.87E-24,-1.775602347,count,2.87E-19
CHCHD2,350,CHCHD2,OK,treatmentcontrol,-1.217326395,0.067174404,-18.12187849,3.34E-53,-1.751525054,count,1.22E-48
CKB,361,CKB,OK,treatmentcontrol,-1.210864329,0.071182261,-17.01075964,1.56E-48,-1.744262179,count,5.71E-44
H1FX,216,H1FX,OK,treatmentcontrol,-1.204767718,0.120259784,-10.01804324,4.28E-21,-1.722854983,count,1.56E-16
UNC119,233,UNC119,OK,treatmentcontrol,-1.18002085,0.118122342,-9.989819304,5.36E-21,-1.690953232,count,1.95E-16
RSL24D1,237,RSL24D1,OK,treatmentcontrol,-1.174224068,0.10783883,-10.88869442,3.48E-24,-1.679182142,count,1.27E-19
MARCKSL1,286,MARCKSL1,OK,treatmentcontrol,-1.168862336,0.107982172,-10.82458622,5.95E-24,-1.678601978,count,2.17E-19
MAB21L1,203,MAB21L1,OK,treatmentcontrol,-1.172892509,0.133062658,-8.814587997,4.52E-17,-1.675841091,count,1.65E-12
NDUFB8,270,NDUFB8,OK,treatmentcontrol,-1.16408188,0.095295201,-12.21553516,3.94E-29,-1.668562981,count,1.44E-24
PET100,216,PET100,OK,treatmentcontrol,-1.146996166,0.112343261,-10.20974602,9.18E-22,-1.638218401,count,3.35E-17
SOX4,325,SOX4,OK,treatmentcontrol,-1.133381587,0.082715526,-13.70216256,6.05E-35,-1.63171896,count,2.21E-30
RPS21,359,RPS21,OK,treatmentcontrol,-1.117340508,0.066180268,-16.88328785,5.33E-48,-1.608562737,count,1.95E-43
HMGN1,304,HMGN1,OK,treatmentcontrol,-1.096846382,0.096240377,-11.39694602,4.77E-26,-1.575668505,count,1.74E-21
WFDC1,217,WFDC1,OK,treatmentcontrol,-1.096602152,0.122952176,-8.918932418,2.08E-17,-1.569609546,count,7.59E-13
EIF3F,207,EIF3F,OK,treatmentcontrol,-1.08355715,0.120351921,-9.003239342,1.11E-17,-1.546574593,count,4.04E-13
PIK3R1,211,PIK3R1,OK,treatmentcontrol,-1.073035734,0.166376576,-6.449439921,3.45E-10,-1.539450418,count,9.88E-06
RPS28,366,RPS28,OK,treatmentcontrol,-1.067602544,0.056887389,-18.76694584,6.35E-56,-1.537964003,count,2.32E-51
BTG1,339,BTG1,OK,treatmentcontrol,-1.058886491,0.083550832,-12.67356014,6.78E-31,-1.523968263,count,2.48E-26
RPS19,374,RPS19,OK,treatmentcontrol,-1.05266718,0.058585844,-17.96794422,1.49E-52,-1.5170841,count,5.44E-48
HMGN2,273,HMGN2,OK,treatmentcontrol,-1.048444492,0.094672268,-11.07446261,7.34E-25,-1.504515313,count,2.68E-20
RPL39,364,RPL39,OK,treatmentcontrol,-1.042488577,0.064320208,-16.2077925,3.51E-45,-1.501458804,count,1.29E-40
UBE2S,223,UBE2S,OK,treatmentcontrol,-1.045070112,0.122562883,-8.526807532,3.71E-16,-1.492571484,count,1.35E-11
RPL30,374,RPL30,OK,treatmentcontrol,-1.027966644,0.057624675,-17.83900129,5.19E-52,-1.481298521,count,1.90E-47
ZFAS1,243,ZFAS1,OK,treatmentcontrol,-1.032427974,0.109093488,-9.463699348,3.33E-19,-1.478369189,count,1.22E-14
H2AFZ,317,H2AFZ,OK,treatmentcontrol,-1.026007697,0.080123073,-12.80539616,2.08E-31,-1.474553984,count,7.61E-27
PTMA,369,PTMA,OK,treatmentcontrol,-1.013295726,0.059768124,-16.95378177,2.70E-48,-1.460215548,count,9.89E-44
RPS23,375,RPS23,OK,treatmentcontrol,-1.008662018,0.054580628,-18.48022007,1.03E-54,-1.453849631,count,3.77E-50
CD63,258,CD63,OK,treatmentcontrol,-1.003612477,0.102193821,-9.820676744,2.05E-20,-1.438381851,count,7.48E-16
