gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
LINC02315,250,LINC02315,OK,treatmentcontrol,4.868742788,0.846704463,5.750226913,1.85E-08,6.694602974,count,0.00038055
MDGA2,265,MDGA2,OK,treatmentcontrol,4.609441028,0.720283755,6.399479368,4.64E-10,6.567099162,count,9.88E-06
NRG3,255,NRG3,OK,treatmentcontrol,4.230588383,0.607793271,6.960571277,1.52E-11,6.006430499,count,5.49E-07
RYR2,262,RYR2,OK,treatmentcontrol,3.992797019,0.511792688,7.801590585,6.10E-14,5.663767642,count,2.22E-09
DLG2,300,DLG2,OK,treatmentcontrol,3.824216611,0.407892519,9.375549757,6.57E-19,5.501141508,count,2.40E-14
NPAS3,230,NPAS3,OK,treatmentcontrol,3.932098524,0.701645419,5.604110591,4.05E-08,5.422120953,count,0.000833457
SDK1,229,SDK1,OK,treatmentcontrol,3.708487831,0.650707754,5.699160351,2.44E-08,5.283498986,count,0.00050146
TMTC2,242,TMTC2,OK,treatmentcontrol,3.683206279,0.655201052,5.621490181,3.70E-08,5.217803987,count,0.000759895
GRM5,241,GRM5,OK,treatmentcontrol,3.644297508,0.585026065,6.229290841,1.26E-09,5.198247937,count,2.61E-05
PTPRT,234,PTPRT,OK,treatmentcontrol,3.58829962,0.573066803,6.261573,1.04E-09,5.071928501,count,2.16E-05
LRRTM4,284,LRRTM4,OK,treatmentcontrol,3.486002927,0.432473108,8.060623562,1.02E-14,5.001649633,count,3.71E-10
ZNF804B,272,ZNF804B,OK,treatmentcontrol,3.46383842,0.575691486,6.01683107,4.22E-09,4.981381861,count,8.74E-05
ST6GALNAC5,256,ST6GALNAC5,OK,treatmentcontrol,3.434048342,0.481473443,7.13237333,5.10E-12,4.878913995,count,1.85E-07
FAM135B,260,FAM135B,OK,treatmentcontrol,3.431536661,0.486061735,7.059878224,8.10E-12,4.863135613,count,2.93E-07
RASGEF1B,209,RASGEF1B,OK,treatmentcontrol,3.388364489,0.600190101,5.645485463,3.25E-08,4.741868473,count,0.000668719
NRXN3,311,NRXN3,OK,treatmentcontrol,3.295789529,0.24306558,13.55926057,2.24E-34,4.741389099,count,8.20E-30
DAB1,288,DAB1,OK,treatmentcontrol,3.236214418,0.275583552,11.7431334,2.44E-27,4.64285137,count,8.90E-23
GPHN,265,GPHN,OK,treatmentcontrol,3.236172603,0.333684161,9.698310514,5.37E-20,4.598862121,count,1.96E-15
MACROD2,302,MACROD2,OK,treatmentcontrol,3.147135581,0.295038443,10.66686617,2.20E-23,4.522590739,count,8.02E-19
PTPRM,235,PTPRM,OK,treatmentcontrol,3.133893541,0.444235497,7.054577047,8.37E-12,4.462973508,count,3.03E-07
DOCK3,252,DOCK3,OK,treatmentcontrol,3.12966986,0.385637318,8.115578336,6.96E-15,4.440705917,count,2.53E-10
IQCJ-SCHIP1,269,IQCJ-SCHIP1,OK,treatmentcontrol,3.093466904,0.431089971,7.175919441,3.86E-12,4.427721035,count,1.40E-07
RGS7,246,RGS7,OK,treatmentcontrol,3.024838201,0.412838205,7.326933797,1.45E-12,4.311634156,count,5.26E-08
RORA,306,RORA,OK,treatmentcontrol,2.973028599,0.251632633,11.81495645,1.31E-27,4.273389217,count,4.77E-23
CTNNA2,266,CTNNA2,OK,treatmentcontrol,2.947867724,0.344968357,8.545327904,3.25E-16,4.20545455,count,1.18E-11
TBC1D5,243,TBC1D5,OK,treatmentcontrol,2.961935365,0.396485277,7.470480082,5.64E-13,4.199354183,count,2.05E-08
SUPT3H,203,SUPT3H,OK,treatmentcontrol,2.951421722,0.487860043,6.049730373,3.51E-09,4.114443021,count,7.26E-05
WDPCP,211,WDPCP,OK,treatmentcontrol,2.949794382,0.452129647,6.524222424,2.21E-10,4.112108824,count,8.00E-06
SAMD5,273,SAMD5,OK,treatmentcontrol,2.816179465,0.309708779,9.092992062,5.65E-18,4.036137779,count,2.06E-13
LRRC7,256,LRRC7,OK,treatmentcontrol,2.820553375,0.347116195,8.125674976,6.48E-15,4.027697235,count,2.36E-10
CA10,327,CA10,OK,treatmentcontrol,2.756102342,0.192794608,14.29553641,2.50E-37,3.96497371,count,9.15E-33
NCKAP5,242,NCKAP5,OK,treatmentcontrol,2.749726584,0.399351312,6.885482784,2.43E-11,3.917994378,count,8.79E-07
DGKI,240,DGKI,OK,treatmentcontrol,2.746183752,0.352689474,7.786406885,6.76E-14,3.904908358,count,2.46E-09
XKR6,208,XKR6,OK,treatmentcontrol,2.797000002,0.417764023,6.695167236,7.86E-11,3.893048903,count,2.84E-06
SASH1,225,SASH1,OK,treatmentcontrol,2.744940744,0.420348502,6.530154691,2.13E-10,3.89202364,count,7.72E-06
NHS,213,NHS,OK,treatmentcontrol,2.755457389,0.435674963,6.324571352,7.21E-10,3.863679729,count,1.50E-05
SYT9,211,SYT9,OK,treatmentcontrol,2.736823193,0.408765513,6.6953378,7.85E-11,3.836944456,count,2.84E-06
OTX2-AS1,263,OTX2-AS1,OK,treatmentcontrol,2.66265505,0.394142002,6.755572963,5.43E-11,3.804688069,count,1.96E-06
TOX,227,TOX,OK,treatmentcontrol,2.69276324,0.376139277,7.158952553,4.30E-12,3.800604103,count,1.56E-07
NYAP2,246,NYAP2,OK,treatmentcontrol,2.6766639,0.32365962,8.269996432,2.34E-15,3.797987861,count,8.52E-11
LDB2,205,LDB2,OK,treatmentcontrol,2.68371329,0.462916679,5.797400297,1.43E-08,3.760760775,count,0.000294499
FMN1,286,FMN1,OK,treatmentcontrol,2.613129986,0.234721201,11.13290993,4.49E-25,3.743586104,count,1.64E-20
FBXL17,204,FBXL17,OK,treatmentcontrol,2.634592519,0.41220465,6.391467252,4.87E-10,3.700946454,count,1.01E-05
PTPRG,284,PTPRG,OK,treatmentcontrol,2.572587136,0.271564685,9.473202072,3.10E-19,3.68914495,count,1.13E-14
AUTS2,319,AUTS2,OK,treatmentcontrol,2.548420316,0.186855233,13.63847442,1.09E-34,3.664902909,count,3.97E-30
PHACTR1,245,PHACTR1,OK,treatmentcontrol,2.524086102,0.32826642,7.689138904,1.31E-13,3.597439449,count,4.75E-09
ATRNL1,223,ATRNL1,OK,treatmentcontrol,2.53154431,0.369783643,6.846014845,3.10E-11,3.585296,count,1.12E-06
BTBD9,206,BTBD9,OK,treatmentcontrol,2.510754423,0.396056877,6.339378429,6.61E-10,3.532007356,count,1.37E-05
UBE2E2,215,UBE2E2,OK,treatmentcontrol,2.485836086,0.365700004,6.797473504,4.19E-11,3.509689806,count,1.52E-06
LIMS1,201,LIMS1,OK,treatmentcontrol,2.501061154,0.387246605,6.45857478,3.27E-10,3.509443938,count,9.88E-06
PRKCE,250,PRKCE,OK,treatmentcontrol,2.448827708,0.310639294,7.883187202,3.49E-14,3.482742096,count,1.27E-09
ADGRL2,331,ADGRL2,OK,treatmentcontrol,2.415671977,0.201632902,11.98054461,3.09E-28,3.476597852,count,1.13E-23
CEP112,212,CEP112,OK,treatmentcontrol,2.426953322,0.375457669,6.46398655,3.17E-10,3.435055828,count,9.88E-06
MTUS2,263,MTUS2,OK,treatmentcontrol,2.39229362,0.289368419,8.267293407,2.39E-15,3.422588202,count,8.68E-11
FRMD4A,255,FRMD4A,OK,treatmentcontrol,2.398582546,0.273419655,8.772531547,6.17E-17,3.414955624,count,2.25E-12
KCNH5,266,KCNH5,OK,treatmentcontrol,2.383724587,0.2623867,9.084776739,6.01E-18,3.405527818,count,2.19E-13
