gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
MEG3,370,MEG3,OK,treatmentcontrol,-5.14287716,0.741840609,-6.932590505,5.73E-12,-5.492553316,count,1.31E-07
COMT,710,COMT,OK,treatmentcontrol,-4.026633009,0.24930601,-16.15136759,6.43E-55,-5.25805137,count,2.31E-50
COL9A3,385,COL9A3,OK,treatmentcontrol,-3.326948994,0.300549588,-11.06955101,1.33E-27,-4.513747251,count,4.64E-23
COL9A1,470,COL9A1,OK,treatmentcontrol,-3.172900514,0.255532289,-12.41682812,4.96E-34,-4.47180294,count,1.75E-29
PTGDS,746,PTGDS,OK,treatmentcontrol,-3.012074989,0.216239457,-13.9293496,5.72E-42,-4.32924109,count,2.04E-37
HSPA1A,256,HSPA1A,OK,treatmentcontrol,-3.379558945,0.521156107,-6.484734421,1.14E-10,-3.89578342,count,2.57E-06
GAD2,267,GAD2,OK,treatmentcontrol,-2.886776415,0.525529656,-5.493079951,4.51E-08,-3.808376328,count,0.000964541
HSD17B2,406,HSD17B2,OK,treatmentcontrol,-2.62500393,0.172110575,-15.25184566,1.69E-49,-3.703736489,count,6.05E-45
S100A6,545,S100A6,OK,treatmentcontrol,-2.552241271,0.272429289,-9.368454048,2.12E-20,-3.601029565,count,7.23E-16
SFRP2,812,SFRP2,OK,treatmentcontrol,-2.494626757,0.137614985,-18.1275808,1.31E-67,-3.589969228,count,4.74E-63
MFAP4,422,MFAP4,OK,treatmentcontrol,-2.420803039,0.191301221,-12.65440457,3.15E-35,-3.337338321,count,1.11E-30
COL9A2,465,COL9A2,OK,treatmentcontrol,-2.362163835,0.157517461,-14.99620307,5.30E-48,-3.297065707,count,1.90E-43
MXRA8,277,MXRA8,OK,treatmentcontrol,-2.726613332,0.272523991,-10.00503963,5.67E-23,-3.281548232,count,1.95E-18
HIST1H4C,1367,HIST1H4C,OK,treatmentcontrol,-2.283320717,0.202146076,-11.29539965,1.23E-28,-3.279661033,count,4.30E-24
PRELP,261,PRELP,OK,treatmentcontrol,-2.368962857,0.2175946,-10.887048,8.83E-27,-3.190972264,count,3.08E-22
AC007952.4,304,AC007952.4,OK,treatmentcontrol,-2.615009489,0.355189285,-7.362298352,2.73E-13,-3.098462245,count,9.00E-09
CPAMD8,391,CPAMD8,OK,treatmentcontrol,-2.180430177,0.179298509,-12.16089407,9.21E-33,-3.066527996,count,3.25E-28
ALDH1A1,308,ALDH1A1,OK,treatmentcontrol,-2.174279254,0.202119498,-10.75739489,3.34E-26,-2.942044455,count,1.16E-21
CAVIN3,224,CAVIN3,OK,treatmentcontrol,-2.475786399,0.231766233,-10.68225671,7.16E-26,-2.936046883,count,2.49E-21
HIST1H1E,973,HIST1H1E,OK,treatmentcontrol,-2.041139505,0.217620805,-9.379339911,1.92E-20,-2.889265263,count,6.56E-16
HIST1H1D,667,HIST1H1D,OK,treatmentcontrol,-2.005981392,0.278242527,-7.209470868,8.22E-13,-2.807492484,count,2.70E-08
ARR3,272,ARR3,OK,treatmentcontrol,-1.959391194,0.319805506,-6.126821325,1.10E-09,-2.757655387,count,2.43E-05
PTN,887,PTN,OK,treatmentcontrol,-1.895002547,0.119827287,-15.81444919,7.33E-53,-2.721883369,count,2.63E-48
RTBDN,203,RTBDN,OK,treatmentcontrol,-2.151249243,0.302651529,-7.108007192,1.69E-12,-2.720708207,count,5.52E-08
CHST2,273,CHST2,OK,treatmentcontrol,-2.054214855,0.211943509,-9.692275363,1.09E-21,-2.665005201,count,3.73E-17
ZNF280D,269,ZNF280D,OK,treatmentcontrol,-2.164135163,0.251862411,-8.592529383,1.81E-17,-2.560397863,count,6.11E-13
BCAM,327,BCAM,OK,treatmentcontrol,-1.898917395,0.127197463,-14.92889365,1.30E-47,-2.555675675,count,4.67E-43
UBE2T,243,UBE2T,OK,treatmentcontrol,-1.934908463,0.284308059,-6.805675752,1.36E-11,-2.549246402,count,3.10E-07
CPXM1,256,CPXM1,OK,treatmentcontrol,-2.043382769,0.190047504,-10.75195795,3.53E-26,-2.486657531,count,1.23E-21
ERICH5,435,ERICH5,OK,treatmentcontrol,-1.750990417,0.135974226,-12.87737003,2.28E-36,-2.430333984,count,8.06E-32
ASS1,390,ASS1,OK,treatmentcontrol,-1.750862719,0.111241578,-15.73928335,2.09E-52,-2.419723677,count,7.50E-48
EFEMP2,380,EFEMP2,OK,treatmentcontrol,-1.790875913,0.138700495,-12.91182059,1.51E-36,-2.403739695,count,5.36E-32
FLRT3,310,FLRT3,OK,treatmentcontrol,-1.757108337,0.15468228,-11.35946751,6.21E-29,-2.400316509,count,2.17E-24
RPL39L,219,RPL39L,OK,treatmentcontrol,-1.997326071,0.264245081,-7.558612115,6.44E-14,-2.335831286,count,2.13E-09
NBL1,307,NBL1,OK,treatmentcontrol,-1.688205879,0.158788594,-10.63178305,1.19E-25,-2.30802771,count,4.14E-21
SPHK1,305,SPHK1,OK,treatmentcontrol,-1.740406487,0.190989393,-9.112581905,2.08E-19,-2.293063329,count,7.07E-15
S100A4,352,S100A4,OK,treatmentcontrol,-1.646481575,0.217420874,-7.572785197,5.79E-14,-2.277027426,count,1.92E-09
TBX2-AS1,506,TBX2-AS1,OK,treatmentcontrol,-1.637656939,0.107062965,-15.2962039,9.24E-50,-2.271867096,count,3.31E-45
GPX3,395,GPX3,OK,treatmentcontrol,-1.604261765,0.202250364,-7.932058715,3.74E-15,-2.270386582,count,1.25E-10
CRYM,534,CRYM,OK,treatmentcontrol,-1.5905017,0.183236956,-8.680026858,8.67E-18,-2.257393041,count,2.93E-13
SAMD11,363,SAMD11,OK,treatmentcontrol,-1.667046796,0.167480479,-9.953678196,9.25E-23,-2.252093718,count,3.19E-18
EVA1B,447,EVA1B,OK,treatmentcontrol,-1.619346016,0.104210296,-15.53921328,3.32E-51,-2.231612345,count,1.19E-46
GUCY1A1,238,GUCY1A1,OK,treatmentcontrol,-1.711764911,0.244382476,-7.004450327,3.49E-12,-2.230227357,count,7.98E-08
PDC,540,PDC,OK,treatmentcontrol,-1.556150713,0.175248618,-8.879674661,1.58E-18,-2.223294757,count,5.36E-14
DSP,381,DSP,OK,treatmentcontrol,-1.657711744,0.151789952,-10.92109008,6.22E-27,-2.209970425,count,2.17E-22
WFDC1,213,WFDC1,OK,treatmentcontrol,-1.631888357,0.204979336,-7.96123351,2.98E-15,-2.209327283,count,9.95E-11
HYI,482,HYI,OK,treatmentcontrol,-1.586993256,0.104296526,-15.21616602,2.74E-49,-2.167532994,count,9.81E-45
SERTM2,213,SERTM2,OK,treatmentcontrol,-1.660718326,0.215196087,-7.717232905,1.95E-14,-2.14634673,count,6.48E-10
GADD45B,690,GADD45B,OK,treatmentcontrol,-1.495465216,0.105128803,-14.22507606,1.32E-43,-2.139967843,count,4.71E-39
MRPL23,461,MRPL23,OK,treatmentcontrol,-1.575697674,0.120701667,-13.05448144,2.75E-37,-2.133449596,count,9.75E-33
DDAH2,845,DDAH2,OK,treatmentcontrol,-1.504392726,0.070490464,-21.34179064,2.61E-90,-2.131269387,count,9.49E-86
NECAB2,369,NECAB2,OK,treatmentcontrol,-1.534644926,0.114694453,-13.38028895,5.30E-39,-2.119250989,count,1.88E-34
HMX1,811,HMX1,OK,treatmentcontrol,-1.477616474,0.07310151,-20.21321415,4.51E-82,-2.110613423,count,1.64E-77
SLC9A3R2,255,SLC9A3R2,OK,treatmentcontrol,-1.637323358,0.145335406,-11.26582574,1.68E-28,-2.094091815,count,5.89E-24
RAX2,308,RAX2,OK,treatmentcontrol,-1.545126245,0.189176305,-8.167652097,5.84E-16,-2.09342587,count,1.96E-11
CRTAC1,205,CRTAC1,OK,treatmentcontrol,-1.634162344,0.202441752,-8.072259427,1.25E-15,-2.052852555,count,4.17E-11
EGFL7,212,EGFL7,OK,treatmentcontrol,-1.622236379,0.171061511,-9.483351142,7.45E-21,-2.043452537,count,2.55E-16
DCXR,797,DCXR,OK,treatmentcontrol,-1.446596099,0.080217511,-18.03342035,5.56E-67,-2.034308438,count,2.01E-62
UNC119,748,UNC119,OK,treatmentcontrol,-1.422064755,0.145081171,-9.801856069,3.89E-22,-2.034078367,count,1.34E-17
