gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
LINC02315,316,LINC02315,OK,treatmentcontrol,5.387631111,0.35026867,15.38142454,2.89E-50,6.497112185,count,1.04E-45
ANKUB1,239,ANKUB1,OK,treatmentcontrol,6.137766885,0.477137443,12.86372925,2.68E-36,5.687500916,count,9.48E-32
DANT2,329,DANT2,OK,treatmentcontrol,4.174841639,0.183930593,22.6979187,1.48E-100,5.374483307,count,5.41E-96
AC104041.1,359,AC104041.1,OK,treatmentcontrol,3.922329734,0.148131767,26.47865357,7.95E-131,5.251821519,count,2.90E-126
AC009315.1,244,AC009315.1,OK,treatmentcontrol,4.549010868,0.302891048,15.01863757,3.92E-48,5.248691547,count,1.40E-43
DOCK3,339,DOCK3,OK,treatmentcontrol,4.020690955,0.224066592,17.94417865,2.18E-66,5.2299429,count,7.89E-62
AC233296.1,220,AC233296.1,OK,treatmentcontrol,4.349070214,0.348764221,12.46994374,2.69E-34,5.18273213,count,9.49E-30
KCTD8,205,KCTD8,OK,treatmentcontrol,4.216042643,0.299489379,14.07743626,8.73E-43,5.14663683,count,3.11E-38
PRKN,311,PRKN,OK,treatmentcontrol,3.950746973,0.174940113,22.58342526,1.12E-99,5.120282421,count,4.09E-95
LINGO2,205,LINGO2,OK,treatmentcontrol,4.004455992,0.28917614,13.84780914,1.60E-41,4.959463189,count,5.70E-37
AL157778.1,247,AL157778.1,OK,treatmentcontrol,3.805276953,0.199322201,19.09108439,3.67E-74,4.858982708,count,1.33E-69
LINC01697,202,LINC01697,OK,treatmentcontrol,3.682771312,0.225587303,16.32525971,5.42E-56,4.828258821,count,1.95E-51
TENM3,318,TENM3,OK,treatmentcontrol,3.413915396,0.156895048,21.75922974,2.00E-93,4.713983983,count,7.30E-89
RALYL,308,RALYL,OK,treatmentcontrol,3.402644928,0.175675977,19.36886863,4.30E-76,4.707804527,count,1.56E-71
KCTD16,344,KCTD16,OK,treatmentcontrol,3.435883311,0.156814091,21.91055216,1.46E-94,4.700988319,count,5.31E-90
NR6A1,265,NR6A1,OK,treatmentcontrol,3.79926846,0.206838814,18.36825685,3.18E-69,4.647880853,count,1.15E-64
NRG1,277,NRG1,OK,treatmentcontrol,3.41456609,0.249404562,13.69087263,1.14E-40,4.640316318,count,4.07E-36
GRIP1,276,GRIP1,OK,treatmentcontrol,3.496098797,0.202068633,17.30154126,3.54E-62,4.568755177,count,1.28E-57
LINC01572,223,LINC01572,OK,treatmentcontrol,3.662210551,0.20519238,17.84769273,9.49E-66,4.493135838,count,3.43E-61
MAGI2,662,MAGI2,OK,treatmentcontrol,3.160060814,0.08965156,35.24825225,1.37E-207,4.463838483,count,5.02E-203
GPHN,442,GPHN,OK,treatmentcontrol,3.265802744,0.14305361,22.82922294,1.45E-101,4.462948036,count,5.28E-97
ST6GALNAC3,264,ST6GALNAC3,OK,treatmentcontrol,3.323158393,0.146980859,22.60946368,7.09E-100,4.433538334,count,2.59E-95
CLVS1,210,CLVS1,OK,treatmentcontrol,3.376533931,0.185066342,18.24499205,2.14E-68,4.429439845,count,7.76E-64
