gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
HMX1,261,HMX1,OK,treatmentcontrol,-4.286959573,0.737933608,-5.80941094,1.44E-08,-6.034752949,count,0.000498487
COMT,275,COMT,OK,treatmentcontrol,-3.799950982,0.499922554,-7.601079305,2.89E-13,-5.316031021,count,1.02E-08
NKAIN4,236,NKAIN4,OK,treatmentcontrol,-3.386242026,0.539825898,-6.272840997,1.08E-09,-4.738508952,count,3.76E-05
SIX6,226,SIX6,OK,treatmentcontrol,-3.013353061,0.460003439,-6.550718551,2.12E-10,-4.273167031,count,7.42E-06
NR2F1,309,NR2F1,OK,treatmentcontrol,-2.955191216,0.424104821,-6.968067958,1.67E-11,-4.249395213,count,5.88E-07
SNHG9,209,SNHG9,OK,treatmentcontrol,-2.884039292,0.477197535,-6.043701156,3.96E-09,-4.059914395,count,0.00013748
PAX6,280,PAX6,OK,treatmentcontrol,-2.580653962,0.302743576,-8.52422368,5.10E-16,-3.697182947,count,1.82E-11
PTN,334,PTN,OK,treatmentcontrol,-2.43073545,0.380082457,-6.395284503,5.30E-10,-3.501974709,count,1.85E-05
RAX,257,RAX,OK,treatmentcontrol,-2.437485989,0.308805679,-7.893268016,4.09E-14,-3.478373338,count,1.45E-09
MARCKS,288,MARCKS,OK,treatmentcontrol,-2.303058614,0.253085051,-9.099939337,7.79E-18,-3.303912203,count,2.79E-13
ASS1,209,ASS1,OK,treatmentcontrol,-2.270934857,0.310755938,-7.30777622,1.95E-12,-3.218801699,count,6.89E-08
PTMS,321,PTMS,OK,treatmentcontrol,-2.235849501,0.201545538,-11.09352023,1.30E-24,-3.215032491,count,4.68E-20
DAPL1,313,DAPL1,OK,treatmentcontrol,-2.192495452,0.300877063,-7.287014267,2.23E-12,-3.158099007,count,7.87E-08
SNHG7,314,SNHG7,OK,treatmentcontrol,-2.191476336,0.220906601,-9.920375052,1.54E-20,-3.151073414,count,5.53E-16
HES4,236,HES4,OK,treatmentcontrol,-2.203023653,0.367928135,-5.987646615,5.41E-09,-3.146597613,count,0.000187768
DDAH2,255,DDAH2,OK,treatmentcontrol,-2.17435403,0.232008541,-9.37187063,1.02E-18,-3.100911015,count,3.67E-14
ZFP36,237,ZFP36,OK,treatmentcontrol,-2.109116209,0.30269349,-6.96782811,1.68E-11,-3.024019408,count,5.89E-07
MAB21L1,291,MAB21L1,OK,treatmentcontrol,-2.042139293,0.25200131,-8.103685234,9.71E-15,-2.928108163,count,3.45E-10
STMN1,286,STMN1,OK,treatmentcontrol,-2.036224117,0.261951044,-7.773300245,9.18E-14,-2.92261614,count,3.25E-09
SOCS3,231,SOCS3,OK,treatmentcontrol,-2.02772589,0.311231906,-6.515160733,2.62E-10,-2.908785539,count,9.15E-06
MDK,295,MDK,OK,treatmentcontrol,-2.020395474,0.223940348,-9.02202523,1.39E-17,-2.905500655,count,4.96E-13
NUDT4,267,NUDT4,OK,treatmentcontrol,-1.885805987,0.282385355,-6.678129555,9.88E-11,-2.700068566,count,3.46E-06
JUNB,303,JUNB,OK,treatmentcontrol,-1.873403043,0.195257756,-9.594512819,1.89E-19,-2.699060857,count,6.79E-15
YPEL3,250,YPEL3,OK,treatmentcontrol,-1.856337267,0.207395692,-8.950703124,2.34E-17,-2.654023587,count,8.37E-13
TSC22D1,321,TSC22D1,OK,treatmentcontrol,-1.819827431,0.276830779,-6.573790079,1.85E-10,-2.620316463,count,6.47E-06
TMSB4X,320,TMSB4X,OK,treatmentcontrol,-1.734961663,0.275569336,-6.295916981,9.43E-10,-2.502069762,count,3.29E-05
EVA1B,201,EVA1B,OK,treatmentcontrol,-1.753352452,0.250204203,-7.007685847,1.31E-11,-2.484615054,count,4.60E-07
RPS26,333,RPS26,OK,treatmentcontrol,-1.604823738,0.170133117,-9.432753379,6.46E-19,-2.312838434,count,2.32E-14
MFAP2,235,MFAP2,OK,treatmentcontrol,-1.619948489,0.209200199,-7.743532264,1.12E-13,-2.307065233,count,3.97E-09
CENPV,240,CENPV,OK,treatmentcontrol,-1.603105486,0.200434239,-7.998161851,2.00E-14,-2.283648126,count,7.11E-10
MARCKSL1,303,MARCKSL1,OK,treatmentcontrol,-1.580972394,0.153228421,-10.31774902,6.80E-22,-2.273340833,count,2.45E-17
HIST1H4C,327,HIST1H4C,OK,treatmentcontrol,-1.5709803,0.197294135,-7.96263053,2.55E-14,-2.262184122,count,9.06E-10
NAT14,208,NAT14,OK,treatmentcontrol,-1.54855803,0.219483369,-7.05546866,9.70E-12,-2.192879868,count,3.41E-07
GADD45B,245,GADD45B,OK,treatmentcontrol,-1.477235022,0.254057251,-5.814575312,1.40E-08,-2.126526389,count,0.000484733
H1FX,243,H1FX,OK,treatmentcontrol,-1.481563838,0.197117041,-7.516163139,5.05E-13,-2.122277397,count,1.79E-08
POLR2C,203,POLR2C,OK,treatmentcontrol,-1.488222282,0.238182682,-6.248238824,1.24E-09,-2.106535532,count,4.33E-05
SERPING1,205,SERPING1,OK,treatmentcontrol,-1.461469844,0.240007341,-6.089271423,3.07E-09,-2.073349993,count,0.000106529
DDR1,212,DDR1,OK,treatmentcontrol,-1.458666848,0.21443906,-6.802244184,4.65E-11,-2.072376188,count,1.63E-06
MT-ND4L,295,MT-ND4L,OK,treatmentcontrol,-1.442573356,0.248326395,-5.809182538,1.44E-08,-2.072120198,count,0.000499091
HYI,213,HYI,OK,treatmentcontrol,-1.456209568,0.172210118,-8.456004705,8.28E-16,-2.070603766,count,2.95E-11
