gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
TRPM3,285,TRPM3,OK,treatmentcontrol,2.23146728,0.09222627,24.1955706,6.43E-76,3.21613378,count,2.35E-71
TIMP3,246,TIMP3,OK,treatmentcontrol,2.18754777,0.1097421,19.933533,4.13E-59,3.15458386,count,1.51E-54
DAAM1,204,DAAM1,OK,treatmentcontrol,1.91871988,0.0988178,19.4167436,4.86E-57,2.76049218,count,1.78E-52
DNAJC3,201,DNAJC3,OK,treatmentcontrol,1.86156147,0.10810257,17.2203259,3.17E-48,2.67522079,count,1.16E-43
ATP1B1,220,ATP1B1,OK,treatmentcontrol,1.78364289,0.10603872,16.8206757,1.26E-46,2.56498609,count,4.62E-42
RBP1,320,RBP1,OK,treatmentcontrol,1.77551357,0.10306798,17.2266266,2.99E-48,2.56064004,count,1.09E-43
CTSD,261,CTSD,OK,treatmentcontrol,1.55162711,0.13889783,11.1709962,6.85E-25,2.2357701,count,2.48E-20
ZBTB20,205,ZBTB20,OK,treatmentcontrol,1.45918755,0.08631587,16.905205,5.80E-47,2.09668165,count,2.12E-42
SDCBP,253,SDCBP,OK,treatmentcontrol,1.44954066,0.08747766,16.5704105,1.27E-45,2.08543932,count,4.62E-41
ZNF106,233,ZNF106,OK,treatmentcontrol,1.45056395,0.07821348,18.5462138,1.51E-53,2.08528647,count,5.53E-49
GULP1,219,GULP1,OK,treatmentcontrol,1.4352571,0.10076959,14.2429582,2.00E-36,2.0631499,count,7.30E-32
CD63,341,CD63,OK,treatmentcontrol,1.40510304,0.07511721,18.7054744,3.47E-54,2.02647463,count,1.27E-49
CALR,289,CALR,OK,treatmentcontrol,1.40507198,0.07030926,19.9841667,2.59E-59,2.02340375,count,9.48E-55
NPC2,303,NPC2,OK,treatmentcontrol,1.38489654,0.08184722,16.9205079,5.04E-47,1.99603483,count,1.84E-42
SPARC,266,SPARC,OK,treatmentcontrol,1.37351744,0.06902028,19.9002006,5.62E-59,1.97795687,count,2.06E-54
RPS20,309,RPS20,OK,treatmentcontrol,1.35617338,0.06140127,22.0870583,1.12E-67,1.95393019,count,4.11E-63
MANF,230,MANF,OK,treatmentcontrol,1.35719311,0.08329761,16.293301,1.62E-44,1.94924703,count,5.90E-40
SFRP1,278,SFRP1,OK,treatmentcontrol,1.33953002,0.12259586,10.9263883,5.08E-24,1.93137829,count,1.84E-19
TPD52L1,263,TPD52L1,OK,treatmentcontrol,1.3178855,0.09089147,14.4995516,2.00E-37,1.89760717,count,7.28E-33
ARID1B,223,ARID1B,OK,treatmentcontrol,1.32136377,0.08626848,15.3168777,1.22E-40,1.89683239,count,4.46E-36
PLAAT3,262,PLAAT3,OK,treatmentcontrol,1.27857824,0.07138762,17.9103625,5.41E-51,1.84102641,count,1.98E-46
HSPA5,277,HSPA5,OK,treatmentcontrol,1.2378428,0.09507992,13.0189718,1.02E-31,1.78152737,count,3.72E-27
RPS17,301,RPS17,OK,treatmentcontrol,1.22127162,0.05177351,23.5887358,1.45E-73,1.75944397,count,5.32E-69
MACF1,216,MACF1,OK,treatmentcontrol,1.21294505,0.10268034,11.812827,3.25E-27,1.73995904,count,1.18E-22
LAPTM4B,239,LAPTM4B,OK,treatmentcontrol,1.2046548,0.07998998,15.0600708,1.26E-39,1.73384475,count,4.60E-35
DBI,282,DBI,OK,treatmentcontrol,1.19108653,0.09726808,12.2454004,8.24E-29,1.71595893,count,2.99E-24
TMEM98,281,TMEM98,OK,treatmentcontrol,1.17905269,0.14181833,8.3138242,2.25E-15,1.69952067,count,8.02E-11
AP1S2,242,AP1S2,OK,treatmentcontrol,1.17168391,0.10186704,11.502091,4.40E-26,1.68494699,count,1.59E-21
SYNGR1,206,SYNGR1,OK,treatmentcontrol,1.1673038,0.09616865,12.1380903,2.06E-28,1.67611005,count,7.47E-24
NUCB2,250,NUCB2,OK,treatmentcontrol,1.15903218,0.07645992,15.1586901,5.15E-40,1.66582407,count,1.88E-35
PLOD2,216,PLOD2,OK,treatmentcontrol,1.16058464,0.12627794,9.19071596,3.97E-18,1.66306287,count,1.42E-13
DSP,230,DSP,OK,treatmentcontrol,1.13112052,0.10621422,10.6494269,4.80E-23,1.62474285,count,1.73E-18
RAB1A,219,RAB1A,OK,treatmentcontrol,1.1138372,0.07531044,14.789945,1.46E-38,1.59838356,count,5.30E-34
NEAT1,218,NEAT1,OK,treatmentcontrol,1.09482761,0.14761553,7.41675063,9.66E-13,1.57472113,count,3.41E-08
HSP90B1,325,HSP90B1,OK,treatmentcontrol,1.08096961,0.07860577,13.7517845,1.60E-34,1.55791147,count,5.84E-30
PDIA3,286,PDIA3,OK,treatmentcontrol,1.04738766,0.07842255,13.3556944,5.34E-33,1.50693486,count,1.94E-28
RNF13,217,RNF13,OK,treatmentcontrol,1.0283255,0.09497918,10.8268521,1.14E-23,1.47387118,count,4.13E-19
