gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
COMT,591,COMT,OK,treatmentcontrol,-5.294622885,0.499769359,-10.59413265,7.50E-26,-4.903683158,count,1.79E-21
XIST,506,XIST,OK,treatmentcontrol,-5.282452334,0.665921238,-7.932548221,2.83E-15,-4.886628735,count,6.43E-11
AL355075.4,850,AL355075.4,OK,treatmentcontrol,-3.902092952,0.231200339,-16.87753992,1.35E-61,-4.719017091,count,3.34E-57
ZNF667-AS1,400,ZNF667-AS1,OK,treatmentcontrol,-6.42324648,1.019477677,-6.300526851,3.32E-10,-4.414309626,count,7.14E-06
FAM138E,302,FAM138E,OK,treatmentcontrol,-5.418955693,0.705150097,-7.684825853,1.96E-14,-3.942205015,count,4.41E-10
ZMAT1,249,ZMAT1,OK,treatmentcontrol,-5.908791088,0.976558688,-6.050625693,1.59E-09,-3.715462304,count,3.38E-05
HIST1H2AK,335,HIST1H2AK,OK,treatmentcontrol,-3.59838327,0.291171785,-12.35828281,2.12E-34,-3.643951454,count,5.15E-30
HIST1H4D,262,HIST1H4D,OK,treatmentcontrol,-3.298409559,0.305400386,-10.80027958,8.68E-27,-3.238233121,count,2.07E-22
HIST1H4E,1007,HIST1H4E,OK,treatmentcontrol,-2.390573041,0.095992312,-24.90379691,1.43E-126,-3.215897702,count,3.60E-122
DRAIC,517,DRAIC,OK,treatmentcontrol,-2.548637021,0.155287678,-16.41235837,1.85E-58,-3.213931748,count,4.57E-54
TF,404,TF,OK,treatmentcontrol,-2.209631704,0.28374684,-7.787335009,8.85E-15,-2.92654672,count,2.00E-10
ZNF280D,361,ZNF280D,OK,treatmentcontrol,-2.465147017,0.178314015,-13.82475191,2.08E-42,-2.876713223,count,5.09E-38
HIST1H4C,2861,HIST1H4C,OK,treatmentcontrol,-1.988635068,0.035752974,-55.62152808,0,-2.85334626,count,0
CITED2,1390,CITED2,OK,treatmentcontrol,-2.004911841,0.068976312,-29.0666719,2.88E-167,-2.799868414,count,1.05E-162
DUSP1,1044,DUSP1,OK,treatmentcontrol,-1.967354198,0.082399587,-23.87577753,3.42E-117,-2.714143236,count,8.60E-113
AL627171.2,1174,AL627171.2,OK,treatmentcontrol,-1.942360703,0.074582535,-26.04310368,2.74E-137,-2.686902094,count,6.91E-133
HIST2H2BF,230,HIST2H2BF,OK,treatmentcontrol,-2.321864592,0.211035315,-11.00225615,1.01E-27,-2.518517737,count,2.42E-23
MT-ND4L,2057,MT-ND4L,OK,treatmentcontrol,-1.76188149,0.042675124,-41.28591347,4.34E-306,-2.508271358,count,1.59E-301
HIST4H4,230,HIST4H4,OK,treatmentcontrol,-2.29799438,0.202737325,-11.33483626,2.71E-29,-2.468025591,count,6.50E-25
AF131216.1,337,AF131216.1,OK,treatmentcontrol,-1.992429682,0.154530411,-12.89344711,3.15E-37,-2.41268477,count,7.66E-33
FOS,1803,FOS,OK,treatmentcontrol,-1.648167902,0.059742039,-27.58807582,2.44E-152,-2.356038336,count,8.92E-148
UNC13C,304,UNC13C,OK,treatmentcontrol,-1.928773714,0.183465489,-10.51300562,1.73E-25,-2.337824137,count,4.12E-21
HIST1H2AE,327,HIST1H2AE,OK,treatmentcontrol,-1.960400439,0.159884619,-12.26134477,6.72E-34,-2.324207009,count,1.63E-29
IER2,1731,IER2,OK,treatmentcontrol,-1.617328233,0.053442062,-30.26320763,1.06E-179,-2.303666799,count,3.87E-175
HIST1H3D,241,HIST1H3D,OK,treatmentcontrol,-2.027988101,0.186094648,-10.89761645,3.09E-27,-2.300608896,count,7.39E-23
AL391650.1,862,AL391650.1,OK,treatmentcontrol,-1.680257987,0.076781996,-21.88348916,7.53E-100,-2.298819156,count,1.89E-95
YPEL3,1436,YPEL3,OK,treatmentcontrol,-1.640008228,0.054644503,-30.01231837,4.54E-177,-2.294602215,count,1.66E-172
HIST1H4H,259,HIST1H4H,OK,treatmentcontrol,-1.980101031,0.177376175,-11.16328634,1.77E-28,-2.24784774,count,4.25E-24
AP000997.3,223,AP000997.3,OK,treatmentcontrol,-2.02343633,0.201437438,-10.0449864,1.94E-23,-2.222008952,count,4.59E-19
CHN2,231,CHN2,OK,treatmentcontrol,-1.958345278,0.184225491,-10.63015365,5.16E-26,-2.186594782,count,1.23E-21
HIST1H2BC,718,HIST1H2BC,OK,treatmentcontrol,-1.575959714,0.088096808,-17.88895365,1.14E-68,-2.121735989,count,2.82E-64
HIST1H1D,391,HIST1H1D,OK,treatmentcontrol,-1.590098156,0.15072748,-10.54949078,1.19E-25,-2.09439042,count,2.83E-21
BTG2,1043,BTG2,OK,treatmentcontrol,-1.48287106,0.075665287,-19.59777218,2.15E-81,-2.085021138,count,5.37E-77
CKB,3001,CKB,OK,treatmentcontrol,-1.446740568,0.030467807,-47.48423667,0,-2.080961606,count,0
RMRP,373,RMRP,OK,treatmentcontrol,-1.675333724,0.128214456,-13.06665233,3.62E-38,-2.076956691,count,8.83E-34
CRACR2B,382,CRACR2B,OK,treatmentcontrol,-1.669451665,0.124115826,-13.45075581,2.74E-40,-2.072338019,count,6.68E-36
C1orf61,232,C1orf61,OK,treatmentcontrol,-1.664129707,0.221861377,-7.500763448,7.92E-14,-2.011360918,count,1.78E-09
HIST1H1C,2906,HIST1H1C,OK,treatmentcontrol,-1.397521914,0.034092043,-40.99261296,1.66E-302,-2.006116253,count,6.07E-298
ID3,511,ID3,OK,treatmentcontrol,-1.487920098,0.120496289,-12.34826489,2.39E-34,-1.995825214,count,5.80E-30
ZNF790-AS1,323,ZNF790-AS1,OK,treatmentcontrol,-1.627021058,0.136358399,-11.93194607,3.18E-32,-1.978624024,count,7.68E-28
RDH12,1138,RDH12,OK,treatmentcontrol,-1.377580271,0.062923846,-21.89281755,6.29E-100,-1.918079944,count,1.58E-95
HIST2H2AC,1426,HIST2H2AC,OK,treatmentcontrol,-1.357275999,0.054012041,-25.1291375,1.15E-128,-1.904756015,count,2.90E-124
JUNB,1872,JUNB,OK,treatmentcontrol,-1.326456893,0.046923421,-28.26854613,3.79E-159,-1.890945397,count,1.39E-154
ROM1,3261,ROM1,OK,treatmentcontrol,-1.309212785,0.022653208,-57.79370458,0,-1.885653662,count,0
FRAT2,253,FRAT2,OK,treatmentcontrol,-1.618526434,0.148702891,-10.88429704,3.57E-27,-1.870732401,count,8.52E-23
RHOB,309,RHOB,OK,treatmentcontrol,-1.527207815,0.138740365,-11.00766757,9.54E-28,-1.870702208,count,2.28E-23
ZNF506,280,ZNF506,OK,treatmentcontrol,-1.577218235,0.149453412,-10.55324339,1.15E-25,-1.86748321,count,2.72E-21
PLEKHO1,309,PLEKHO1,OK,treatmentcontrol,-1.513559119,0.126075138,-12.00521487,1.36E-32,-1.842083764,count,3.29E-28
SNHG15,490,SNHG15,OK,treatmentcontrol,-1.414671899,0.103251885,-13.70117264,1.06E-41,-1.834660954,count,2.59E-37
KMT2E-AS1,282,KMT2E-AS1,OK,treatmentcontrol,-1.536344091,0.141931249,-10.82456542,6.72E-27,-1.827889138,count,1.60E-22
TMPO,1316,TMPO,OK,treatmentcontrol,-1.306750786,0.054495003,-23.97927727,4.01E-118,-1.825052923,count,1.01E-113
CA2,545,CA2,OK,treatmentcontrol,-1.373825161,0.102493676,-13.40399926,4.99E-40,-1.822877948,count,1.22E-35
DPP7,507,DPP7,OK,treatmentcontrol,-1.392912782,0.09876355,-14.10351066,5.07E-44,-1.816085104,count,1.24E-39
CDKN1C,1726,CDKN1C,OK,treatmentcontrol,-1.273117436,0.048990377,-25.98709202,9.40E-137,-1.804746198,count,2.36E-132
MTURN,290,MTURN,OK,treatmentcontrol,-1.493286434,0.142626769,-10.46988892,2.70E-25,-1.796420723,count,6.42E-21
ABTB1,223,ABTB1,OK,treatmentcontrol,-1.580550183,0.163573907,-9.66260583,7.92E-22,-1.787103485,count,1.86E-17
ID1,1834,ID1,OK,treatmentcontrol,-1.244502852,0.051859723,-23.99748363,2.75E-118,-1.780804813,count,6.90E-114
CLU,313,CLU,OK,treatmentcontrol,-1.333121511,0.167954399,-7.937401551,2.72E-15,-1.755511029,count,6.19E-11
MT-ND6,1197,MT-ND6,OK,treatmentcontrol,-1.254486978,0.060048862,-20.8911032,1.22E-91,-1.754751767,count,3.05E-87
PTN,216,PTN,OK,treatmentcontrol,-1.420823252,0.196666465,-7.224532402,6.09E-13,-1.744199781,count,1.36E-08
NORAD,1282,NORAD,OK,treatmentcontrol,-1.247679918,0.056096127,-22.24181912,6.94E-103,-1.743958325,count,1.74E-98
ABCG1,304,ABCG1,OK,treatmentcontrol,-1.4257236,0.13249719,-10.7604063,1.32E-26,-1.741677603,count,3.15E-22
SNCB,615,SNCB,OK,treatmentcontrol,-1.307851226,0.085353131,-15.32282657,2.08E-51,-1.74113664,count,5.12E-47
C5orf51,473,C5orf51,OK,treatmentcontrol,-1.335618409,0.103949887,-12.84867596,5.48E-37,-1.726454965,count,1.33E-32
ID4,275,ID4,OK,treatmentcontrol,-1.398012387,0.149024259,-9.381106135,1.11E-20,-1.722249469,count,2.60E-16
FAM174A,590,FAM174A,OK,treatmentcontrol,-1.291692332,0.084338643,-15.31554554,2.31E-51,-1.71230867,count,5.69E-47
YPEL2,1440,YPEL2,OK,treatmentcontrol,-1.217262773,0.051981129,-23.41739753,4.20E-113,-1.711376204,count,1.06E-108
AC106881.1,224,AC106881.1,OK,treatmentcontrol,-1.462685597,0.154929379,-9.440982743,6.38E-21,-1.680349,count,1.49E-16
PEX19,366,PEX19,OK,treatmentcontrol,-1.336218858,0.113371963,-11.78614906,1.70E-31,-1.679127876,count,4.10E-27
