gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
KCNIP4,726,KCNIP4,OK,treatmentcontrol,5.64093211,0.484113379,11.65208887,7.82E-31,7.352448767,count,1.88E-26
AP000462.1,854,AP000462.1,OK,treatmentcontrol,6.469321268,0.714567215,9.053481793,2.20E-19,6.918000278,count,5.12E-15
RALYL,459,RALYL,OK,treatmentcontrol,5.840020399,0.723214054,8.075092521,9.07E-16,6.537058438,count,2.07E-11
LINC02343,626,LINC02343,OK,treatmentcontrol,7.4551439,1.297716924,5.744815194,9.95E-09,6.259409596,count,0.000208868
AC069228.1,878,AC069228.1,OK,treatmentcontrol,5.118030399,0.313669212,16.31664887,7.99E-58,6.04057383,count,1.98E-53
CACNA2D3,781,CACNA2D3,OK,treatmentcontrol,4.813420305,0.333319155,14.44087514,5.19E-46,6.020992019,count,1.28E-41
NRG1,1130,NRG1,OK,treatmentcontrol,4.219231903,0.160346865,26.31315501,7.07E-140,5.936938042,count,2.58E-135
LINC02315,772,LINC02315,OK,treatmentcontrol,4.959926158,0.293222507,16.91523004,7.45E-62,5.927137845,count,1.85E-57
PCA3,494,PCA3,OK,treatmentcontrol,4.542938289,0.374539389,12.1294006,3.19E-33,5.634053717,count,7.71E-29
AL157778.1,731,AL157778.1,OK,treatmentcontrol,4.634831036,0.26410514,17.54918908,2.95E-66,5.556915752,count,7.34E-62
ROR1,421,ROR1,OK,treatmentcontrol,4.968075152,0.549728882,9.037318786,2.55E-19,5.294846082,count,5.91E-15
LINC02506,500,LINC02506,OK,treatmentcontrol,4.41275735,0.313767401,14.06378526,8.65E-44,5.281849492,count,2.12E-39
AL110292.1,501,AL110292.1,OK,treatmentcontrol,5.492574109,0.58920519,9.322005655,1.92E-20,5.264026581,count,4.48E-16
DANT2,524,DANT2,OK,treatmentcontrol,5.138786558,0.550972845,9.326751038,1.84E-20,5.22947498,count,4.29E-16
GCNT1,369,GCNT1,OK,treatmentcontrol,5.674980627,0.734468768,7.726646624,1.42E-14,5.172580652,count,3.20E-10
AL137100.3,548,AL137100.3,OK,treatmentcontrol,5.226235795,0.575003094,9.089056818,1.60E-19,5.148355005,count,3.72E-15
FAM155A,1073,FAM155A,OK,treatmentcontrol,3.683883424,0.141380683,26.05648343,2.04E-137,5.145851399,count,5.14E-133
SNAP25-AS1,836,SNAP25-AS1,OK,treatmentcontrol,4.044637911,0.204598094,19.76869794,1.02E-82,5.083208414,count,2.55E-78
AC233296.1,760,AC233296.1,OK,treatmentcontrol,3.824765904,0.172657023,22.15239109,4.00E-102,4.981709168,count,1.00E-97
NRXN3,446,NRXN3,OK,treatmentcontrol,3.839868414,0.357368255,10.74485033,1.56E-26,4.973367934,count,3.71E-22
CDH20,221,CDH20,OK,treatmentcontrol,4.648828209,0.554460954,8.384410441,7.19E-17,4.962648818,count,1.65E-12
AC002429.2,491,AC002429.2,OK,treatmentcontrol,5.88488624,1.001802418,5.874298299,4.63E-09,4.95727746,count,9.77E-05
AC112206.2,424,AC112206.2,OK,treatmentcontrol,3.639805642,0.395502967,9.202979364,5.71E-20,4.888997721,count,1.33E-15
UNC5D,643,UNC5D,OK,treatmentcontrol,3.785517446,0.227045052,16.67297924,3.30E-60,4.885090402,count,8.17E-56
OTX2-AS1,1266,OTX2-AS1,OK,treatmentcontrol,3.462583989,0.099109491,34.93695674,5.87E-231,4.872379396,count,2.15E-226
