gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
LINC02506,696,LINC02506,OK,treatmentcontrol,6.497439862,0.447349516,14.52430286,3.14E-46,7.590440022,count,1.11E-41
LINC02315,749,LINC02315,OK,treatmentcontrol,5.849822975,0.25591163,22.85876174,1.12E-106,7.255218068,count,4.08E-102
AC069228.1,618,AC069228.1,OK,treatmentcontrol,6.531619401,0.613223266,10.65129091,5.03E-26,7.2035449,count,1.74E-21
NRG3,666,NRG3,OK,treatmentcontrol,5.264274676,0.211784413,24.85676163,4.45E-124,6.979885071,count,1.62E-119
SGCZ,342,SGCZ,OK,treatmentcontrol,5.266083097,0.354579404,14.85163275,3.47E-48,6.862860651,count,1.23E-43
KCNIP4,538,KCNIP4,OK,treatmentcontrol,4.848097454,0.254011162,19.08615913,1.06E-76,6.693842474,count,3.82E-72
THSD7B,368,THSD7B,OK,treatmentcontrol,5.152383102,0.366448644,14.0603143,1.60E-43,6.430356084,count,5.66E-39
DSCAM,543,DSCAM,OK,treatmentcontrol,4.78025372,0.202690416,23.58401457,7.05E-113,6.375981882,count,2.56E-108
ERBB4,608,ERBB4,OK,treatmentcontrol,4.70280532,0.191667164,24.53631191,3.20E-121,6.311845706,count,1.16E-116
AC104041.1,723,AC104041.1,OK,treatmentcontrol,4.770520596,0.17899813,26.65123145,1.65E-140,6.251471806,count,6.00E-136
GRM8,397,GRM8,OK,treatmentcontrol,4.746466519,0.256115143,18.53254934,1.20E-72,6.197132785,count,4.31E-68
IGSF1,453,IGSF1,OK,treatmentcontrol,5.922836919,0.490683874,12.07057584,8.72E-33,6.180095582,count,3.04E-28
LINC01619,620,LINC01619,OK,treatmentcontrol,4.934882698,0.244909315,20.14983666,9.59E-85,6.16562557,count,3.46E-80
ADARB2,446,ADARB2,OK,treatmentcontrol,4.844682059,0.262528973,18.45389483,4.43E-72,6.136026734,count,1.60E-67
NRXN3,1180,NRXN3,OK,treatmentcontrol,4.256958089,0.091436695,46.55634237,0,6.033153421,count,0
BBOX1-AS1,363,BBOX1-AS1,OK,treatmentcontrol,5.789790767,0.419034182,13.81698922,3.93E-42,5.990436514,count,1.39E-37
CNTN5,376,CNTN5,OK,treatmentcontrol,4.888659149,0.282709016,17.29219397,6.51E-64,5.972147993,count,2.34E-59
AC009315.1,600,AC009315.1,OK,treatmentcontrol,4.720812592,0.203367458,23.21321531,1.09E-109,5.95853779,count,3.94E-105
FSIP2-AS1,385,FSIP2-AS1,OK,treatmentcontrol,6.867707404,0.842197724,8.154507199,5.11E-16,5.954476503,count,1.70E-11
MDGA2,539,MDGA2,OK,treatmentcontrol,4.396219474,0.187493803,23.44727876,1.07E-111,5.923487503,count,3.87E-107
AL157778.1,560,AL157778.1,OK,treatmentcontrol,4.585200013,0.222256594,20.63020911,1.74E-88,5.781738898,count,6.30E-84
NR6A1,660,NR6A1,OK,treatmentcontrol,4.521657098,0.17100018,26.44241139,1.47E-138,5.781213967,count,5.33E-134
ST6GALNAC3,726,ST6GALNAC3,OK,treatmentcontrol,4.235618744,0.146390409,28.93371752,2.12E-162,5.712824064,count,7.72E-158
LINC01456,471,LINC01456,OK,treatmentcontrol,4.861203044,0.284134485,17.10881043,1.16E-62,5.679628956,count,4.15E-58
SUMF1,429,SUMF1,OK,treatmentcontrol,4.908935048,0.28206764,17.40339673,1.12E-64,5.649952525,count,4.03E-60
ANKUB1,333,ANKUB1,OK,treatmentcontrol,6.636441588,0.686279638,9.670171203,8.42E-22,5.626487885,count,2.87E-17
PRKN,381,PRKN,OK,treatmentcontrol,5.113745322,0.31683413,16.14013404,3.06E-56,5.61000557,count,1.09E-51
FBXL7,389,FBXL7,OK,treatmentcontrol,4.618546792,0.236166548,19.55631242,3.25E-80,5.586238645,count,1.17E-75
PDE3A,690,PDE3A,OK,treatmentcontrol,4.11156923,0.15062333,27.29702781,1.35E-146,5.572487386,count,4.92E-142
FRMD5,696,FRMD5,OK,treatmentcontrol,4.028654817,0.154399504,26.09240769,2.58E-135,5.525229472,count,9.38E-131
AP000829.1,287,AP000829.1,OK,treatmentcontrol,5.735565419,0.44160957,12.98786487,1.48E-37,5.516907142,count,5.20E-33
GRIP1,1091,GRIP1,OK,treatmentcontrol,3.897797566,0.081662409,47.730622,0,5.508569317,count,0
CTNNA2,908,CTNNA2,OK,treatmentcontrol,3.962655488,0.095567659,41.46439829,5.93E-297,5.486067271,count,2.17E-292
ADGRL3,1127,ADGRL3,OK,treatmentcontrol,3.847839997,0.083642646,46.00332704,0,5.455610254,count,0
MAGI2,1193,MAGI2,OK,treatmentcontrol,3.847278704,0.076935531,50.00652683,0,5.45114681,count,0
AC073050.1,239,AC073050.1,OK,treatmentcontrol,7.160767193,0.934482861,7.662812764,2.45E-14,5.434552928,count,8.08E-10
LINC01876,306,LINC01876,OK,treatmentcontrol,4.816722037,0.372693216,12.92409369,3.25E-37,5.404242173,count,1.14E-32
AQP4-AS1,203,AQP4-AS1,OK,treatmentcontrol,7.123292058,1.117878287,6.372153518,2.15E-10,5.381719271,count,6.91E-06
AC002463.1,288,AC002463.1,OK,treatmentcontrol,5.812809673,0.673508439,8.630641182,9.77E-18,5.353128201,count,3.28E-13
AC021504.1,388,AC021504.1,OK,treatmentcontrol,4.407369878,0.261467164,16.8563035,5.85E-61,5.339721819,count,2.10E-56
DANT2,515,DANT2,OK,treatmentcontrol,4.140873375,0.169775141,24.39033976,6.29E-120,5.339368504,count,2.28E-115
TENM2,559,TENM2,OK,treatmentcontrol,3.962939978,0.146799455,26.9956041,9.61E-144,5.305812872,count,3.50E-139
TMTC2,551,TMTC2,OK,treatmentcontrol,3.95027703,0.166888702,23.6701286,1.27E-113,5.283532876,count,4.60E-109
SLIT2,623,SLIT2,OK,treatmentcontrol,3.826475498,0.138671217,27.59386981,2.01E-149,5.269419714,count,7.34E-145
AC090945.1,264,AC090945.1,OK,treatmentcontrol,7.041258488,1.038267597,6.781737681,1.43E-11,5.266228222,count,4.63E-07
LRRTM4,462,LRRTM4,OK,treatmentcontrol,3.922637886,0.1759344,22.29602563,5.89E-102,5.252092684,count,2.13E-97
LINGO2,342,LINGO2,OK,treatmentcontrol,4.257142516,0.217128239,19.60658153,1.36E-80,5.239400457,count,4.89E-76
AC211433.1,317,AC211433.1,OK,treatmentcontrol,5.511465387,0.419536102,13.13704675,2.32E-38,5.200349635,count,8.15E-34
ATRNL1,829,ATRNL1,OK,treatmentcontrol,3.75167494,0.106131914,35.34916862,8.21E-229,5.189023006,count,3.00E-224
CNTN4,349,CNTN4,OK,treatmentcontrol,3.97122949,0.229536916,17.30104928,5.66E-64,5.17386463,count,2.03E-59
GRIK2,583,GRIK2,OK,treatmentcontrol,3.808562315,0.159342953,23.90166768,1.23E-115,5.171217173,count,4.47E-111
TTTY14,280,TTTY14,OK,treatmentcontrol,6.303071331,1.058842448,5.952794341,2.94E-09,5.156316067,count,9.33E-05
AC233296.1,653,AC233296.1,OK,treatmentcontrol,3.78965527,0.115232253,32.88710553,1.40E-202,5.119641424,count,5.13E-198
PDE5A,469,PDE5A,OK,treatmentcontrol,4.232838729,0.22163578,19.09817417,8.65E-77,5.11639164,count,3.12E-72
IMMP2L,419,IMMP2L,OK,treatmentcontrol,4.016615615,0.179288358,22.40310331,7.56E-103,5.072577417,count,2.74E-98
BCL2L14,258,BCL2L14,OK,treatmentcontrol,6.896562103,1.099969011,6.269778542,4.14E-10,5.063109177,count,1.32E-05
BCAS3,546,BCAS3,OK,treatmentcontrol,3.878958986,0.163041433,23.79124684,1.13E-114,5.049372151,count,4.09E-110
NPAS3,490,NPAS3,OK,treatmentcontrol,3.879298772,0.185237333,20.942316,5.96E-91,5.042489369,count,2.16E-86
AC131571.1,333,AC131571.1,OK,treatmentcontrol,4.429460836,0.28250881,15.67901843,2.71E-53,5.019499521,count,9.66E-49
LRBA,795,LRBA,OK,treatmentcontrol,3.642916452,0.113506752,32.09427094,2.58E-194,4.996420037,count,9.40E-190
