gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
LINC01551,226,LINC01551,OK,treatmentcontrol,-5.967221254,0.877946254,-6.796795619,2.00E-11,-6.72709134,count,4.54E-07
LHX2,271,LHX2,OK,treatmentcontrol,-3.670400952,0.248823624,-14.75101477,4.56E-44,-5.054851435,count,1.66E-39
HOPX,405,HOPX,OK,treatmentcontrol,-3.383475775,0.188807514,-17.920239,2.89E-61,-4.857165343,count,1.06E-56
MT1E,242,MT1E,OK,treatmentcontrol,-2.99033866,0.466701395,-6.407391733,2.44E-10,-4.273955211,count,5.45E-06
MT2A,458,MT2A,OK,treatmentcontrol,-2.941354179,0.32681473,-9.000066121,1.42E-18,-4.234860399,count,3.42E-14
CITED1,229,CITED1,OK,treatmentcontrol,-3.050530341,0.342421997,-8.90868684,3.03E-18,-4.21827485,count,7.27E-14
FABP5,505,FABP5,OK,treatmentcontrol,-2.896682494,0.187829325,-15.4218863,1.47E-47,-4.170807697,count,5.36E-43
COMT,250,COMT,OK,treatmentcontrol,-2.816165901,0.212780276,-13.23508903,1.58E-36,-3.868399991,count,5.69E-32
HIST1H4C,463,HIST1H4C,OK,treatmentcontrol,-2.697502202,0.380691883,-7.08578859,2.88E-12,-3.868207807,count,6.60E-08
PTTG1,302,PTTG1,OK,treatmentcontrol,-2.67972395,0.310320051,-8.635355481,2.81E-17,-3.793801166,count,6.71E-13
SCRG1,396,SCRG1,OK,treatmentcontrol,-2.569448783,0.1454173,-17.66948493,7.63E-60,-3.66313004,count,2.78E-55
FABP7,570,FABP7,OK,treatmentcontrol,-2.330540475,0.108847772,-21.41100767,7.46E-82,-3.356269742,count,2.73E-77
MRPL23,267,MRPL23,OK,treatmentcontrol,-2.389547489,0.161251303,-14.8187794,2.04E-44,-3.307855462,count,7.42E-40
SMC4,221,SMC4,OK,treatmentcontrol,-2.359474886,0.240796288,-9.7986348,1.46E-21,-3.281737941,count,3.56E-17
HMGB2,310,HMGB2,OK,treatmentcontrol,-2.237646263,0.258328499,-8.662018596,2.27E-17,-3.189420274,count,5.42E-13
S100A13,438,S100A13,OK,treatmentcontrol,-2.169916519,0.125024025,-17.35599629,4.42E-58,-3.108671208,count,1.61E-53
RBM3,471,RBM3,OK,treatmentcontrol,-2.160026362,0.079388495,-27.20830471,4.27E-118,-3.085230111,count,1.56E-113
RPS26,689,RPS26,OK,treatmentcontrol,-2.13476583,0.05250236,-40.66037883,1.81E-202,-3.072778635,count,6.61E-198
PSRC1,289,PSRC1,OK,treatmentcontrol,-2.14225622,0.157518861,-13.59999813,2.69E-38,-3.012176749,count,9.73E-34
PMP2,258,PMP2,OK,treatmentcontrol,-2.020378665,0.229169327,-8.816095463,6.49E-18,-2.888189858,count,1.55E-13
TUBB3,442,TUBB3,OK,treatmentcontrol,-2.01398548,0.120829558,-16.66798686,2.89E-54,-2.886949072,count,1.05E-49
BID,226,BID,OK,treatmentcontrol,-2.015743663,0.191353514,-10.53413454,1.73E-24,-2.780269555,count,6.15E-20
H2AFX,250,H2AFX,OK,treatmentcontrol,-1.928026534,0.200250304,-9.62808295,6.59E-21,-2.708167977,count,1.60E-16
CENPV,433,CENPV,OK,treatmentcontrol,-1.897524965,0.100876479,-18.81038058,2.23E-66,-2.705289221,count,8.13E-62
KPNA2,247,KPNA2,OK,treatmentcontrol,-1.919225315,0.233917871,-8.204697244,8.40E-16,-2.704736565,count,1.98E-11
COL9A3,204,COL9A3,OK,treatmentcontrol,-1.933292216,0.208011906,-9.294142132,1.19E-19,-2.660659113,count,2.87E-15
LRRC3B,292,LRRC3B,OK,treatmentcontrol,-1.878971584,0.138780744,-13.53913761,5.33E-38,-2.65320976,count,1.93E-33
TSC22D4,363,TSC22D4,OK,treatmentcontrol,-1.839835731,0.12248294,-15.0211591,1.84E-45,-2.614717307,count,6.67E-41
ETV1,240,ETV1,OK,treatmentcontrol,-1.852974195,0.172484553,-10.74284137,2.39E-25,-2.573506397,count,8.51E-21
PHF19,204,PHF19,OK,treatmentcontrol,-1.863106264,0.161703225,-11.5217632,1.15E-28,-2.565745994,count,4.12E-24
NME1,498,NME1,OK,treatmentcontrol,-1.767386529,0.073245342,-24.12967806,1.20E-98,-2.528405084,count,4.39E-94
TNFRSF12A,330,TNFRSF12A,OK,treatmentcontrol,-1.734647247,0.182579551,-9.500775092,2.01E-20,-2.481249703,count,4.86E-16
HMGA1,492,HMGA1,OK,treatmentcontrol,-1.732869637,0.118427191,-14.63236295,1.85E-43,-2.480905272,count,6.71E-39
FIBP,372,FIBP,OK,treatmentcontrol,-1.707863352,0.092874449,-18.38894731,6.05E-64,-2.421567322,count,2.21E-59
GFAP,457,GFAP,OK,treatmentcontrol,-1.651298329,0.112696633,-14.65259687,1.46E-43,-2.378384136,count,5.29E-39
PDCL3,252,PDCL3,OK,treatmentcontrol,-1.698305676,0.143162483,-11.86278445,3.60E-30,-2.357764506,count,1.29E-25
METRN,654,METRN,OK,treatmentcontrol,-1.634181856,0.073189993,-22.3279411,1.84E-87,-2.353355476,count,6.73E-83
LGALS3,705,LGALS3,OK,treatmentcontrol,-1.617529151,0.078151797,-20.69727386,1.54E-77,-2.330817297,count,5.64E-73
TUBB2A,549,TUBB2A,OK,treatmentcontrol,-1.609703831,0.089987793,-17.88802439,4.41E-61,-2.312847788,count,1.61E-56
NDUFB8,555,NDUFB8,OK,treatmentcontrol,-1.608500201,0.059353518,-27.10033457,2.07E-117,-2.306863145,count,7.58E-113
GAP43,505,GAP43,OK,treatmentcontrol,-1.596007908,0.108446344,-14.71702822,6.81E-44,-2.295419253,count,2.47E-39
PFN1,624,PFN1,OK,treatmentcontrol,-1.589197832,0.057601036,-27.58974388,1.60E-120,-2.284571213,count,5.85E-116
UBE2S,437,UBE2S,OK,treatmentcontrol,-1.598426086,0.152603547,-10.47437046,3.03E-24,-2.282865062,count,1.08E-19
JPT1,555,JPT1,OK,treatmentcontrol,-1.57707525,0.084159211,-18.73918765,5.76E-66,-2.263622436,count,2.10E-61
OAF,236,OAF,OK,treatmentcontrol,-1.607661894,0.156432767,-10.27701499,1.90E-23,-2.247665669,count,4.67E-19
S100A16,421,S100A16,OK,treatmentcontrol,-1.566825532,0.112186835,-13.96621569,4.22E-40,-2.244302295,count,1.53E-35
TUBA1B,672,TUBA1B,OK,treatmentcontrol,-1.549050836,0.09451677,-16.38916383,9.68E-53,-2.230690935,count,3.53E-48
DBI,697,DBI,OK,treatmentcontrol,-1.51906918,0.072362279,-20.99255567,2.56E-79,-2.188539882,count,9.37E-75
PPP1R14B,600,PPP1R14B,OK,treatmentcontrol,-1.520690851,0.061185575,-24.85374794,3.42E-103,-2.183061265,count,1.25E-98
HIST1H1D,338,HIST1H1D,OK,treatmentcontrol,-1.519358231,0.216485173,-7.018301585,4.55E-12,-2.166543151,count,1.04E-07
CKS2,275,CKS2,OK,treatmentcontrol,-1.524612487,0.192318171,-7.927552959,6.92E-15,-2.163827548,count,1.62E-10
TUBB4B,527,TUBB4B,OK,treatmentcontrol,-1.474137127,0.144349593,-10.21227075,3.45E-23,-2.117624626,count,8.48E-19
C1QL1,491,C1QL1,OK,treatmentcontrol,-1.472801924,0.093128809,-15.81467574,1.21E-49,-2.114270635,count,4.42E-45
EEF1A2,308,EEF1A2,OK,treatmentcontrol,-1.494245146,0.123657188,-12.08377099,3.67E-31,-2.106936654,count,1.32E-26
DEF8,308,DEF8,OK,treatmentcontrol,-1.495263274,0.106626287,-14.0234019,2.19E-40,-2.103651013,count,7.93E-36
SRSF2,466,SRSF2,OK,treatmentcontrol,-1.474183107,0.079610582,-18.51742646,1.10E-64,-2.10289481,count,4.02E-60
ALYREF,278,ALYREF,OK,treatmentcontrol,-1.506305139,0.128784572,-11.69631669,1.97E-29,-2.10176668,count,7.07E-25
NUDT4,520,NUDT4,OK,treatmentcontrol,-1.463343469,0.097596513,-14.99380899,2.55E-45,-2.09798486,count,9.25E-41
NAA10,349,NAA10,OK,treatmentcontrol,-1.484737197,0.103123565,-14.39765201,2.89E-42,-2.096299519,count,1.05E-37
PSMB8,232,PSMB8,OK,treatmentcontrol,-1.501132111,0.147890091,-10.15032243,6.10E-23,-2.083857992,count,1.50E-18
ANXA2,512,ANXA2,OK,treatmentcontrol,-1.450232364,0.102261583,-14.18159505,3.54E-41,-2.083310856,count,1.28E-36
