gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
AC092957.1,335,AC092957.1,OK,treatmentcontrol,5.676215187,0.806648611,7.036787905,4.02E-12,7.649678423,count,9.20E-08
ERBB4,420,ERBB4,OK,treatmentcontrol,5.402826143,0.579121296,9.329351524,8.80E-20,7.342669201,count,2.13E-15
NRG3,328,NRG3,OK,treatmentcontrol,5.269612086,0.660651765,7.976383874,4.79E-15,6.935732691,count,1.13E-10
AC104041.1,347,AC104041.1,OK,treatmentcontrol,5.686812304,0.692347034,8.213817677,7.83E-16,6.900802571,count,1.85E-11
NR2F2-AS1,393,NR2F2-AS1,OK,treatmentcontrol,4.98010574,0.46963083,10.60429899,8.92E-25,6.568632231,count,3.17E-20
TRPM3,283,TRPM3,OK,treatmentcontrol,4.688548136,0.69108739,6.784305719,2.17E-11,6.546586497,count,4.92E-07
PURPL,425,PURPL,OK,treatmentcontrol,4.544190221,0.441242755,10.29861719,1.56E-23,6.241445665,count,3.83E-19
OTX2-AS1,207,OTX2-AS1,OK,treatmentcontrol,4.732781391,0.722032338,6.554805297,9.59E-11,6.164361172,count,2.16E-06
LINC02315,325,LINC02315,OK,treatmentcontrol,4.549497833,0.410379623,11.08607147,8.66E-27,5.992279256,count,3.09E-22
MDGA2,233,MDGA2,OK,treatmentcontrol,4.480592454,0.582896595,7.686770677,4.12E-14,5.851429439,count,9.61E-10
PRKN,329,PRKN,OK,treatmentcontrol,4.447427608,0.397839476,11.17894998,3.48E-27,5.803877551,count,1.24E-22
CCSER1,206,CCSER1,OK,treatmentcontrol,4.696888466,0.800412503,5.868084833,6.29E-09,5.798415367,count,0.000137024
LRP1B,223,LRP1B,OK,treatmentcontrol,4.138593161,0.448900744,9.219394736,2.25E-19,5.632963896,count,5.43E-15
AC021504.1,217,AC021504.1,OK,treatmentcontrol,4.742350721,0.649212187,7.304777726,6.34E-13,5.549512703,count,1.46E-08
DOCK3,354,DOCK3,OK,treatmentcontrol,4.06993956,0.319997365,12.71866584,4.42E-34,5.504734251,count,1.59E-29
NCKAP5,366,NCKAP5,OK,treatmentcontrol,3.86945582,0.365630934,10.58295528,1.09E-24,5.427425908,count,3.88E-20
FHIT,275,FHIT,OK,treatmentcontrol,4.070405869,0.357218968,11.39470812,4.11E-28,5.427077257,count,1.47E-23
DANT2,221,DANT2,OK,treatmentcontrol,4.255916671,0.420220667,10.1278138,7.49E-23,5.423862034,count,1.84E-18
FBXL7,375,FBXL7,OK,treatmentcontrol,3.904531662,0.316403751,12.34034567,2.50E-32,5.412407096,count,8.98E-28
GNG12-AS1,217,GNG12-AS1,OK,treatmentcontrol,4.644895395,0.678864244,6.842156491,1.48E-11,5.410795238,count,3.37E-07
KIAA1217,219,KIAA1217,OK,treatmentcontrol,3.993724509,0.517765666,7.713382266,3.39E-14,5.410763596,count,7.91E-10
RFX3-AS1,237,RFX3-AS1,OK,treatmentcontrol,4.385675896,0.505093866,8.682892808,1.92E-17,5.354124175,count,4.58E-13
RMST,421,RMST,OK,treatmentcontrol,3.736816149,0.315978073,11.82618816,5.24E-30,5.309312674,count,1.88E-25
GREB1L,229,GREB1L,OK,treatmentcontrol,3.993724509,0.457663445,8.726334936,1.35E-17,5.29206939,count,3.23E-13
RORA-AS1,225,RORA-AS1,OK,treatmentcontrol,4.424373175,0.695757733,6.359071503,3.29E-10,5.276001372,count,7.35E-06
ADGRL3,357,ADGRL3,OK,treatmentcontrol,3.785362038,0.293264271,12.90768229,5.72E-35,5.266751372,count,2.06E-30
LINC02649,211,LINC02649,OK,treatmentcontrol,4.408541716,0.541114645,8.147149135,1.31E-15,5.253483544,count,3.09E-11
HIF1A-AS3,218,HIF1A-AS3,OK,treatmentcontrol,4.12557664,0.531383403,7.763841729,2.34E-14,5.237676862,count,5.47E-10
SDK1,346,SDK1,OK,treatmentcontrol,3.800009433,0.308292879,12.32597212,2.91E-32,5.183134448,count,1.05E-27
SNED1,204,SNED1,OK,treatmentcontrol,4.069110028,0.499722315,8.142742293,1.35E-15,5.157094084,count,3.19E-11
BBS9,258,BBS9,OK,treatmentcontrol,3.832306226,0.476403568,8.044243329,2.87E-15,5.147086461,count,6.75E-11
NAV3,293,NAV3,OK,treatmentcontrol,3.760462827,0.370408273,10.1522107,5.99E-23,5.146416859,count,1.47E-18
RSPO2,208,RSPO2,OK,treatmentcontrol,3.788080862,0.457992702,8.271050704,5.02E-16,5.142854805,count,1.19E-11
NR3C2,223,NR3C2,OK,treatmentcontrol,4.104773512,0.417209913,9.838628909,1.02E-21,5.140061786,count,2.49E-17
NAALADL2,240,NAALADL2,OK,treatmentcontrol,3.903563671,0.400063007,9.757372229,2.11E-21,5.103229521,count,5.13E-17
AC009315.1,217,AC009315.1,OK,treatmentcontrol,4.136441769,0.480603721,8.606761842,3.54E-17,5.102499568,count,8.44E-13
PLCB4,245,PLCB4,OK,treatmentcontrol,3.86932809,0.384646206,10.05944691,1.40E-22,5.085945074,count,3.42E-18
NEBL,289,NEBL,OK,treatmentcontrol,3.678501412,0.352652624,10.43094864,4.55E-24,4.958754851,count,1.62E-19
1-Mar,313,1-Mar,OK,treatmentcontrol,3.506897511,0.366746861,9.562174579,1.17E-20,4.875147121,count,2.85E-16
IL1RAPL1,205,IL1RAPL1,OK,treatmentcontrol,3.623535846,0.428660097,8.453168067,1.20E-16,4.8647891,count,2.86E-12
DGKI,211,DGKI,OK,treatmentcontrol,3.637369105,0.435100971,8.359827605,2.51E-16,4.84966204,count,5.96E-12
AC233296.1,235,AC233296.1,OK,treatmentcontrol,3.590653465,0.38154428,9.410843392,4.37E-20,4.832953877,count,1.06E-15
PTCHD4,395,PTCHD4,OK,treatmentcontrol,3.419763946,0.225154199,15.18854171,2.47E-46,4.753991522,count,8.97E-42
ESRRG,203,ESRRG,OK,treatmentcontrol,3.522377696,0.410164499,8.587719573,4.13E-17,4.735239411,count,9.83E-13
LINC01473,350,LINC01473,OK,treatmentcontrol,3.414080132,0.244988247,13.93568944,5.98E-40,4.695819986,count,2.16E-35
RORA,509,RORA,OK,treatmentcontrol,3.281582141,0.169290568,19.3843176,9.90E-70,4.662840847,count,3.62E-65
CACNB2,247,CACNB2,OK,treatmentcontrol,3.421916879,0.306039232,11.18130137,3.40E-27,4.660947764,count,1.22E-22
TRPC1,270,TRPC1,OK,treatmentcontrol,3.485412502,0.286141873,12.18071462,1.34E-31,4.590294295,count,4.80E-27
PRTG,231,PRTG,OK,treatmentcontrol,3.363268507,0.355670391,9.456138591,2.95E-20,4.557209864,count,7.16E-16
SLIT2,313,SLIT2,OK,treatmentcontrol,3.222605117,0.292123086,11.03166874,1.47E-26,4.53374936,count,5.26E-22
RAD51B,299,RAD51B,OK,treatmentcontrol,3.343405363,0.277869172,12.03230044,6.26E-31,4.528788858,count,2.25E-26
ANKFN1,222,ANKFN1,OK,treatmentcontrol,3.405779916,0.314620905,10.82502741,1.09E-25,4.498831072,count,3.88E-21
TENM3,269,TENM3,OK,treatmentcontrol,3.287063609,0.279912361,11.74318847,1.22E-29,4.476756366,count,4.39E-25
BTBD9,241,BTBD9,OK,treatmentcontrol,3.402576496,0.291307186,11.68037268,2.32E-29,4.472183936,count,8.31E-25
CP,240,CP,OK,treatmentcontrol,3.147265223,0.421932037,7.459175763,2.13E-13,4.46947366,count,4.94E-09
