gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
NEUROD4,647,NEUROD4,OK,treatmentcontrol,-4.525393466,0.381395979,-11.86534132,2.41E-30,-6.241370374,count,5.57E-26
NRL,392,NRL,OK,treatmentcontrol,-4.214275267,0.592824722,-7.108804858,2.33E-12,-5.885225087,count,4.98E-08
SLC1A2,354,SLC1A2,OK,treatmentcontrol,-4.742856977,0.60951907,-7.781310236,1.90E-14,-5.599219664,count,4.14E-10
VSX2,374,VSX2,OK,treatmentcontrol,-4.269048653,0.467790694,-9.125980294,4.29E-19,-5.409058664,count,9.63E-15
SCG3,569,SCG3,OK,treatmentcontrol,-3.878147187,0.313111698,-12.38582658,9.96E-33,-5.374466034,count,2.31E-28
PROX1,251,PROX1,OK,treatmentcontrol,-4.40410366,0.718309765,-6.131203935,1.29E-09,-5.291377414,count,2.66E-05
NEUROD1,449,NEUROD1,OK,treatmentcontrol,-3.786514492,0.368049682,-10.28805261,1.37E-23,-5.236412636,count,3.13E-19
LINC00599,496,LINC00599,OK,treatmentcontrol,-3.772331195,0.299851374,-12.58067004,1.22E-33,-5.124360683,count,2.84E-29
AL391650.1,371,AL391650.1,OK,treatmentcontrol,-4.066965129,0.377501631,-10.773371,1.37E-25,-5.120636345,count,3.14E-21
CELF3,257,CELF3,OK,treatmentcontrol,-4.513894837,0.587638088,-7.681419792,3.97E-14,-5.024508019,count,8.65E-10
TBX2,349,TBX2,OK,treatmentcontrol,-3.975845224,0.420970394,-9.444477055,2.78E-20,-4.990803514,count,6.26E-16
TAGLN3,354,TAGLN3,OK,treatmentcontrol,-3.762027726,0.440891106,-8.532782068,5.72E-17,-4.891696029,count,1.27E-12
AANAT,355,AANAT,OK,treatmentcontrol,-3.735385795,0.366823916,-10.1830487,3.64E-23,-4.88813925,count,8.29E-19
PDC,265,PDC,OK,treatmentcontrol,-3.437967585,0.394554969,-8.713532593,1.33E-17,-4.865819357,count,2.95E-13
SLITRK6,224,SLITRK6,OK,treatmentcontrol,-4.204764228,0.656915517,-6.400768617,2.44E-10,-4.835222467,count,5.11E-06
CHGB,245,CHGB,OK,treatmentcontrol,-3.912295911,0.606777781,-6.447658486,1.82E-10,-4.820846279,count,3.81E-06
KCNK3,222,KCNK3,OK,treatmentcontrol,-4.368547019,0.646320435,-6.759103969,2.44E-11,-4.819319409,count,5.17E-07
FABP7,555,FABP7,OK,treatmentcontrol,-3.366211576,0.391672744,-8.594449386,3.49E-17,-4.815663665,count,7.75E-13
LHX4,350,LHX4,OK,treatmentcontrol,-3.729672536,0.346536404,-10.76271494,1.52E-25,-4.805910134,count,3.48E-21
SYP,536,SYP,OK,treatmentcontrol,-3.471480042,0.221748418,-15.65503859,3.18E-49,-4.762815684,count,1.16E-44
SLC17A7,273,SLC17A7,OK,treatmentcontrol,-3.931135311,0.446014948,-8.813909325,5.82E-18,-4.748362652,count,1.30E-13
STMN4,291,STMN4,OK,treatmentcontrol,-3.64711743,0.465628721,-7.832672832,1.30E-14,-4.688302149,count,2.83E-10
MAB21L1,485,MAB21L1,OK,treatmentcontrol,-3.388399217,0.266818681,-12.69925782,3.37E-34,-4.687909882,count,7.84E-30
CRYBG3,603,CRYBG3,OK,treatmentcontrol,-3.264755069,0.220839758,-14.78336642,1.37E-44,-4.580589926,count,4.99E-40
AMER2,471,AMER2,OK,treatmentcontrol,-3.302495397,0.267256387,-12.35703077,1.35E-32,-4.574453446,count,3.14E-28
HPCA,252,HPCA,OK,treatmentcontrol,-3.802005483,0.485189173,-7.836130098,1.26E-14,-4.565629897,count,2.76E-10
RCOR2,376,RCOR2,OK,treatmentcontrol,-3.43123553,0.310324909,-11.05691304,8.61E-27,-4.534491585,count,1.98E-22
SNAP25,396,SNAP25,OK,treatmentcontrol,-3.393833777,0.269402882,-12.59761495,1.02E-33,-4.521370165,count,2.36E-29
MIR124-2HG,303,MIR124-2HG,OK,treatmentcontrol,-3.462555845,0.389814203,-8.882580015,3.30E-18,-4.465028234,count,7.37E-14
DIRAS2,342,DIRAS2,OK,treatmentcontrol,-3.380740536,0.33714299,-10.02761629,1.52E-22,-4.43893241,count,3.46E-18
TUBB2B,696,TUBB2B,OK,treatmentcontrol,-3.068774168,0.166971313,-18.37905034,1.27E-64,-4.364284183,count,4.63E-60
ATP1A3,343,ATP1A3,OK,treatmentcontrol,-3.323097462,0.28088738,-11.83071118,3.45E-30,-4.35684141,count,7.97E-26
TUBB3,646,TUBB3,OK,treatmentcontrol,-3.043380819,0.18508854,-16.4428377,1.53E-53,-4.308958126,count,5.56E-49
MIR7-3HG,222,MIR7-3HG,OK,treatmentcontrol,-3.527365406,0.440351079,-8.010348054,3.40E-15,-4.276105387,count,7.45E-11
MRPS30-DT,390,MRPS30-DT,OK,treatmentcontrol,-3.129701997,0.31167708,-10.0414891,1.34E-22,-4.273226235,count,3.05E-18
CRX,399,CRX,OK,treatmentcontrol,-3.109349582,0.257765941,-12.06268592,3.07E-31,-4.271138552,count,7.10E-27
PCBP4,663,PCBP4,OK,treatmentcontrol,-3.015745148,0.149734669,-20.14059381,3.43E-75,-4.265574865,count,1.25E-70
EEF1A2,330,EEF1A2,OK,treatmentcontrol,-3.250733043,0.293988252,-11.05735695,8.57E-27,-4.253874529,count,1.97E-22
SOX4,815,SOX4,OK,treatmentcontrol,-2.949057241,0.11681057,-25.24649302,1.33E-107,-4.233200142,count,4.88E-103
