gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
TTR,218,TTR,OK,treatmentcontrol,5.26522611,0.496698253,10.60045224,7.21E-25,7.588006639,count,1.65E-20
RARRES2,221,RARRES2,OK,treatmentcontrol,4.250054252,0.197737921,21.49336981,1.47E-83,5.972672299,count,5.37E-79
FOS,216,FOS,OK,treatmentcontrol,4.183970395,0.200230134,20.89580779,7.72E-80,5.911849088,count,2.82E-75
MID1,222,MID1,OK,treatmentcontrol,3.945923376,0.229114962,17.22246044,6.27E-58,5.534767681,count,2.29E-53
MT1X,236,MT1X,OK,treatmentcontrol,3.769602545,0.212320294,17.75432051,5.56E-61,5.356845314,count,2.03E-56
EGR1,206,EGR1,OK,treatmentcontrol,3.490133526,0.175197722,19.92111244,7.48E-74,4.891617087,count,2.73E-69
APOE,232,APOE,OK,treatmentcontrol,3.362617106,0.174743363,19.24317499,9.34E-70,4.733464137,count,3.41E-65
MLF1,208,MLF1,OK,treatmentcontrol,3.3202665,0.14313272,23.19711732,2.39E-94,4.598874545,count,8.74E-90
GPC6,254,GPC6,OK,treatmentcontrol,3.136870649,0.171213858,18.32135953,2.76E-64,4.438555062,count,1.01E-59
CACNB2,218,CACNB2,OK,treatmentcontrol,3.016165415,0.178867047,16.86261093,6.84E-56,4.217834084,count,2.49E-51
TPM1,320,TPM1,OK,treatmentcontrol,2.928581605,0.139831685,20.94361946,3.90E-80,4.174579511,count,1.43E-75
NDUFA4L2,207,NDUFA4L2,OK,treatmentcontrol,2.852620535,0.173698032,16.42287196,1.97E-53,4.029098359,count,7.18E-49
OSBPL1A,300,OSBPL1A,OK,treatmentcontrol,2.758994765,0.095369796,28.92943981,7.23E-132,3.915068865,count,2.65E-127
IFITM3,227,IFITM3,OK,treatmentcontrol,2.766745431,0.147957743,18.69956504,1.63E-66,3.90844295,count,5.94E-62
RMST,227,RMST,OK,treatmentcontrol,2.642987286,0.150602908,17.54937745,8.44E-60,3.70465258,count,3.08E-55
MAGI2,280,MAGI2,OK,treatmentcontrol,2.610770166,0.125651784,20.77782009,4.15E-79,3.698974478,count,1.52E-74
ARL4A,203,ARL4A,OK,treatmentcontrol,2.645659827,0.151556803,17.45655601,2.88E-59,3.681392364,count,1.05E-54
CYSTM1,275,CYSTM1,OK,treatmentcontrol,2.589482041,0.10417153,24.85786709,4.54E-105,3.659324424,count,1.66E-100
MMP24OS,247,MMP24OS,OK,treatmentcontrol,2.600816942,0.117406998,22.15214589,1.06E-87,3.647489627,count,3.87E-83
DLEU1,203,DLEU1,OK,treatmentcontrol,2.586852967,0.157828998,16.39022618,2.99E-53,3.585655098,count,1.09E-48
VCL,204,VCL,OK,treatmentcontrol,2.569524961,0.163029739,15.76108123,8.48E-50,3.568773698,count,3.09E-45
PDZRN3,215,PDZRN3,OK,treatmentcontrol,2.545054366,0.164070448,15.51196084,1.88E-48,3.547222209,count,6.85E-44
PLTP,214,PLTP,OK,treatmentcontrol,2.539498796,0.127094272,19.98122144,3.22E-74,3.539268906,count,1.18E-69
PDE4D,209,PDE4D,OK,treatmentcontrol,2.463872808,0.17639313,13.96807694,2.11E-40,3.458086655,count,7.65E-36
TSPAN6,212,TSPAN6,OK,treatmentcontrol,2.473049444,0.144590903,17.10376924,2.96E-57,3.439474473,count,1.08E-52
ZFP36L1,228,ZFP36L1,OK,treatmentcontrol,2.439670957,0.137117653,17.79253729,3.34E-61,3.438793446,count,1.22E-56
FABP5,378,FABP5,OK,treatmentcontrol,2.386209245,0.150925431,15.81051801,4.57E-50,3.421982624,count,1.66E-45
MRPS6,404,MRPS6,OK,treatmentcontrol,2.383517035,0.083109374,28.67928049,3.29E-130,3.411777998,count,1.21E-125
ID1,215,ID1,OK,treatmentcontrol,2.35028862,0.166490596,14.11664489,3.74E-41,3.337987074,count,1.36E-36
CLU,332,CLU,OK,treatmentcontrol,2.32203672,0.093853838,24.74098841,2.61E-104,3.320055706,count,9.55E-100
CETN2,269,CETN2,OK,treatmentcontrol,2.333180125,0.099821119,23.3736121,1.77E-95,3.295122197,count,6.47E-91
CDO1,237,CDO1,OK,treatmentcontrol,2.34374979,0.131445545,17.8305761,2.01E-61,3.286868912,count,7.34E-57
SPARC,283,SPARC,OK,treatmentcontrol,2.263849641,0.105736578,21.41027914,4.86E-83,3.205148642,count,1.78E-78
CD9,268,CD9,OK,treatmentcontrol,2.231839592,0.105865636,21.08181346,5.41E-81,3.159202594,count,1.98E-76
MIR99AHG,216,MIR99AHG,OK,treatmentcontrol,2.262358726,0.144837784,15.61994851,4.92E-49,3.154929054,count,1.79E-44
CGNL1,226,CGNL1,OK,treatmentcontrol,2.23894247,0.12853396,17.41907323,4.72E-59,3.137678884,count,1.72E-54
FXYD1,252,FXYD1,OK,treatmentcontrol,2.21724258,0.118958034,18.63886368,3.72E-66,3.125169095,count,1.36E-61
SLC5A3,256,SLC5A3,OK,treatmentcontrol,2.208615204,0.129550728,17.04826553,6.11E-57,3.114931247,count,2.23E-52
NSMCE2,245,NSMCE2,OK,treatmentcontrol,2.21346245,0.162486874,13.6224077,1.13E-38,3.112523123,count,4.10E-34
ZIC1,202,ZIC1,OK,treatmentcontrol,2.189662296,0.128991816,16.97520325,1.58E-56,3.044777787,count,5.78E-52
GALNT11,257,GALNT11,OK,treatmentcontrol,2.151739639,0.112878008,19.06252313,1.13E-68,3.035399725,count,4.12E-64
PTPRG,240,PTPRG,OK,treatmentcontrol,2.139959988,0.142535336,15.01354013,8.49E-46,3.012749278,count,3.09E-41
PDLIM2,245,PDLIM2,OK,treatmentcontrol,2.137979907,0.103538295,20.64917046,2.59E-78,3.004424649,count,9.45E-74
PCP4,416,PCP4,OK,treatmentcontrol,2.079178108,0.113698253,18.28680786,4.41E-64,2.989759785,count,1.61E-59
NPC2,316,NPC2,OK,treatmentcontrol,2.103452427,0.08299001,25.34585095,2.99E-108,2.988766498,count,1.10E-103
RPGR,217,RPGR,OK,treatmentcontrol,2.141019962,0.134607246,15.90568135,1.39E-50,2.983871556,count,5.05E-46
COBLL1,262,COBLL1,OK,treatmentcontrol,2.101345152,0.107426541,19.56076334,1.15E-71,2.974090334,count,4.18E-67
RFX3,224,RFX3,OK,treatmentcontrol,2.104874982,0.130372121,16.14513105,6.76E-52,2.944167532,count,2.46E-47
LSAMP,209,LSAMP,OK,treatmentcontrol,2.096769716,0.150182875,13.96144342,2.28E-40,2.942742173,count,8.27E-36
RAB11FIP1,219,RAB11FIP1,OK,treatmentcontrol,2.08656814,0.121874735,17.12059632,2.38E-57,2.904996307,count,8.67E-53
NFIA,307,NFIA,OK,treatmentcontrol,2.039313785,0.114973031,17.73732303,6.97E-61,2.89770871,count,2.54E-56
TBC1D5,219,TBC1D5,OK,treatmentcontrol,2.077185378,0.134924548,15.39516278,7.96E-48,2.886839805,count,2.90E-43
SAT1,347,SAT1,OK,treatmentcontrol,1.992821231,0.103125691,19.32419767,3.05E-70,2.841341429,count,1.11E-65
ZFP36L2,252,ZFP36L2,OK,treatmentcontrol,1.989636416,0.107043483,18.58717928,7.52E-66,2.826784606,count,2.75E-61
CYBA,205,CYBA,OK,treatmentcontrol,2.010243789,0.127762808,15.73418605,1.19E-49,2.798317943,count,4.32E-45
CST3,501,CST3,OK,treatmentcontrol,1.945181643,0.059332671,32.78432625,1.91E-157,2.790443239,count,7.00E-153
MARK1,256,MARK1,OK,treatmentcontrol,1.963430991,0.128263913,15.30774275,2.33E-47,2.762702858,count,8.50E-43
IGFBP5,292,IGFBP5,OK,treatmentcontrol,1.860894754,0.145093581,12.82547951,8.49E-35,2.674380908,count,1.97E-30
LAMB1,211,LAMB1,OK,treatmentcontrol,1.889814892,0.128011466,14.76285646,1.76E-44,2.646892835,count,6.38E-40
PLXDC2,289,PLXDC2,OK,treatmentcontrol,1.84406238,0.108483686,16.99852258,1.17E-56,2.614965217,count,4.26E-52
MYL12A,380,MYL12A,OK,treatmentcontrol,1.832606713,0.127711146,14.34962233,2.42E-42,2.613487021,count,8.78E-38
CD59,323,CD59,OK,treatmentcontrol,1.836894371,0.087849024,20.90967309,6.34E-80,2.606793485,count,2.32E-75
MOSPD1,246,MOSPD1,OK,treatmentcontrol,1.845794357,0.118492065,15.5773668,8.36E-49,2.587844105,count,3.04E-44
PBXIP1,257,PBXIP1,OK,treatmentcontrol,1.811924704,0.11364563,15.94363728,8.60E-51,2.550247709,count,3.13E-46
UBE2E2,233,UBE2E2,OK,treatmentcontrol,1.809829209,0.121452884,14.90149229,3.30E-45,2.531363746,count,1.20E-40
LYPLA2,247,LYPLA2,OK,treatmentcontrol,1.790012136,0.11415833,15.68008345,2.33E-49,2.5063618,count,8.48E-45
MEF2A,315,MEF2A,OK,treatmentcontrol,1.747040439,0.118101885,14.79265501,1.23E-44,2.47871888,count,4.46E-40
ADGRV1,223,ADGRV1,OK,treatmentcontrol,1.762290218,0.119438953,14.75473599,1.94E-44,2.460753509,count,7.04E-40
B2M,381,B2M,OK,treatmentcontrol,1.71733197,0.077517975,22.15398387,1.03E-87,2.453543322,count,3.77E-83
MORN2,316,MORN2,OK,treatmentcontrol,1.7109224,0.09325572,18.34656794,1.97E-64,2.424756153,count,7.18E-60
STK33,228,STK33,OK,treatmentcontrol,1.725922542,0.112784795,15.30279452,2.48E-47,2.411714482,count,9.03E-43
CHCHD10,370,CHCHD10,OK,treatmentcontrol,1.679972304,0.075284668,22.31493281,9.89E-89,2.395086645,count,3.62E-84
ZBTB20,351,ZBTB20,OK,treatmentcontrol,1.66571144,0.096559822,17.25056445,4.33E-58,2.372678591,count,1.58E-53
