gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
XIST,1981,XIST,OK,treatmentcontrol,-6.838643515,0.706799459,-9.675507573,5.62E-22,-7.617422933,count,1.63E-17
COMT,2558,COMT,OK,treatmentcontrol,-5.063471789,0.213673121,-23.69728002,1.49E-118,-6.303189594,count,5.08E-114
ZNF667-AS1,1971,ZNF667-AS1,OK,treatmentcontrol,-6.958502489,0.670064276,-10.38482835,4.82E-25,-6.229102475,count,1.42E-20
ZNF248,1473,ZNF248,OK,treatmentcontrol,-7.158285604,0.932404679,-7.67723046,1.90E-14,-5.580400497,count,5.22E-10
S100A6,745,S100A6,OK,treatmentcontrol,-3.858720056,0.38167206,-10.11004069,7.86E-24,-4.971268458,count,2.30E-19
HSPA1A,924,HSPA1A,OK,treatmentcontrol,-5.613911777,0.730539975,-7.684605863,1.79E-14,-4.851891893,count,4.93E-10
NAP1L5,1032,NAP1L5,OK,treatmentcontrol,-5.296257875,0.528359781,-10.02396108,1.86E-23,-4.761762298,count,5.43E-19
AL592183.1,930,AL592183.1,OK,treatmentcontrol,-6.558919591,0.828698138,-7.914727073,2.95E-15,-4.739352884,count,8.17E-11
TRIM4,749,TRIM4,OK,treatmentcontrol,-6.308042197,1.051989424,-5.996298114,2.14E-09,-4.392177086,count,3.95E-05
ZNF439,1005,ZNF439,OK,treatmentcontrol,-4.07195181,0.303787771,-13.4039359,2.29E-40,-4.323946808,count,7.09E-36
DNAJC15,590,DNAJC15,OK,treatmentcontrol,-5.516828832,0.807212101,-6.834422853,9.08E-12,-4.20578832,count,2.43E-07
ZNF454,768,ZNF454,OK,treatmentcontrol,-4.686735697,0.440971575,-10.62820364,3.84E-26,-4.179263104,count,1.14E-21
TXNRD2,653,TXNRD2,OK,treatmentcontrol,-6.073029074,0.975265374,-6.227052901,5.09E-10,-4.070556874,count,9.52E-06
LERFS,1051,LERFS,OK,treatmentcontrol,-3.469772399,0.229871806,-15.09438005,1.60E-50,-3.953552356,count,5.10E-46
ZNF790-AS1,1687,ZNF790-AS1,OK,treatmentcontrol,-2.787955961,0.113247034,-24.61835752,2.41E-127,-3.676875194,count,8.25E-123
C1QTNF12,751,C1QTNF12,OK,treatmentcontrol,-3.136848765,0.214857843,-14.59964748,1.96E-47,-3.522403504,count,6.18E-43
ZMAT1,371,ZMAT1,OK,treatmentcontrol,-5.563446473,0.934611086,-5.952686155,2.79E-09,-3.389345513,count,5.14E-05
TSIX,380,TSIX,OK,treatmentcontrol,-4.443913414,0.715240714,-6.213171768,5.56E-10,-3.260328704,count,1.04E-05
TF,303,TF,OK,treatmentcontrol,-2.476314299,0.271001377,-9.137644716,8.67E-20,-3.175013017,count,2.48E-15
RBM3,3851,RBM3,OK,treatmentcontrol,-2.142921487,0.041921786,-51.11713239,0,-3.065371593,count,0
ZNF506,1423,ZNF506,OK,treatmentcontrol,-2.143541187,0.096633969,-22.18206708,1.08E-104,-2.853037223,count,3.65E-100
PAX8-AS1,309,PAX8-AS1,OK,treatmentcontrol,-3.849338895,0.441046924,-8.72773097,3.35E-18,-2.817086531,count,9.51E-14
AC006115.2,454,AC006115.2,OK,treatmentcontrol,-2.65541644,0.264020766,-10.05760447,1.33E-23,-2.810215087,count,3.88E-19
GNAT1,1231,GNAT1,OK,treatmentcontrol,-1.934886249,0.112611658,-17.18193547,1.43E-64,-2.712163483,count,4.63E-60
NKX6-2,774,NKX6-2,OK,treatmentcontrol,-2.14642502,0.154573107,-13.88614786,3.77E-43,-2.706510203,count,1.18E-38
CLIC1,3091,CLIC1,OK,treatmentcontrol,-1.889007835,0.077083146,-24.50610713,2.94E-126,-2.698591625,count,1.00E-121
GATD3A,862,GATD3A,OK,treatmentcontrol,-2.135932753,0.12892245,-16.56757808,2.89E-60,-2.66266696,count,9.31E-56
RGS9BP,1892,RGS9BP,OK,treatmentcontrol,-1.935016919,0.08660078,-22.344105,3.87E-106,-2.656379997,count,1.31E-101
LGALS3,286,LGALS3,OK,treatmentcontrol,-2.033252477,0.223564523,-9.094700949,1.28E-19,-2.641818006,count,3.66E-15
TNFRSF12A,846,TNFRSF12A,OK,treatmentcontrol,-1.989118978,0.144232844,-13.79102653,1.36E-42,-2.608056187,count,4.23E-38
AF131216.3,824,AF131216.3,OK,treatmentcontrol,-1.935641121,0.135434733,-14.29205851,1.46E-45,-2.444533789,count,4.57E-41
AP000459.1,292,AP000459.1,OK,treatmentcontrol,-2.622109239,0.347156504,-7.553104168,4.91E-14,-2.43916558,count,1.35E-09
SYT11,2179,SYT11,OK,treatmentcontrol,-1.727153301,0.055950378,-30.86937676,8.24E-194,-2.421609945,count,2.89E-189
ENO3,1226,ENO3,OK,treatmentcontrol,-1.776837724,0.110041243,-16.14701613,2.12E-57,-2.418438987,count,6.81E-53
AC233280.1,670,AC233280.1,OK,treatmentcontrol,-2.006487777,0.145435396,-13.79641982,1.26E-42,-2.412345376,count,3.93E-38
VGF,204,VGF,OK,treatmentcontrol,-2.814186912,0.363089321,-7.750673871,1.07E-14,-2.40801434,count,2.96E-10
TMEM151A,992,TMEM151A,OK,treatmentcontrol,-1.801913903,0.105364822,-17.10166514,5.31E-64,-2.360610708,count,1.72E-59
MRPL23,2073,MRPL23,OK,treatmentcontrol,-1.680664437,0.060141918,-27.94497592,2.70E-161,-2.34126697,count,9.37E-157
TIMP1,3496,TIMP1,OK,treatmentcontrol,-1.637135304,0.043036998,-38.04018349,9.08E-283,-2.340783322,count,3.24E-278
AC127540.2,334,AC127540.2,OK,treatmentcontrol,-2.317794117,0.246617985,-9.398317465,7.80E-21,-2.337747897,count,2.25E-16
ANKRD33,2555,ANKRD33,OK,treatmentcontrol,-1.650970602,0.05822627,-28.35439425,1.06E-165,-2.326749538,count,3.68E-161
PCDH10,1447,PCDH10,OK,treatmentcontrol,-1.695923351,0.093868086,-18.067092,5.07E-71,-2.320506418,count,1.66E-66
AC074212.1,527,AC074212.1,OK,treatmentcontrol,-1.951392197,0.148936299,-13.10219341,1.13E-38,-2.315791509,count,3.50E-34
ZSCAN1,1428,ZSCAN1,OK,treatmentcontrol,-1.699850095,0.073548537,-23.11194983,4.15E-113,-2.308534752,count,1.41E-108
ICAM3,268,ICAM3,OK,treatmentcontrol,-2.561484616,0.302405897,-8.470352719,3.07E-17,-2.305803313,count,8.64E-13
ZNF467,512,ZNF467,OK,treatmentcontrol,-1.967829704,0.151814108,-12.96210032,6.75E-38,-2.3048695,count,2.08E-33
HILPDA,2551,HILPDA,OK,treatmentcontrol,-1.622315921,0.071849543,-22.57934917,2.98E-108,-2.300430631,count,1.01E-103
CHPF,2190,CHPF,OK,treatmentcontrol,-1.636520341,0.05613994,-29.15073185,2.06E-174,-2.297581912,count,7.20E-170
AC005863.1,298,AC005863.1,OK,treatmentcontrol,-2.430924997,0.326674774,-7.441422455,1.14E-13,-2.296563311,count,3.12E-09
SNCB,2490,SNCB,OK,treatmentcontrol,-1.632798123,0.061904819,-26.37594544,7.30E-145,-2.288080061,count,2.52E-140
ZNRD2,3259,ZNRD2,OK,treatmentcontrol,-1.607850224,0.043470057,-36.98753437,5.73E-269,-2.287330679,count,2.04E-264
ACP5,1760,ACP5,OK,treatmentcontrol,-1.654845437,0.069682816,-23.74825719,4.95E-119,-2.286621056,count,1.68E-114
PHLDA2,205,PHLDA2,OK,treatmentcontrol,-2.542066526,0.393469432,-6.46064552,1.13E-10,-2.281617418,count,2.42E-06
RBAKDN,356,RBAKDN,OK,treatmentcontrol,-2.273802547,0.22808363,-9.969161525,3.20E-23,-2.281412644,count,9.34E-19
HLA-DQB1,1649,HLA-DQB1,OK,treatmentcontrol,-1.656301175,0.076448008,-21.66572044,3.82E-100,-2.278906502,count,1.28E-95
TSPAN13,2471,TSPAN13,OK,treatmentcontrol,-1.617172432,0.058500958,-27.64352048,4.41E-158,-2.271253314,count,1.53E-153
LINC02693,1438,LINC02693,OK,treatmentcontrol,-1.67105301,0.084414809,-19.79573294,1.93E-84,-2.268634101,count,6.41E-80
MPC1,4227,MPC1,OK,treatmentcontrol,-1.576663858,0.040473104,-38.95584188,5.84E-295,-2.263067205,count,2.09E-290
CAMK2N2,1647,CAMK2N2,OK,treatmentcontrol,-1.63806806,0.075625069,-21.66038447,4.25E-100,-2.254660004,count,1.43E-95
ANKRD37,2872,ANKRD37,OK,treatmentcontrol,-1.584470688,0.060842211,-26.04229303,1.83E-141,-2.251805333,count,6.31E-137
BHLHE41,3011,BHLHE41,OK,treatmentcontrol,-1.577099175,0.062071096,-25.40794781,4.27E-135,-2.24362465,count,1.47E-130
PCYT2,960,PCYT2,OK,treatmentcontrol,-1.704183186,0.099281498,-17.16516383,1.88E-64,-2.228340439,count,6.10E-60
ZNF880,617,ZNF880,OK,treatmentcontrol,-1.846163581,0.14657607,-12.59525911,6.62E-36,-2.216140192,count,2.03E-31
TMEM215,398,TMEM215,OK,treatmentcontrol,-1.688432317,0.165821635,-10.18221969,3.80E-24,-2.213095463,count,1.11E-19
ZFPL1,3458,ZFPL1,OK,treatmentcontrol,-1.551562392,0.042133527,-36.82488736,7.40E-267,-2.211166836,count,2.64E-262
SCG3,5531,SCG3,OK,treatmentcontrol,-1.531005766,0.023553946,-64.99996964,0,-2.205428446,count,0
RPS26,5296,RPS26,OK,treatmentcontrol,-1.528528933,0.033094877,-46.18627019,0,-2.200519121,count,0
RHBDL1,869,RHBDL1,OK,treatmentcontrol,-1.687723825,0.107759955,-15.66188315,3.54E-54,-2.20030569,count,1.13E-49
EPS8L2,641,EPS8L2,OK,treatmentcontrol,-1.774903433,0.136159003,-13.03552019,2.66E-38,-2.192702723,count,8.19E-34
PSME2,3169,PSME2,OK,treatmentcontrol,-1.541919466,0.041341953,-37.29672543,5.36E-273,-2.191437166,count,1.91E-268
AP001269.4,485,AP001269.4,OK,treatmentcontrol,-1.910089225,0.161337749,-11.83907197,5.73E-32,-2.190583729,count,1.74E-27
CFAP410,2624,CFAP410,OK,treatmentcontrol,-1.551824166,0.052100597,-29.78515152,1.77E-181,-2.190541592,count,6.20E-177
ACTA1,320,ACTA1,OK,treatmentcontrol,-2.156019512,0.246448376,-8.748361605,2.80E-18,-2.18759426,count,7.95E-14
MSTO1,1552,MSTO1,OK,treatmentcontrol,-1.585563352,0.072479289,-21.87608865,5.50E-102,-2.181872045,count,1.85E-97
F8A3,345,F8A3,OK,treatmentcontrol,-2.126955379,0.227231788,-9.360289764,1.11E-20,-2.175881615,count,3.20E-16
CBLN1,560,CBLN1,OK,treatmentcontrol,-1.79611923,0.151829499,-11.82984361,6.38E-32,-2.172470902,count,1.93E-27
GACAT2,541,GACAT2,OK,treatmentcontrol,-1.820228859,0.177513703,-10.25401888,1.84E-24,-2.168448994,count,5.39E-20
