gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
LINC02506,1818,LINC02506,OK,treatmentcontrol,6.620662018,0.25865918,25.59608372,5.69E-137,8.316268326,count,1.96E-132
LINC02343,1470,LINC02343,OK,treatmentcontrol,6.940927079,0.464294535,14.94940507,1.32E-49,7.675674943,count,4.18E-45
LINC02315,1905,LINC02315,OK,treatmentcontrol,5.6891795,0.149730774,37.99606011,3.48E-282,7.542253078,count,1.24E-277
AC011586.2,1370,AC011586.2,OK,treatmentcontrol,5.768869397,0.247500977,23.30847123,6.35E-115,7.067514597,count,2.16E-110
AC116903.2,1429,AC116903.2,OK,treatmentcontrol,5.828965515,0.236922168,24.60287088,3.41E-127,7.021075321,count,1.17E-122
AC090709.1,1342,AC090709.1,OK,treatmentcontrol,8.699280344,1.365650862,6.370061768,2.04E-10,6.920867239,count,3.84E-06
ANKUB1,1300,ANKUB1,OK,treatmentcontrol,8.691218285,1.19161257,7.293661131,3.42E-13,6.909330592,count,9.29E-09
AL137100.3,1187,AL137100.3,OK,treatmentcontrol,7.479327123,0.693251023,10.78877185,7.01E-27,6.690630186,count,2.08E-22
AC079142.1,1339,AC079142.1,OK,treatmentcontrol,5.538759594,0.209249633,26.4696263,8.00E-146,6.687549464,count,2.76E-141
PRKN,2056,PRKN,OK,treatmentcontrol,4.837895296,0.092438778,52.33620993,0,6.669558157,count,0
GPC5,1351,GPC5,OK,treatmentcontrol,4.86487268,0.168728686,28.8325168,6.55E-171,6.612643513,count,2.28E-166
AL161757.4,2075,AL161757.4,OK,treatmentcontrol,4.754258897,0.098070291,48.47807457,0,6.531673822,count,0
AC068722.1,1396,AC068722.1,OK,treatmentcontrol,5.478704496,0.229221071,23.90139998,1.77E-120,6.518640311,count,6.05E-116
BBOX1-AS1,914,BBOX1-AS1,OK,treatmentcontrol,5.534385047,0.258658799,21.3964693,8.28E-98,6.503382141,count,2.78E-93
AP000462.1,1263,AP000462.1,OK,treatmentcontrol,6.575731908,0.412957417,15.92351085,6.64E-56,6.503078301,count,2.13E-51
LINC01099,976,LINC01099,OK,treatmentcontrol,7.327498246,0.780705147,9.385743484,8.78E-21,6.473743458,count,2.53E-16
GRIP1,2255,GRIP1,OK,treatmentcontrol,4.574826113,0.084336072,54.24518851,0,6.446012145,count,0
KCNIP4,2010,KCNIP4,OK,treatmentcontrol,4.517631265,0.13564304,33.30529362,1.21E-222,6.371956402,count,4.28E-218
FAM222A-AS1,1070,FAM222A-AS1,OK,treatmentcontrol,6.980457105,0.537704293,12.98196275,5.25E-38,6.361516042,count,1.62E-33
LINC01098,1521,LINC01098,OK,treatmentcontrol,4.774124762,0.149579256,31.91702432,5.04E-206,6.345851235,count,1.78E-201
LINC02208,369,LINC02208,OK,treatmentcontrol,5.940328815,0.533593726,11.13268115,1.69E-28,6.33263425,count,5.06E-24
AC104041.1,1844,AC104041.1,OK,treatmentcontrol,4.517215529,0.088132684,51.25471431,0,6.232014621,count,0
LINC01876,1156,LINC01876,OK,treatmentcontrol,5.111086556,0.205564671,24.86364286,9.89E-130,6.231991495,count,3.39E-125
IGSF1,1478,IGSF1,OK,treatmentcontrol,4.880348823,0.145820601,33.46817103,1.26E-224,6.230174529,count,4.47E-220
ASIC2,2297,ASIC2,OK,treatmentcontrol,4.381820307,0.100670883,43.52619307,0,6.200325967,count,0
CTNNA2,1306,CTNNA2,OK,treatmentcontrol,4.874852449,0.16325726,29.85994289,2.56E-182,6.192290367,count,8.95E-178
AP000829.1,876,AP000829.1,OK,treatmentcontrol,6.03710421,0.398461375,15.15103994,7.01E-51,6.167943776,count,2.23E-46
GPC6,3404,GPC6,OK,treatmentcontrol,4.295735983,0.044040906,97.53968287,0,6.162873278,count,0
FSIP2-AS1,1121,FSIP2-AS1,OK,treatmentcontrol,5.614576054,0.271898564,20.64952446,1.85E-91,6.160206519,count,6.17E-87
AC021504.1,1045,AC021504.1,OK,treatmentcontrol,5.054503477,0.198928632,25.40862739,4.21E-135,6.150973453,count,1.45E-130
RORA-AS1,1401,RORA-AS1,OK,treatmentcontrol,4.979364175,0.170666156,29.1760493,1.08E-174,6.08116477,count,3.78E-170
GRIK2,1246,GRIK2,OK,treatmentcontrol,4.735981541,0.166844847,28.3855427,4.86E-166,6.03268772,count,1.69E-161
AC027018.1,1039,AC027018.1,OK,treatmentcontrol,6.245730758,0.42760526,14.60630012,1.78E-47,6.032417114,count,5.62E-43
MSR1,1392,MSR1,OK,treatmentcontrol,4.508014977,0.147769203,30.50713472,1.18E-189,5.976033038,count,4.14E-185
AL157778.1,1746,AL157778.1,OK,treatmentcontrol,4.389534168,0.101253026,43.35212803,0,5.971220848,count,0
AL355499.1,1033,AL355499.1,OK,treatmentcontrol,5.011744318,0.238819268,20.98551075,2.72E-94,5.958162034,count,9.10E-90
CDH20,1431,CDH20,OK,treatmentcontrol,4.301870604,0.109325251,39.34928645,2.99E-300,5.947590081,count,1.07E-295
FAM155A,704,FAM155A,OK,treatmentcontrol,4.306824836,0.146883127,29.32144023,2.65E-176,5.945739154,count,9.28E-172
DOCK3,1938,DOCK3,OK,treatmentcontrol,4.299889764,0.086387921,49.77420116,0,5.929421066,count,0
AL117381.1,824,AL117381.1,OK,treatmentcontrol,7.984277782,1.063530478,7.507333311,6.95E-14,5.901469051,count,1.90E-09
AC009271.1,622,AC009271.1,OK,treatmentcontrol,7.298677746,0.839880173,8.690141741,4.65E-18,5.883559353,count,1.32E-13
STEAP1B,924,STEAP1B,OK,treatmentcontrol,6.439614906,0.460289841,13.99034768,9.19E-44,5.882211662,count,2.87E-39
AC233296.1,1496,AC233296.1,OK,treatmentcontrol,4.397173326,0.123954482,35.47409701,1.50E-249,5.880595736,count,5.33E-245
IL1RAPL1,569,IL1RAPL1,OK,treatmentcontrol,5.622062625,0.436759625,12.87221232,2.10E-37,5.878762847,count,6.46E-33
AC009315.1,1694,AC009315.1,OK,treatmentcontrol,4.331326212,0.097143351,44.58695504,0,5.833353179,count,0
AC068282.1,1215,AC068282.1,OK,treatmentcontrol,4.920224719,0.183691604,26.78524551,4.44E-149,5.802330423,count,1.54E-144
AC092422.1,650,AC092422.1,OK,treatmentcontrol,7.233303455,0.856581136,8.444387987,3.83E-17,5.790829382,count,1.08E-12
NRXN3,1264,NRXN3,OK,treatmentcontrol,4.099159072,0.109651576,37.3834943,3.93E-274,5.772643634,count,1.40E-269
LINC01440,405,LINC01440,OK,treatmentcontrol,5.530919061,0.426014124,12.98294764,5.18E-38,5.749117637,count,1.60E-33
