gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
SSU72,223,SSU72,OK,treatmentcontrol,-1.063470114,0.123321122,-8.623584473,1.36E-16,-1.513971338,count,4.91E-12
ATP6V0B,327,ATP6V0B,OK,treatmentcontrol,-1.033879791,0.080528658,-12.83865667,4.90E-32,-1.483714578,count,1.79E-27
SV2A,218,SV2A,OK,treatmentcontrol,-1.2144807,0.119582483,-10.15600841,8.32E-22,-1.731257771,count,3.02E-17
JTB,238,JTB,OK,treatmentcontrol,-1.017915435,0.119149979,-8.543144033,2.46E-16,-1.453372252,count,8.89E-12
RPS27,394,RPS27,OK,treatmentcontrol,-1.05175005,0.063847962,-16.47272697,2.42E-47,-1.514925642,count,8.85E-43
ARF1,239,ARF1,OK,treatmentcontrol,-1.003018009,0.109125259,-9.191437581,1.84E-18,-1.431363056,count,6.66E-14
RNF187,201,RNF187,OK,treatmentcontrol,-1.160000551,0.140747258,-8.241727509,2.21E-15,-1.647874965,count,7.96E-11
MDH1,237,MDH1,OK,treatmentcontrol,-1.096986043,0.111029863,-9.880099043,7.90E-21,-1.564973255,count,2.87E-16
AP2M1,266,AP2M1,OK,treatmentcontrol,-1.138563502,0.09511386,-11.97053194,1.35E-28,-1.628138409,count,4.92E-24
HNRNPDL,304,HNRNPDL,OK,treatmentcontrol,-1.019393235,0.088833689,-11.47530003,1.10E-26,-1.462024519,count,4.00E-22
UQCRQ,295,UQCRQ,OK,treatmentcontrol,-1.052831716,0.091773995,-11.47200489,1.13E-26,-1.507962629,count,4.12E-22
CLTB,236,CLTB,OK,treatmentcontrol,-1.246272553,0.114038087,-10.9285642,1.27E-24,-1.777881351,count,4.60E-20
HIST1H4C,264,HIST1H4C,OK,treatmentcontrol,-1.513408154,0.118085604,-12.81619522,6.03E-32,-2.166984424,count,2.20E-27
CHCHD2,348,CHCHD2,OK,treatmentcontrol,-1.33206359,0.073634127,-18.09030192,1.91E-54,-1.9149813,count,7.01E-50
AP1S1,209,AP1S1,OK,treatmentcontrol,-1.013409293,0.122721184,-8.257818712,1.97E-15,-1.44137634,count,7.09E-11
LY6H,232,LY6H,OK,treatmentcontrol,-1.135698483,0.113243259,-10.02883961,2.36E-21,-1.62034684,count,8.57E-17
DCTN3,285,DCTN3,OK,treatmentcontrol,-1.035625714,0.091450232,-11.32447337,4.12E-26,-1.48302662,count,1.50E-21
AK1,204,AK1,OK,treatmentcontrol,-1.10013783,0.119103599,-9.236814357,1.29E-18,-1.564886667,count,4.69E-14
C9orf16,204,C9orf16,OK,treatmentcontrol,-1.042271944,0.127894027,-8.149496663,4.28E-15,-1.483972817,count,1.54E-10
