gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
RERE,322,RERE,OK,treatmentcontrol,1.356678932,0.087466853,15.51077789,3.50E-43,1.947136936,count,1.28E-38
EIF4G3,245,EIF4G3,OK,treatmentcontrol,1.208879556,0.111441762,10.84763494,2.53E-24,1.726345027,count,9.20E-20
MACF1,294,MACF1,OK,treatmentcontrol,1.041895767,0.090138943,11.55877512,5.26E-27,1.491463929,count,1.92E-22
PDE4B,230,PDE4B,OK,treatmentcontrol,2.202896311,0.16024207,13.74730317,9.62E-36,3.142449557,count,3.52E-31
SGIP1,239,SGIP1,OK,treatmentcontrol,1.386216067,0.127253737,10.89332309,1.71E-24,1.976879606,count,6.23E-20
RASAL2,222,RASAL2,OK,treatmentcontrol,1.549857956,0.139458334,11.11341227,2.58E-25,2.204804802,count,9.38E-21
XPR1,206,XPR1,OK,treatmentcontrol,1.188039144,0.128104936,9.273952917,9.70E-19,1.687427598,count,3.51E-14
MIR181A1HG,229,MIR181A1HG,OK,treatmentcontrol,1.906865775,0.202819082,9.401806566,3.57E-19,2.718799574,count,1.29E-14
PLXNA2,259,PLXNA2,OK,treatmentcontrol,1.291950219,0.12105418,10.67249574,1.12E-23,1.84824233,count,4.07E-19
ESRRG,276,ESRRG,OK,treatmentcontrol,1.903899282,0.133514608,14.25985745,7.10E-38,2.72882059,count,2.59E-33
AKT3,211,AKT3,OK,treatmentcontrol,1.509228852,0.131050207,11.51641715,7.65E-27,2.144649511,count,2.79E-22
SOX11,238,SOX11,OK,treatmentcontrol,1.012011026,0.154371247,6.555696385,1.64E-10,1.444431778,count,5.79E-06
NCOA1,217,NCOA1,OK,treatmentcontrol,1.970207875,0.150013735,13.13351662,3.15E-33,2.793638315,count,1.15E-28
BIRC6,209,BIRC6,OK,treatmentcontrol,1.949202498,0.162625573,11.98583014,1.18E-28,2.762685572,count,4.29E-24
FBXO11,242,FBXO11,OK,treatmentcontrol,1.360798637,0.120555543,11.28773185,5.67E-26,1.939778286,count,2.07E-21
MEIS1,266,MEIS1,OK,treatmentcontrol,1.823700502,0.134271138,13.58222272,4.61E-35,2.608876723,count,1.69E-30
EXOC6B,207,EXOC6B,OK,treatmentcontrol,2.867433094,0.220401901,13.01001977,9.97E-33,4.030164448,count,3.64E-28
CTNNA2,210,CTNNA2,OK,treatmentcontrol,4.338093194,0.369339816,11.74553354,1.01E-27,6.062016614,count,3.67E-23
AFF3,282,AFF3,OK,treatmentcontrol,2.369605583,0.14510424,16.33036762,1.01E-46,3.38889342,count,3.68E-42
PTPN4,207,PTPN4,OK,treatmentcontrol,1.561502442,0.151860281,10.28249407,2.93E-22,2.218750441,count,1.06E-17
NCKAP5,238,NCKAP5,OK,treatmentcontrol,2.927784081,0.220271887,13.29168292,7.15E-34,4.178465163,count,2.61E-29
R3HDM1,215,R3HDM1,OK,treatmentcontrol,1.659877491,0.149855045,11.07655399,3.54E-25,2.355360233,count,1.29E-20
MBD5,231,MBD5,OK,treatmentcontrol,2.72677035,0.183959386,14.82267588,3.02E-40,3.869008008,count,1.10E-35
BAZ2B,275,BAZ2B,OK,treatmentcontrol,1.113167829,0.104791423,10.62269978,1.71E-23,1.594736406,count,6.20E-19
CERS6,228,CERS6,OK,treatmentcontrol,1.653940527,0.129908229,12.73160706,1.32E-31,2.354848786,count,4.81E-27
BMPR2,234,BMPR2,OK,treatmentcontrol,1.614396489,0.126162864,12.79613062,7.26E-32,2.297383466,count,2.65E-27
MAP2,333,MAP2,OK,treatmentcontrol,1.010018597,0.083468392,12.10061158,4.18E-29,1.450259681,count,1.53E-24
AGAP1,243,AGAP1,OK,treatmentcontrol,1.19626469,0.114713329,10.42829723,8.72E-23,1.708497806,count,3.17E-18
CNTN4,320,CNTN4,OK,treatmentcontrol,2.86889582,0.143115425,20.04602797,3.99E-63,4.121896767,count,1.46E-58
TBC1D5,215,TBC1D5,OK,treatmentcontrol,3.865017861,0.295789041,13.06680549,5.87E-33,5.418025435,count,2.15E-28
ZNF385D,275,ZNF385D,OK,treatmentcontrol,1.840879728,0.140807559,13.07372799,5.51E-33,2.637428053,count,2.01E-28
UBE2E2,244,UBE2E2,OK,treatmentcontrol,1.963033812,0.146213786,13.42577786,2.02E-34,2.797616131,count,7.40E-30
CLASP2,320,CLASP2,OK,treatmentcontrol,1.665479055,0.093968023,17.72389163,7.94E-53,2.388658825,count,2.90E-48
SMARCC1,204,SMARCC1,OK,treatmentcontrol,1.358549518,0.141029127,9.633113022,5.74E-20,1.927599417,count,2.08E-15
CADPS,234,CADPS,OK,treatmentcontrol,1.925563633,0.179167359,10.74729039,5.94E-24,2.755417641,count,2.16E-19
SYNPR,257,SYNPR,OK,treatmentcontrol,1.214017395,0.131814433,9.210049047,1.59E-18,1.742048517,count,5.77E-14
MAGI1,272,MAGI1,OK,treatmentcontrol,2.738809913,0.200826445,13.63769553,2.73E-35,3.911410346,count,9.97E-31
ROBO2,274,ROBO2,OK,treatmentcontrol,2.182797949,0.152981188,14.2684076,6.53E-38,3.128514052,count,2.39E-33
CADM2,203,CADM2,OK,treatmentcontrol,2.842910041,0.246818402,11.51822562,7.53E-27,4.047092554,count,2.74E-22
ZBTB20,222,ZBTB20,OK,treatmentcontrol,2.125969672,0.165587351,12.83896181,4.89E-32,3.021712978,count,1.78E-27
LSAMP,275,LSAMP,OK,treatmentcontrol,2.3233995,0.180217578,12.89219137,2.98E-32,3.333065536,count,1.09E-27
GSK3B,263,GSK3B,OK,treatmentcontrol,1.245640453,0.103305841,12.05779306,6.15E-29,1.779106214,count,2.24E-24
