gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
HES4,204,HES4,OK,treatmentcontrol,-1.232292126,0.127335727,-9.677504907,3.11E-20,-1.753164023,count,1.13E-15
CAMK2N1,360,CAMK2N1,OK,treatmentcontrol,-1.067262067,0.084620662,-12.61231058,2.11E-31,-1.535531651,count,7.69E-27
SH3BGRL3,227,SH3BGRL3,OK,treatmentcontrol,-1.100744518,0.137920859,-7.98098653,1.24E-14,-1.570992185,count,4.48E-10
MARCKSL1,371,MARCKSL1,OK,treatmentcontrol,-1.148070789,0.068740852,-16.70143368,5.46E-49,-1.651495613,count,2.00E-44
RPS27,377,RPS27,OK,treatmentcontrol,-1.091411834,0.077895464,-14.01123734,3.21E-37,-1.571759679,count,1.17E-32
C1orf61,210,C1orf61,OK,treatmentcontrol,-1.068744427,0.176458616,-6.05662932,2.96E-09,-1.528564237,count,0.000104974
ID2,216,ID2,OK,treatmentcontrol,-1.002036427,0.137099933,-7.308803175,1.26E-12,-1.434580953,count,4.52E-08
EEF1B2,316,EEF1B2,OK,treatmentcontrol,-1.033950778,0.075018507,-13.7826094,2.98E-36,-1.485144319,count,1.09E-31
RPL37A,411,RPL37A,OK,treatmentcontrol,-1.109276024,0.060900817,-18.21446864,8.00E-56,-1.598052585,count,2.93E-51
C4orf48,290,C4orf48,OK,treatmentcontrol,-1.03910952,0.083336881,-12.46878336,8.03E-31,-1.489906611,count,2.93E-26
CCT5,205,CCT5,OK,treatmentcontrol,-1.041037207,0.126450755,-8.23274805,2.04E-15,-1.479219306,count,7.38E-11
SOX4,415,SOX4,OK,treatmentcontrol,-1.103278238,0.079065672,-13.95394745,5.61E-37,-1.590096765,count,2.05E-32
HIST1H4C,235,HIST1H4C,OK,treatmentcontrol,-1.721899089,0.133970524,-12.8528204,2.20E-32,-2.458932826,count,8.03E-28
TUBB,361,TUBB,OK,treatmentcontrol,-1.114586729,0.070445537,-15.82196372,4.47E-45,-1.603432836,count,1.64E-40
RPL10A,369,RPL10A,OK,treatmentcontrol,-1.046344241,0.074258956,-14.09047871,1.48E-37,-1.50569663,count,5.40E-33
FABP7,237,FABP7,OK,treatmentcontrol,-1.806755857,0.189594319,-9.529588593,1.02E-19,-2.594108157,count,3.72E-15
RPS12,389,RPS12,OK,treatmentcontrol,-1.021793031,0.073265389,-13.946463,6.04E-37,-1.472122381,count,2.21E-32
ACTB,360,ACTB,OK,treatmentcontrol,-1.022739749,0.079031739,-12.94087364,9.57E-33,-1.472024717,count,3.50E-28
CHCHD2,330,CHCHD2,OK,treatmentcontrol,-1.359997465,0.072746311,-18.6950711,5.16E-58,-1.954593375,count,1.89E-53
SNHG6,295,SNHG6,OK,treatmentcontrol,-1.00522618,0.094183194,-10.67309505,7.75E-24,-1.44101931,count,2.83E-19
RPL12,342,RPL12,OK,treatmentcontrol,-1.361198997,0.084456875,-16.11708936,2.21E-46,-1.959105784,count,8.07E-42
RPS24,411,RPS24,OK,treatmentcontrol,-1.04275917,0.064140232,-16.25748984,5.24E-47,-1.502946817,count,1.92E-42
NDUFB8,250,NDUFB8,OK,treatmentcontrol,-1.30773432,0.104227179,-12.5469607,3.88E-31,-1.867798368,count,1.42E-26
UBXN1,223,UBXN1,OK,treatmentcontrol,-1.163450742,0.10686242,-10.88737029,1.22E-24,-1.657253556,count,4.45E-20
PPP1R14B,290,PPP1R14B,OK,treatmentcontrol,-1.078606191,0.094346073,-11.43244398,1.01E-26,-1.54564725,count,3.70E-22
CFL1,369,CFL1,OK,treatmentcontrol,-1.074064644,0.064394235,-16.67951545,6.85E-49,-1.545015475,count,2.51E-44
DRAP1,236,DRAP1,OK,treatmentcontrol,-1.258770528,0.10318125,-12.19960528,9.71E-30,-1.797402785,count,3.54E-25
TUBA1B,283,TUBA1B,OK,treatmentcontrol,-1.056844972,0.100257367,-10.54131981,2.39E-23,-1.516174839,count,8.71E-19
RPS26,319,RPS26,OK,treatmentcontrol,-1.944374403,0.08737227,-22.2539074,2.41E-74,-2.793219594,count,8.83E-70
PA2G4,205,PA2G4,OK,treatmentcontrol,-1.34893718,0.12468312,-10.81892382,2.21E-24,-1.915496381,count,8.06E-20
RPS29,375,RPS29,OK,treatmentcontrol,-1.084949901,0.063737889,-17.02205587,1.99E-50,-1.561381319,count,7.28E-46
CKB,316,CKB,OK,treatmentcontrol,-1.213585595,0.095717825,-12.67878362,1.13E-31,-1.744519543,count,4.13E-27
SCG3,244,SCG3,OK,treatmentcontrol,-1.096470826,0.09894747,-11.08134269,2.25E-25,-1.568311524,count,8.22E-21
NGRN,235,NGRN,OK,treatmentcontrol,-1.327404899,0.102480577,-12.9527462,8.55E-33,-1.895584632,count,3.12E-28
ELOB,343,ELOB,OK,treatmentcontrol,-1.02029804,0.068963331,-14.79479059,1.40E-40,-1.465754174,count,5.11E-36
TUBB3,347,TUBB3,OK,treatmentcontrol,-1.216402051,0.08110182,-14.99845568,1.83E-41,-1.75073343,count,6.68E-37
PFN1,211,PFN1,OK,treatmentcontrol,-1.053080992,0.116454751,-9.042834125,4.71E-18,-1.500348875,count,1.71E-13
CENPV,233,CENPV,OK,treatmentcontrol,-1.222987939,0.112437866,-10.87701125,1.34E-24,-1.743463784,count,4.87E-20
PSMB3,214,PSMB3,OK,treatmentcontrol,-1.012668374,0.114461801,-8.847216822,2.11E-17,-1.441966807,count,7.66E-13
NME1,214,NME1,OK,treatmentcontrol,-1.479085787,0.108847616,-13.58859151,1.95E-35,-2.107793302,count,7.13E-31
NME2,300,NME2,OK,treatmentcontrol,-1.140633223,0.079291108,-14.38538639,8.12E-39,-1.637630774,count,2.97E-34
RPL38,361,RPL38,OK,treatmentcontrol,-1.074543145,0.066897058,-16.06263689,3.85E-46,-1.545566434,count,1.41E-41
RPL36,368,RPL36,OK,treatmentcontrol,-1.279433369,0.070880614,-18.05054024,4.45E-55,-1.841005426,count,1.63E-50
TRAPPC5,218,TRAPPC5,OK,treatmentcontrol,-1.009899876,0.105205528,-9.599304275,5.84E-20,-1.437610619,count,2.12E-15
COX6B1,310,COX6B1,OK,treatmentcontrol,-1.002750589,0.074936984,-13.38125087,1.44E-34,-1.438459233,count,5.25E-30
TBCB,204,TBCB,OK,treatmentcontrol,-1.140717927,0.115910377,-9.841378801,8.21E-21,-1.623598504,count,2.99E-16
RPS19,416,RPS19,OK,treatmentcontrol,-1.031483838,0.078090921,-13.20875489,7.50E-34,-1.486489529,count,2.74E-29
PAFAH1B3,280,PAFAH1B3,OK,treatmentcontrol,-1.123723574,0.097698072,-11.50200361,5.45E-27,-1.608710282,count,1.99E-22
ZNF428,278,ZNF428,OK,treatmentcontrol,-1.127728921,0.101907479,-11.0662037,2.57E-25,-1.6140874,count,9.38E-21
SELENOW,274,SELENOW,OK,treatmentcontrol,-1.303647497,0.094416931,-13.80734878,2.34E-36,-1.868087139,count,8.56E-32
RPS21,348,RPS21,OK,treatmentcontrol,-1.103731324,0.073876769,-14.94016777,3.27E-41,-1.588323272,count,1.20E-36
NDUFB11,274,NDUFB11,OK,treatmentcontrol,-1.096004971,0.089544003,-12.23984777,6.70E-30,-1.56928911,count,2.45E-25
RBM3,204,RBM3,OK,treatmentcontrol,-1.972357829,0.130060723,-15.16489975,3.44E-42,-2.799523117,count,1.26E-37
RPL36A,329,RPL36A,OK,treatmentcontrol,-1.244676186,0.08253655,-15.08030303,8.04E-42,-1.788801991,count,2.94E-37
RPL39,372,RPL39,OK,treatmentcontrol,-1.285186702,0.077919531,-16.49376849,4.64E-48,-1.850902709,count,1.70E-43
MT-ND1,233,MT-ND1,OK,treatmentcontrol,-1.054113087,0.115686087,-9.111839762,2.76E-18,-1.513654907,count,1.00E-13
MT-CO2,260,MT-CO2,OK,treatmentcontrol,-1.04128193,0.12095589,-8.608774107,1.28E-16,-1.499664536,count,4.63E-12
MT-ATP6,232,MT-ATP6,OK,treatmentcontrol,-1.653959231,0.139171915,-11.88428881,1.74E-28,-2.382001676,count,6.34E-24
MT-CO3,270,MT-CO3,OK,treatmentcontrol,-1.087794679,0.11807818,-9.212495339,1.26E-18,-1.566971583,count,4.57E-14
MT-ND3,220,MT-ND3,OK,treatmentcontrol,-1.676963993,0.137034086,-12.23756839,6.84E-30,-2.408582424,count,2.50E-25
MT-ND4,263,MT-ND4,OK,treatmentcontrol,-1.335462394,0.109153009,-12.23477397,7.02E-30,-1.922268801,count,2.56E-25
MT-ND5,224,MT-ND5,OK,treatmentcontrol,-1.343489349,0.135872676,-9.887855254,5.62E-21,-1.926534351,count,2.04E-16
