gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
RERE,298,RERE,OK,treatmentcontrol,1.453996854,0.111156332,13.080648,2.54E-33,2.078371152,count,9.28E-29
EIF4G3,246,EIF4G3,OK,treatmentcontrol,1.224324489,0.128603135,9.520176107,1.10E-19,1.74185115,count,4.01E-15
RLF,212,RLF,OK,treatmentcontrol,1.307889083,0.168740004,7.750912959,6.23E-14,1.850544138,count,2.25E-09
FOXJ3,206,FOXJ3,OK,treatmentcontrol,1.397831406,0.152019581,9.195074721,1.44E-18,1.977355346,count,5.23E-14
LRRC7,248,LRRC7,OK,treatmentcontrol,1.917675295,0.239296346,8.013809339,9.82E-15,2.73636111,count,3.55E-10
RABGAP1L,205,RABGAP1L,OK,treatmentcontrol,1.813930939,0.190092011,9.542383847,9.22E-20,2.559623671,count,3.35E-15
XPR1,231,XPR1,OK,treatmentcontrol,1.090528919,0.156441108,6.970859099,1.14E-11,1.554278059,count,4.09E-07
CDC42BPA,224,CDC42BPA,OK,treatmentcontrol,1.615818946,0.161806248,9.986134467,2.50E-21,2.28569655,count,9.12E-17
AKT3,255,AKT3,OK,treatmentcontrol,1.033683399,0.115814002,8.925374969,1.16E-17,1.474029079,count,4.22E-13
SMYD3,232,SMYD3,OK,treatmentcontrol,2.655274222,0.243174366,10.91921924,9.27E-25,3.754234678,count,3.38E-20
NCOA1,232,NCOA1,OK,treatmentcontrol,1.335161782,0.133962178,9.966707007,2.94E-21,1.896284172,count,1.07E-16
BIRC6,233,BIRC6,OK,treatmentcontrol,1.474423847,0.145807327,10.11213827,8.83E-22,2.095001851,count,3.22E-17
SOS1,216,SOS1,OK,treatmentcontrol,1.443505812,0.144766889,9.971242917,2.83E-21,2.042026861,count,1.03E-16
FBXO11,243,FBXO11,OK,treatmentcontrol,1.027243493,0.13141214,7.81696036,3.93E-14,1.461074354,count,1.42E-09
NRXN1,349,NRXN1,OK,treatmentcontrol,1.228914565,0.114894978,10.69598151,6.37E-24,1.76702846,count,2.32E-19
EHBP1,252,EHBP1,OK,treatmentcontrol,1.417798184,0.147817753,9.591528464,6.22E-20,2.015384615,count,2.26E-15
CTNNA2,239,CTNNA2,OK,treatmentcontrol,3.232541004,0.361552594,8.94072137,1.03E-17,4.582427168,count,3.75E-13
AFF3,223,AFF3,OK,treatmentcontrol,1.188937169,0.14410362,8.250571165,1.79E-15,1.693453242,count,6.49E-11
