gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
SAMD11,486,SAMD11,OK,treatmentcontrol,-1.064046736,0.171856236,-6.19149331,6.63E-10,-1.435431571,count,1.38E-05
B3GALT6,1092,B3GALT6,OK,treatmentcontrol,-1.151450913,0.078864042,-14.60045513,6.01E-47,-1.591866678,count,1.56E-42
C1QTNF12,379,C1QTNF12,OK,treatmentcontrol,-1.757794573,0.230370089,-7.630307318,2.98E-14,-2.081751666,count,6.61E-10
MXRA8,468,MXRA8,OK,treatmentcontrol,-1.095357541,0.146662449,-7.468561641,1.01E-13,-1.400588555,count,2.23E-09
AURKAIP1,2568,AURKAIP1,OK,treatmentcontrol,-1.069705771,0.040545923,-26.38257278,2.29E-140,-1.53509651,count,6.42E-136
MRPL20,2425,MRPL20,OK,treatmentcontrol,-1.079431868,0.040871082,-26.41065036,1.23E-140,-1.547832144,count,3.45E-136
ATAD3B,397,ATAD3B,OK,treatmentcontrol,-1.064202973,0.164579182,-6.466206479,1.14E-10,-1.312267714,count,2.40E-06
ATAD3A,799,ATAD3A,OK,treatmentcontrol,-1.56923148,0.132364615,-11.85536991,7.85E-32,-2.082938578,count,1.96E-27
FNDC10,599,FNDC10,OK,treatmentcontrol,-1.49722327,0.133553689,-11.21064707,1.08E-28,-1.951325917,count,2.65E-24
FAAP20,1647,FAAP20,OK,treatmentcontrol,-1.124584218,0.056644762,-19.85327803,2.59E-83,-1.59391779,count,7.04E-79
RER1,1819,RER1,OK,treatmentcontrol,-1.244612231,0.057853708,-21.51309344,1.15E-96,-1.768646996,count,3.16E-92
SRM,1793,SRM,OK,treatmentcontrol,-1.915657383,0.082995573,-23.0814405,4.93E-110,-2.728344567,count,1.37E-105
FBXO2,512,FBXO2,OK,treatmentcontrol,-1.010719175,0.143938941,-7.021860594,2.61E-12,-1.355454597,count,5.63E-08
AGTRAP,832,AGTRAP,OK,treatmentcontrol,-1.170886152,0.101430133,-11.54377022,2.70E-30,-1.580395087,count,6.68E-26
PDPN,783,PDPN,OK,treatmentcontrol,-1.33186616,0.134428313,-9.90763126,7.55E-23,-1.829175382,count,1.80E-18
MRTO4,1427,MRTO4,OK,treatmentcontrol,-1.113175716,0.073384526,-15.16907959,2.00E-50,-1.56677958,count,5.22E-46
