gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
C1orf159,234,C1orf159,OK,treatmentcontrol,1.112284357,0.118571527,9.380703685,1.13E-20,1.348980566,count,2.65E-16
SLC35E2A,367,SLC35E2A,OK,treatmentcontrol,1.116457678,0.098971499,11.28059784,5.00E-29,1.450706586,count,1.23E-24
HES5,714,HES5,OK,treatmentcontrol,1.959241524,0.131189413,14.93444845,5.63E-49,2.781947048,count,1.46E-44
AL139246.5,442,AL139246.5,OK,treatmentcontrol,2.112938592,0.124836233,16.92568373,6.85E-62,2.870079206,count,1.82E-57
PER3,931,PER3,OK,treatmentcontrol,1.314876729,0.061498272,21.38071007,1.43E-95,1.831877363,count,3.93E-91
RERE,1985,RERE,OK,treatmentcontrol,1.939269115,0.035506081,54.61794334,0,2.766656173,count,0
MIR34AHG,418,MIR34AHG,OK,treatmentcontrol,2.379915742,0.118007739,20.16745486,8.91E-86,3.063628854,count,2.43E-81
UBE4B,856,UBE4B,OK,treatmentcontrol,1.114292217,0.061028563,18.25853616,2.69E-71,1.542123425,count,7.25E-67
KIF1B,1768,KIF1B,OK,treatmentcontrol,1.272061623,0.040750337,31.21597783,1.70E-189,1.812360513,count,4.83E-185
VPS13D,750,VPS13D,OK,treatmentcontrol,1.668720492,0.06629674,25.1704759,6.72E-129,2.287330983,count,1.88E-124
KAZN,1409,KAZN,OK,treatmentcontrol,1.522164689,0.044993486,33.83077923,4.74E-218,2.162499737,count,1.35E-213
FBXO42,1030,FBXO42,OK,treatmentcontrol,1.505814477,0.054873425,27.44159792,1.11E-150,2.10124554,count,3.11E-146
CROCC,283,CROCC,OK,treatmentcontrol,1.52640427,0.126420531,12.07402195,6.23E-33,1.881989158,count,1.56E-28
ARHGEF10L,477,ARHGEF10L,OK,treatmentcontrol,1.092406228,0.088128363,12.39562599,1.39E-34,1.450934481,count,3.50E-30
IFFO2,203,IFFO2,OK,treatmentcontrol,1.301701677,0.126574462,10.2840783,1.81E-24,1.525012219,count,4.36E-20
UBR4,738,UBR4,OK,treatmentcontrol,1.130226883,0.066301911,17.04667133,1.01E-62,1.549112722,count,2.70E-58
EMC1-AS1,343,EMC1-AS1,OK,treatmentcontrol,2.482732375,0.127179538,19.52147659,9.55E-81,3.086681228,count,2.59E-76
EIF4G3,1918,EIF4G3,OK,treatmentcontrol,1.67577454,0.034465903,48.62122821,0,2.38885743,count,0
ZBTB40,295,ZBTB40,OK,treatmentcontrol,1.000024407,0.130138,7.684338228,1.97E-14,1.248984634,count,4.38E-10
EPHB2,1142,EPHB2,OK,treatmentcontrol,1.382798978,0.050500692,27.3817829,4.30E-150,1.948509527,count,1.21E-145
ASAP3,232,ASAP3,OK,treatmentcontrol,1.184923541,0.122050883,9.708438899,5.16E-22,1.427710084,count,1.22E-17
