gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
XIST,743,XIST,OK,treatmentcontrol,-6.483356229,0.731997698,-8.857071883,1.24E-18,-6.016985108,count,2.90E-14
GNAT1,2156,GNAT1,OK,treatmentcontrol,-4.080417472,0.108538387,-37.59423341,6.48E-263,-5.753320624,count,2.37E-258
SAG,522,SAG,OK,treatmentcontrol,-4.561310841,0.432124358,-10.55555133,1.09E-25,-5.338101154,count,2.64E-21
COMT,595,COMT,OK,treatmentcontrol,-4.791272025,0.273788819,-17.49988202,5.50E-66,-4.766685297,count,1.43E-61
PDE6A,556,PDE6A,OK,treatmentcontrol,-4.362148911,0.268696842,-16.23446287,2.44E-57,-4.698652907,count,6.30E-53
ZNF667-AS1,448,ZNF667-AS1,OK,treatmentcontrol,-6.993560609,0.882128271,-7.92805405,2.91E-15,-4.58811883,count,6.63E-11
ROM1,2743,ROM1,OK,treatmentcontrol,-3.019892163,0.047207308,-63.97086174,0,-4.325165818,count,0
BEX5,300,BEX5,OK,treatmentcontrol,-5.454157356,0.661909135,-8.240039404,2.35E-16,-3.924508901,count,5.40E-12
AC112178.1,286,AC112178.1,OK,treatmentcontrol,-4.713239048,0.498752425,-9.450057398,5.77E-21,-3.774595809,count,1.37E-16
REEP6,1035,REEP6,OK,treatmentcontrol,-2.794480754,0.09111222,-30.67075686,1.34E-184,-3.730254017,count,3.59E-180
TFPI2,320,TFPI2,OK,treatmentcontrol,-3.18561603,0.241925581,-13.1677519,9.55E-39,-3.572537648,count,2.40E-34
ZNF439,264,ZNF439,OK,treatmentcontrol,-4.273952304,0.380427151,-11.2346143,7.89E-29,-3.516848876,count,1.93E-24
AC007952.4,310,AC007952.4,OK,treatmentcontrol,-3.258539908,0.262206685,-12.42737159,8.85E-35,-3.411771991,count,2.20E-30
SAMD7,608,SAMD7,OK,treatmentcontrol,-2.642080877,0.119995408,-22.01818312,3.62E-101,-3.337414277,count,9.59E-97
ANKRD37,1270,ANKRD37,OK,treatmentcontrol,-2.358362495,0.074207452,-31.78066921,1.44E-196,-3.264221541,count,3.88E-192
HILPDA,1023,HILPDA,OK,treatmentcontrol,-2.360946805,0.091466206,-25.81223058,2.05E-135,-3.245032829,count,5.49E-131
CITED2,1124,CITED2,OK,treatmentcontrol,-2.305466392,0.071840555,-32.09143359,5.81E-200,-3.145789028,count,1.56E-195
GNGT1,2160,GNGT1,OK,treatmentcontrol,-2.169176913,0.059134579,-36.68203841,3.87E-252,-3.115312645,count,1.41E-247
GLB1L2,230,GLB1L2,OK,treatmentcontrol,-3.313605181,0.252773246,-13.10900277,2.01E-38,-3.074309449,count,5.03E-34
AC097534.2,877,AC097534.2,OK,treatmentcontrol,-2.239282279,0.092027386,-24.33278159,1.37E-121,-3.00580139,count,3.66E-117
RDH12,681,RDH12,OK,treatmentcontrol,-2.257659586,0.099256638,-22.74567849,2.02E-107,-2.940809579,count,5.36E-103
SAMD11,1821,SAMD11,OK,treatmentcontrol,-2.081687699,0.052191125,-39.88585638,1.70E-290,-2.937425079,count,6.22E-286
C1QL1,445,C1QL1,OK,treatmentcontrol,-2.396542195,0.128695906,-18.62174389,4.15E-74,-2.930115361,count,1.09E-69
CABP5,2498,CABP5,OK,treatmentcontrol,-2.027787142,0.035949376,-56.4067403,0,-2.90344462,count,0
PDE6G,1792,PDE6G,OK,treatmentcontrol,-2.009366892,0.056841544,-35.35032218,1.23E-236,-2.854317373,count,4.50E-232
DDIT4,1997,DDIT4,OK,treatmentcontrol,-1.992513426,0.063312064,-31.47130761,3.31E-193,-2.836753891,count,8.90E-189
ANGPTL4,274,ANGPTL4,OK,treatmentcontrol,-2.492070874,0.190933659,-13.05202494,4.11E-38,-2.832265251,count,1.03E-33
BHLHE41,1322,BHLHE41,OK,treatmentcontrol,-1.987936275,0.064503054,-30.81925812,3.47E-186,-2.77349529,count,9.31E-182
GPR160,1661,GPR160,OK,treatmentcontrol,-1.9556849,0.048895476,-39.99725647,7.46E-292,-2.75641616,count,2.73E-287
LINC02693,263,LINC02693,OK,treatmentcontrol,-2.518920006,0.213434077,-11.80186426,1.37E-31,-2.670355411,count,3.37E-27
C5orf30,379,C5orf30,OK,treatmentcontrol,-2.171129336,0.134910134,-16.09315232,2.09E-56,-2.582444006,count,5.37E-52
HTRA1,1513,HTRA1,OK,treatmentcontrol,-1.830407415,0.050156892,-36.49363695,6.27E-250,-2.558090947,count,2.29E-245
AANAT,1317,AANAT,OK,treatmentcontrol,-1.837181999,0.061694003,-29.77893999,3.61E-175,-2.557143873,count,9.68E-171
CLUL1,557,CLUL1,OK,treatmentcontrol,-1.935901549,0.107431752,-18.01982661,1.07E-69,-2.518338032,count,2.78E-65
PDCD4,2051,PDCD4,OK,treatmentcontrol,-1.757423252,0.042421181,-41.42796574,0.00E+00,-2.490489037,count,7.27E-305
ZNF790-AS1,279,ZNF790-AS1,OK,treatmentcontrol,-2.230951066,0.170087377,-13.11649993,1.82E-38,-2.472937183,count,4.58E-34
ELSPBP1,507,ELSPBP1,OK,treatmentcontrol,-1.90949946,0.109575317,-17.42636487,1.81E-65,-2.463327326,count,4.70E-61
ZNF506,344,ZNF506,OK,treatmentcontrol,-2.088594548,0.131542742,-15.87768745,5.31E-55,-2.449575959,count,1.37E-50
MT1E,538,MT1E,OK,treatmentcontrol,-1.842881139,0.106928206,-17.23475226,3.96E-64,-2.444737302,count,1.03E-59
INSIG2,957,INSIG2,OK,treatmentcontrol,-1.786658134,0.073507094,-24.30592814,2.42E-121,-2.443733372,count,6.44E-117
ALDOC,2021,ALDOC,OK,treatmentcontrol,-1.716840773,0.040075063,-42.84062547,0,-2.439717922,count,0
RGS9BP,411,RGS9BP,OK,treatmentcontrol,-1.995973058,0.114152038,-17.48521614,6.98E-66,-2.437113875,count,1.81E-61
BHLHE40,637,BHLHE40,OK,treatmentcontrol,-1.839515012,0.09284483,-19.81278891,3.48E-83,-2.434153078,count,9.16E-79
SGK1,707,SGK1,OK,treatmentcontrol,-1.813651501,0.081500675,-22.25320826,3.59E-103,-2.41537402,count,9.52E-99
TRAC,552,TRAC,OK,treatmentcontrol,-1.864654056,0.091080876,-20.47250894,2.09E-88,-2.405594605,count,5.51E-84
MT2A,667,MT2A,OK,treatmentcontrol,-1.750539078,0.115817578,-15.11462341,3.74E-50,-2.369740233,count,9.56E-46
STC1,828,STC1,OK,treatmentcontrol,-1.75244077,0.082380964,-21.27239944,6.40E-95,-2.369269546,count,1.69E-90
AL133453.1,791,AL133453.1,OK,treatmentcontrol,-1.742447055,0.08140219,-21.40540752,5.06E-96,-2.34071468,count,1.34E-91
RBM3,1545,RBM3,OK,treatmentcontrol,-1.648859094,0.047455002,-34.74573869,1.08E-229,-2.313937796,count,3.95E-225
MXRA7,1858,MXRA7,OK,treatmentcontrol,-1.634891669,0.04015176,-40.71780797,1.13E-300,-2.309512965,count,4.12E-296
SYT11,459,SYT11,OK,treatmentcontrol,-1.797540681,0.116356623,-15.44854636,3.00E-52,-2.270262708,count,7.69E-48
SVIP,1098,SVIP,OK,treatmentcontrol,-1.627882326,0.063295661,-25.7187034,1.60E-134,-2.251176667,count,4.27E-130
ANKRD33,943,ANKRD33,OK,treatmentcontrol,-1.645733486,0.067212223,-24.48562781,5.45E-123,-2.244060092,count,1.45E-118
CDCA7L,278,CDCA7L,OK,treatmentcontrol,-1.945420779,0.157671464,-12.33844557,2.57E-34,-2.211650107,count,6.39E-30
UNC119,3223,UNC119,OK,treatmentcontrol,-1.530198122,0.022693242,-67.42968321,0,-2.202640874,count,0
NRL,3322,NRL,OK,treatmentcontrol,-1.517621662,0.024243888,-62.59811463,0,-2.187591668,count,0
GAPDH,3452,GAPDH,OK,treatmentcontrol,-1.516947428,0.030412508,-49.87906337,0,-2.184516467,count,0
MT1X,1209,MT1X,OK,treatmentcontrol,-1.556338255,0.068815262,-22.61617843,2.69E-106,-2.184408195,count,7.13E-102
PPEF2,399,PPEF2,OK,treatmentcontrol,-1.747300639,0.106452543,-16.41389296,1.57E-58,-2.179620973,count,4.05E-54
HMGN1,3442,HMGN1,OK,treatmentcontrol,-1.505427448,0.021579354,-69.76239595,0,-2.167870177,count,0
MTFP1,822,MTFP1,OK,treatmentcontrol,-1.592035834,0.070962088,-22.43501946,9.87E-105,-2.146993744,count,2.62E-100
NXPH1,253,NXPH1,OK,treatmentcontrol,-1.885110465,0.144115826,-13.08052364,2.87E-38,-2.138374738,count,7.20E-34
NR2E3,1621,NR2E3,OK,treatmentcontrol,-1.513638059,0.048546638,-31.17905006,4.75E-190,-2.137494018,count,1.28E-185
CBX8,294,CBX8,OK,treatmentcontrol,-1.847697343,0.128245729,-14.40747663,7.54E-46,-2.117742045,count,1.92E-41
TAGLN2,1317,TAGLN2,OK,treatmentcontrol,-1.515266975,0.055554677,-27.27523664,1.22E-149,-2.111315039,count,3.27E-145
HIST1H4C,2553,HIST1H4C,OK,treatmentcontrol,-1.470946517,0.029989858,-49.04813175,0,-2.107196772,count,0
RPS26,2644,RPS26,OK,treatmentcontrol,-1.452364412,0.030750737,-47.23023169,0,-2.079383965,count,0
BBC3,461,BBC3,OK,treatmentcontrol,-1.632556186,0.11193473,-14.58489407,6.52E-47,-2.072931263,count,1.66E-42
RPP25,400,RPP25,OK,treatmentcontrol,-1.656203209,0.103992657,-15.92615527,2.57E-55,-2.055921209,count,6.62E-51
PRR7,631,PRR7,OK,treatmentcontrol,-1.551564976,0.079851631,-19.43059842,3.19E-80,-2.042045199,count,8.39E-76
ALDOA,460,ALDOA,OK,treatmentcontrol,-1.587090812,0.094966178,-16.71216902,1.54E-60,-2.022142128,count,3.99E-56
C1QTNF4,668,C1QTNF4,OK,treatmentcontrol,-1.505666107,0.083850048,-17.95665166,3.05E-69,-2.010519075,count,7.95E-65
SNHG1,772,SNHG1,OK,treatmentcontrol,-1.500511496,0.079046496,-18.982644,8.25E-77,-2.009159383,count,2.16E-72
HIST1H4E,374,HIST1H4E,OK,treatmentcontrol,-1.636359293,0.113273833,-14.44604862,4.44E-46,-1.992490757,count,1.13E-41
SAP30,936,SAP30,OK,treatmentcontrol,-1.457650185,0.067357223,-21.64059218,5.53E-98,-1.9898202,count,1.46E-93
