gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
NRXN3,1002,NRXN3,OK,treatmentcontrol,6.217335505,0.410133751,15.15928765,1.97E-50,8.09443613,count,5.04E-46
LINC02506,1008,LINC02506,OK,treatmentcontrol,5.839161249,0.403344047,14.47687475,2.90E-46,7.159124224,count,7.39E-42
LINC02315,944,LINC02315,OK,treatmentcontrol,5.504556422,0.3660249,15.03874853,1.10E-49,6.564006537,count,2.82E-45
PRKN,925,PRKN,OK,treatmentcontrol,5.125826034,0.241400429,21.23370719,1.34E-94,6.499677078,count,3.53E-90
GPC5,512,GPC5,OK,treatmentcontrol,5.745733553,0.665182136,8.637835033,8.33E-18,6.48846591,count,1.94E-13
AC112206.2,902,AC112206.2,OK,treatmentcontrol,4.656816236,0.342065434,13.61381704,3.09E-41,6.482708144,count,7.80E-37
ADGRL3,821,ADGRL3,OK,treatmentcontrol,5.124026592,0.31877281,16.07422727,2.78E-56,6.442848887,count,7.15E-52
GRIP1,893,GRIP1,OK,treatmentcontrol,4.87317197,0.292128272,16.68161706,2.49E-60,6.318631193,count,6.43E-56
NRG1,947,NRG1,OK,treatmentcontrol,4.373656628,0.211570414,20.67234513,5.14E-90,6.022470004,count,1.36E-85
CDH20,813,CDH20,OK,treatmentcontrol,4.790134836,0.335146372,14.29266505,3.62E-45,6.018332988,count,9.19E-41
AL157778.1,796,AL157778.1,OK,treatmentcontrol,5.309376241,0.401122235,13.236305,4.00E-39,5.970507758,count,1.01E-34
ANKS1B,634,ANKS1B,OK,treatmentcontrol,5.031392154,0.350379218,14.35984755,1.45E-45,5.887061532,count,3.68E-41
GALNT13,866,GALNT13,OK,treatmentcontrol,4.351055046,0.182526073,23.83799194,4.27E-117,5.853034526,count,1.14E-112
AC104041.1,994,AC104041.1,OK,treatmentcontrol,4.456706596,0.212409004,20.9817216,1.57E-92,5.850727128,count,4.15E-88
OTX2-AS1,1157,OTX2-AS1,OK,treatmentcontrol,4.111961494,0.12447861,33.03347845,2.29E-210,5.772103829,count,6.17E-206
AC116903.2,603,AC116903.2,OK,treatmentcontrol,6.12621892,0.827617631,7.402233456,1.64E-13,5.768119111,count,3.69E-09
AC079142.1,597,AC079142.1,OK,treatmentcontrol,6.080665606,0.534516502,11.37601099,1.66E-29,5.703488191,count,4.08E-25
IGSF1,626,IGSF1,OK,treatmentcontrol,6.397695647,0.903248189,7.082987512,1.68E-12,5.635621475,count,3.72E-08
FAM155A,1180,FAM155A,OK,treatmentcontrol,3.973602501,0.132148366,30.06925175,3.20E-178,5.613873506,count,8.61E-174
BBOX1-AS1,660,BBOX1-AS1,OK,treatmentcontrol,5.344862496,0.581521303,9.191172311,6.27E-20,5.483204046,count,1.48E-15
CACNA1A,467,CACNA1A,OK,treatmentcontrol,4.70194968,0.462563933,10.16497255,5.78E-24,5.476906664,count,1.39E-19
ASTN2,561,ASTN2,OK,treatmentcontrol,4.697796606,0.342861535,13.70173126,9.79E-42,5.470996088,count,2.47E-37
IQCJ-SCHIP1,431,IQCJ-SCHIP1,OK,treatmentcontrol,4.735692628,0.772909425,6.127099086,9.87E-10,5.465628142,count,2.11E-05
ABTB2,562,ABTB2,OK,treatmentcontrol,5.097597667,0.431494739,11.81381187,1.19E-31,5.443022489,count,2.94E-27
DLG2,967,DLG2,OK,treatmentcontrol,3.921988462,0.167594118,23.40170713,3.43E-113,5.439604227,count,9.11E-109
PEX5L,897,PEX5L,OK,treatmentcontrol,4.007407552,0.159291015,25.15777518,3.16E-129,5.42582706,count,8.44E-125
GPC6,1508,GPC6,OK,treatmentcontrol,3.795036454,0.085448243,44.41327673,0,5.414970991,count,0
ARHGAP24,861,ARHGAP24,OK,treatmentcontrol,3.920229005,0.184881584,21.20399947,2.35E-94,5.387432423,count,6.21E-90
AC069228.1,777,AC069228.1,OK,treatmentcontrol,4.673379984,0.298533838,15.65443976,1.46E-53,5.377025819,count,3.75E-49
OPN1SW,230,OPN1SW,OK,treatmentcontrol,4.93549787,0.841589009,5.864498965,4.89E-09,5.33382041,count,0.000102946
AC009315.1,818,AC009315.1,OK,treatmentcontrol,4.348610117,0.223969872,19.41604952,4.13E-80,5.333553117,count,1.08E-75
FRMD4A,794,FRMD4A,OK,treatmentcontrol,4.154842801,0.236303402,17.58266182,1.43E-66,5.305150385,count,3.72E-62
KIAA1217,954,KIAA1217,OK,treatmentcontrol,3.930341016,0.180226606,21.80777364,2.18E-99,5.265526594,count,5.77E-95
LINC01572,610,LINC01572,OK,treatmentcontrol,5.331860038,0.682079325,7.81706737,6.97E-15,5.258226062,count,1.58E-10
ROBO2,1253,ROBO2,OK,treatmentcontrol,3.698624507,0.098028133,37.73023499,1.57E-264,5.221321696,count,5.72E-260
TBC1D5,1230,TBC1D5,OK,treatmentcontrol,3.754616664,0.104044685,36.08657825,3.58E-245,5.219289478,count,1.31E-240
AUTS2,1324,AUTS2,OK,treatmentcontrol,3.69688634,0.099737308,37.06623358,1.16E-256,5.217986315,count,4.23E-252
SLC35F3,615,SLC35F3,OK,treatmentcontrol,4.329614029,0.342729764,12.63273426,7.37E-36,5.212338507,count,1.84E-31
AC006001.2,740,AC006001.2,OK,treatmentcontrol,4.122234042,0.203642057,20.24254766,1.43E-86,5.192444118,count,3.77E-82
PTPRR,610,PTPRR,OK,treatmentcontrol,4.270122861,0.29331505,14.55814445,9.45E-47,5.161180817,count,2.41E-42
DANT2,464,DANT2,OK,treatmentcontrol,5.40470855,0.736928272,7.334103945,2.72E-13,5.099614892,count,6.08E-09
ALK,457,ALK,OK,treatmentcontrol,4.581002734,0.456860737,10.02713161,2.27E-23,5.027638661,count,5.45E-19
FMN2,572,FMN2,OK,treatmentcontrol,3.967885247,0.227289645,17.45739563,1.10E-65,5.022987718,count,2.85E-61
