celltype	symbol
AC	GAD1
AC	NEUROD6
AC	PAX6
AC	SLC6A9
AC	TFAP2A
AC	TFAP2B
Astro	GFAP
BC	CABP5
BC	CALB1
BC	RCVRN
BC	SCN1A
Cone	ARR3
Cone	CCDC136
Cone	CNGB3
Cone	KCNB1
Cone	NRXN3
Cone	OPN1LW
Cone	OPN1MW
Cone	OPN1SW
HC	ONECUT1
HC	ONECUT2
MG	APOE
MG	COL4A3
MG	HKDC1
Microglia	C1QA
Microglia	CD74
RGC	RBPMS
RGC	THY1
RPE	RPE65
Rod	CNGA1
Rod	GNAT1
Rod	NRL
Rod	PDE6A
Rod	REEP6
Precursors	C8ORF46
Precursors	RXRG
Precursors	ATOH7
Precursors	PRDM1
Precursors	GADD45G
Precursors	DCT
Precursors	LHX4
Precursors	OTX2
Early_RPC	VIM
Early_RPC	SOX2
Early_RPC	SFRP2
Early_RPC	MKI67
Early_RPC	UBE2C
Early_RPC	FGF19
Early_RPC	CCND1
Early_RPC	ID3
Early_Primary_RPC	SFRP2
Early_Primary_RPC	DLX1
Early_Primary_RPC	DLX2
Early_Primary_RPC	ONECUT2
Early_Primary_RPC	ATOH7
Late_Primary_RPC	NFIA
Late_Primary_RPC	ASCL1
Late_Primary_RPC	OTX2
Late_Primary_RPC	SOX4
Early_Neurogenic_RPC	DLX1
Early_Neurogenic_RPC	DLX2
Early_Neurogenic_RPC	ONECUT2
Early_Neurogenic_RPC	ATOH7
Late_Neurogenic_RPC	ASCL1
Late_Neurogenic_RPC	OTX2
Late_Neurogenic_RPC	SOX4
Late_Neurogenic_RPC	OLIG2
Late_Neurogenic_RPC	NEUROG2
Late_Neurogenic_RPC	BTG2
Late_Neurogenic_RPC	C8ORF46
