celltype	JONR1_D135	JONR_D262	SONR1_D135	SONR_D262	NHDF2_D130	NHDF2_D320
AC	0.135062851029687	0.108151220290317	0.154137617459836	0.0356673960612691	0.0892571320967894	0.0217848743656393
Astro	0.026210216635464	0.033179135428298	0.0198545013640497	0	0.05037190471707	0
BC	0.051216902915218	0.0587015472962195	0.0565322825098515	0.0901531728665208	0.0168534036343094	0.143829681891323
Cone	0.245386466969778	0.16908597862498	0.273567747802364	0.214004376367615	0.201393465775351	0.14989478895903
HC	0.0129713827226531	0.0153134471207529	0.0134889360412246	0.00590809628008753	0.02203182374541	0.00495110781037257
MG	0.169162877774806	0.209443292391131	0.176871779327069	0.341575492341357	0.319084831936729	0.406485951231588
RGC	0	0.0188227787525921	0.0244013337374962	0	0.0270219376706525	0.0321822007674217
Rod	0.223722920566997	0.223959164141011	0.134434677174901	0.219912472647702	0.113642783165427	0.153855675207328
Unassigned	0.136266381385397	0.115010368479821	0.140951803576841	0.0927789934354486	0.155070144054232	0.0821883896521847
RPE	0	0.0483330674748764	0.00575932100636557	0	0.00527257320402975	0.00482733011511326
