celltype	symbol
AC	GAD1
AC	NEUROD6
AC	PAX6
AC	SLC6A9
AC	SLC32A1
AC	SLC18A3
AC	TFAP2A
AC	TFAP2B
AC	TFAP2C
AC	LHX9
AC	MEIS2
Astro	GFAP
BC	VSX1
BC	VSX2
BC	CABP5
BC	CALB1
BC	RCVRN
BC	SCN1A
BC	GRM6
BC	PRKCA
BC	LHX4
BC	PROX1
BC	PCP4
BC	PCP2
BC	TRPM1
BC	PRDM8
Cone	ARR3
Cone	PROM1
Cone	CRX
Cone	GNAT2
Cone	THRB
Cone	PDE6H
Cone	NEUROD1
Cone	RXRG
Cone	CCDC136
Cone	DCT
Cone	PRDM1
Cone	RAX2
Cone	CRABP2
Cone	CNGB3
Cone	KCNB1
Cone	NRXN3
Cone	OPN1LW
Cone	OPN1MW
Cone	OPN1SW
HC	ONECUT1
HC	ONECUT2
HC	ONECUT3
HC	LHX1
HC	TFAP2A
HC	TFAP2B
HC	ESRRB
Early_RPC	VIM
Early_RPC	SOX2
Early_RPC	SFRP2
Early_RPC	MKI67
Early_RPC	UBE2C
Early_RPC	FGF19
Early_RPC	CCND1
Early_RPC	ID3
Early_Primary_RPC	SFRP2
Early_Primary_RPC	DLX1
Early_Primary_RPC	DLX2
Early_Primary_RPC	ONECUT2
Early_Primary_RPC	ATOH7
Late_Primary_RPC	NFIA
Late_Primary_RPC	ASCL1
Late_Primary_RPC	OTX2
Late_Primary_RPC	SOX4
Early_Neurogenic_RPC	DLX1
Early_Neurogenic_RPC	DLX2
Early_Neurogenic_RPC	ONECUT2
Early_Neurogenic_RPC	ATOH7
Late_Neurogenic_RPC	ASCL1
Late_Neurogenic_RPC	OTX2
Late_Neurogenic_RPC	SOX4
Late_Neurogenic_RPC	OLIG2
Late_Neurogenic_RPC	NEUROG2
Late_Neurogenic_RPC	BTG2
RGC	POU4F2
RGC	POU4F1
RGC	POU6F2
RGC	NEFM
RGC	GAP43
RGC	ELAVL4
RGC	THY1
RGC	ISL1
RGC	NHLH2
RGC	RXRG
RGC	EBF1
RGC	EBF3
RGC	MYC
Rod	CNGA1
Rod	GNAT1
Rod	NRL
Rod	PROM1
Rod	CRX
Rod	RHO
Rod	RCVRN
Rod	NR2E3
Rod	NEUROD1
Rod	RXRG
Rod	DCT
Rod	PRDM1
Rod	RAX2
Rod	CRABP2
Rod	PRPH2
Rod	SAG
Rod	66A
Rod	REEP6
